song,link,album,year,artist
Suzanne,../lyrics/leonardcohen/suzanne.html,Songs Of Leonard Cohen,1967,"COHEN, LEONARD"
Master Song,../lyrics/leonardcohen/mastersong.html,Songs Of Leonard Cohen,1967,"COHEN, LEONARD"
Winter Lady,../lyrics/leonardcohen/winterlady.html,Songs Of Leonard Cohen,1967,"COHEN, LEONARD"
Stranger Song,../lyrics/leonardcohen/strangersong.html,Songs Of Leonard Cohen,1967,"COHEN, LEONARD"
Sisters Of Mercy,../lyrics/leonardcohen/sistersofmercy.html,Songs Of Leonard Cohen,1967,"COHEN, LEONARD"
So Long Marianne,../lyrics/leonardcohen/solongmarianne.html,Songs Of Leonard Cohen,1967,"COHEN, LEONARD"
"Hey, That's No Way To Say Goodbye",../lyrics/leonardcohen/heythatsnowaytosaygoodbye.html,Songs Of Leonard Cohen,1967,"COHEN, LEONARD"
Stories Of The Street,../lyrics/leonardcohen/storiesofthestreet.html,Songs Of Leonard Cohen,1967,"COHEN, LEONARD"
Teachers,../lyrics/leonardcohen/teachers.html,Songs Of Leonard Cohen,1967,"COHEN, LEONARD"
One Of Us Cannot Be Wrong,../lyrics/leonardcohen/oneofuscannotbewrong.html,Songs Of Leonard Cohen,1967,"COHEN, LEONARD"
,,Songs Of Leonard Cohen,1967,"COHEN, LEONARD"
Bird On The Wire,../lyrics/leonardcohen/birdonthewire.html,Songs From A Room,1969,"COHEN, LEONARD"
Story Of Isaac,../lyrics/leonardcohen/storyofisaac.html,Songs From A Room,1969,"COHEN, LEONARD"
A Bunch Of Lonesome Heroes,../lyrics/leonardcohen/abunchoflonesomeheroes.html,Songs From A Room,1969,"COHEN, LEONARD"
The Partisan,../lyrics/leonardcohen/thepartisan.html,Songs From A Room,1969,"COHEN, LEONARD"
"Seems So Long Ago, Nancy",../lyrics/leonardcohen/seemssolongagonancy.html,Songs From A Room,1969,"COHEN, LEONARD"
The Old Revolution,../lyrics/leonardcohen/theoldrevolution.html,Songs From A Room,1969,"COHEN, LEONARD"
The Butcher,../lyrics/leonardcohen/thebutcher.html,Songs From A Room,1969,"COHEN, LEONARD"
You Know Who I Am,../lyrics/leonardcohen/youknowwhoiam.html,Songs From A Room,1969,"COHEN, LEONARD"
Lady Midnight,../lyrics/leonardcohen/ladymidnight.html,Songs From A Room,1969,"COHEN, LEONARD"
Tonight Will Be Fine,../lyrics/leonardcohen/tonightwillbefine.html,Songs From A Room,1969,"COHEN, LEONARD"
,,Songs From A Room,1969,"COHEN, LEONARD"
Avalanche,../lyrics/leonardcohen/avalanche.html,Songs Of Love And Hate,1971,"COHEN, LEONARD"
Last Year's Man,../lyrics/leonardcohen/lastyearsman.html,Songs Of Love And Hate,1971,"COHEN, LEONARD"
Dress Rehearsal Rag,../lyrics/leonardcohen/dressrehearsalrag.html,Songs Of Love And Hate,1971,"COHEN, LEONARD"
Diamonds In The Mine,../lyrics/leonardcohen/diamondsinthemine.html,Songs Of Love And Hate,1971,"COHEN, LEONARD"
Love Calls You By Your Name,../lyrics/leonardcohen/lovecallsyoubyyourname.html,Songs Of Love And Hate,1971,"COHEN, LEONARD"
Famous Blue Raincoat,../lyrics/leonardcohen/famousblueraincoat.html,Songs Of Love And Hate,1971,"COHEN, LEONARD"
"Sing Another Song, Boys",../lyrics/leonardcohen/singanothersongboys.html,Songs Of Love And Hate,1971,"COHEN, LEONARD"
Joan Of Arc,../lyrics/leonardcohen/joanofarc.html,Songs Of Love And Hate,1971,"COHEN, LEONARD"
,,Songs Of Love And Hate,1971,"COHEN, LEONARD"
Is This What You Wanted,../lyrics/leonardcohen/isthiswhatyouwanted.html,New Skin For The Old Ceremony,1974,"COHEN, LEONARD"
Chelsea Hotel #2,../lyrics/leonardcohen/chelseahotel2.html,New Skin For The Old Ceremony,1974,"COHEN, LEONARD"
Lover Lover Lover,../lyrics/leonardcohen/loverloverlover.html,New Skin For The Old Ceremony,1974,"COHEN, LEONARD"
Field Commander Cohen,../lyrics/leonardcohen/fieldcommandercohen.html,New Skin For The Old Ceremony,1974,"COHEN, LEONARD"
