song,link,album,year,artist
Bigger Stronger,../lyrics/coldplay/biggerstronger.html,The Blue Room,1999,COLDPLAY
Don't Panic,../lyrics/coldplay/dontpanic.html,The Blue Room,1999,COLDPLAY
See You Soon,../lyrics/coldplay/seeyousoon.html,The Blue Room,1999,COLDPLAY
High Speed,../lyrics/coldplay/highspeed295959.html,The Blue Room,1999,COLDPLAY
Such A Rush,../lyrics/coldplay/sucharush.html,The Blue Room,1999,COLDPLAY
,,The Blue Room,1999,COLDPLAY
Don't Panic,../lyrics/coldplay/dontpanic.html,Parachutes,2000,COLDPLAY
Shiver,../lyrics/coldplay/shiver.html,Parachutes,2000,COLDPLAY
Spies,../lyrics/coldplay/spies.html,Parachutes,2000,COLDPLAY
Sparks,../lyrics/coldplay/sparks.html,Parachutes,2000,COLDPLAY
Yellow,../lyrics/coldplay/yellow.html,Parachutes,2000,COLDPLAY
Trouble,../lyrics/coldplay/trouble.html,Parachutes,2000,COLDPLAY
Parachutes,../lyrics/coldplay/parachutes.html,Parachutes,2000,COLDPLAY
High Speed,../lyrics/coldplay/highspeed.html,Parachutes,2000,COLDPLAY
We Never Change,../lyrics/coldplay/weneverchange.html,Parachutes,2000,COLDPLAY
Everything's Not Lost,../lyrics/coldplay/everythingsnotlost.html,Parachutes,2000,COLDPLAY
Life Is For Living,../lyrics/coldplay/lifeisforliving.html,Parachutes,2000,COLDPLAY
,,Parachutes,2000,COLDPLAY
Politik,../lyrics/coldplay/politik.html,A Rush Of Blood To The Head,2002,COLDPLAY
In My Place,../lyrics/coldplay/inmyplace.html,A Rush Of Blood To The Head,2002,COLDPLAY
God Put A Smile Upon Your Face,../lyrics/coldplay/godputasmileuponyourface.html,A Rush Of Blood To The Head,2002,COLDPLAY
The Scientist,../lyrics/coldplay/thescientist.html,A Rush Of Blood To The Head,2002,COLDPLAY
Clocks,../lyrics/coldplay/clocks.html,A Rush Of Blood To The Head,2002,COLDPLAY
Daylight,../lyrics/coldplay/daylight.html,A Rush Of Blood To The Head,2002,COLDPLAY
Green Eyes,../lyrics/coldplay/greeneyes.html,A Rush Of Blood To The Head,2002,COLDPLAY
Warning Sign,../lyrics/coldplay/warningsign.html,A Rush Of Blood To The Head,2002,COLDPLAY
A Whisper,../lyrics/coldplay/awhisper.html,A Rush Of Blood To The Head,2002,COLDPLAY
A Rush Of Blood To The Head,../lyrics/coldplay/arushofbloodtothehead.html,A Rush Of Blood To The Head,2002,COLDPLAY
Amsterdam,../lyrics/coldplay/amsterdam.html,A Rush Of Blood To The Head,2002,COLDPLAY
,,A Rush Of Blood To The Head,2002,COLDPLAY
Square One,../lyrics/coldplay/squareone.html,X&Y,2005,COLDPLAY
What If?,../lyrics/coldplay/whatif.html,X&Y,2005,COLDPLAY
White Shadows,../lyrics/coldplay/whiteshadows.html,X&Y,2005,COLDPLAY
Fix You,../lyrics/coldplay/fixyou.html,X&Y,2005,COLDPLAY
Talk,../lyrics/coldplay/talk.html,X&Y,2005,COLDPLAY
X&Y,../lyrics/coldplay/xy.html,X&Y,2005,COLDPLAY
Speed Of Sound,../lyrics/coldplay/speedofsound.html,X&Y,2005,COLDPLAY
A Message,../lyrics/coldplay/amessage.html,X&Y,2005,COLDPLAY
Low,../lyrics/coldplay/low.html,X&Y,2005,COLDPLAY
The Hardest Part,../lyrics/coldplay/thehardestpart.html,X&Y,2005,COLDPLAY
Swallowed In The Sea,../lyrics/coldplay/swallowedinthesea.html,X&Y,2005,COLDPLAY
Twisted Logic,../lyrics/coldplay/twistedlogic.html,X&Y,2005,COLDPLAY
Til Kingdom Come,../lyrics/coldplay/tilkingdomcome.html,X&Y,2005,COLDPLAY
How You See The World,../lyrics/coldplay/howyouseetheworld.html,X&Y,2005,COLDPLAY
,,X&Y,2005,COLDPLAY
Cemeteries Of London,../lyrics/coldplay/cemeteriesoflondon.html,Viva La Vida,2008,COLDPLAY
Lost!,../lyrics/coldplay/lost.html,Viva La Vida,2008,COLDPLAY
42,../lyrics/coldplay/42.html,Viva La Vida,2008,COLDPLAY
Lovers In Japan / Reign Of Love,../lyrics/coldplay/loversinjapanreignoflove.html,Viva La Vida,2008,COLDPLAY
Yes,../lyrics/coldplay/yes.html,Viva La Vida,2008,COLDPLAY
Chinese Sleep Chant,../lyrics/coldplay/chinesesleepchant.html,Viva La Vida,2008,COLDPLAY
Viva La Vida,../lyrics/coldplay/vivalavida.html,Viva La Vida,2008,COLDPLAY
Violet Hill,../lyrics/coldplay/violethill.html,Viva La Vida,2008,COLDPLAY
Strawberry Swing,../lyrics/coldplay/strawberryswing.html,Viva La Vida,2008,COLDPLAY
Death And All His Friends,../lyrics/coldplay/deathandallhisfriends.html,Viva La Vida,2008,COLDPLAY
The Escapist,../lyrics/coldplay/theescapist.html,Viva La Vida,2008,COLDPLAY
Life In Technicolor II,../lyrics/coldplay/lifeintechnicolorii.html,Viva La Vida,2008,COLDPLAY
Glass Of Water,../lyrics/coldplay/glassofwater.html,Viva La Vida,2008,COLDPLAY
Rainy Day,../lyrics/coldplay/rainyday.html,Viva La Vida,2008,COLDPLAY
Prospekt's March / Poppyfields,../lyrics/coldplay/prospektsmarchpoppyfields.html,Viva La Vida,2008,COLDPLAY
Lost+,../lyrics/coldplay/lost74377.html,Viva La Vida,2008,COLDPLAY
Now My Feet Won't Touch The Ground,../lyrics/coldplay/nowmyfeetwonttouchtheground.html,Viva La Vida,2008,COLDPLAY
,,Viva La Vida,2008,COLDPLAY
Hurts Like Heaven,../lyrics/coldplay/hurtslikeheaven.html,Mylo Xyloto,2011,COLDPLAY
Paradise,../lyrics/coldplay/paradise.html,Mylo Xyloto,2011,COLDPLAY
Charlie Brown,../lyrics/coldplay/charliebrown.html,Mylo Xyloto,2011,COLDPLAY
Us Against The World,../lyrics/coldplay/usagainsttheworld.html,Mylo Xyloto,2011,COLDPLAY
Every Teardrop Is A Waterfall,../lyrics/coldplay/everyteardropisawaterfall.html,Mylo Xyloto,2011,COLDPLAY
Major Minus,../lyrics/coldplay/majorminus.html,Mylo Xyloto,2011,COLDPLAY
U.F.O.,../lyrics/coldplay/ufo.html,Mylo Xyloto,2011,COLDPLAY
