song,link,album,year,artist
Happy Home,../lyrics/paulacole/happyhome.html,Harbinger,1994,"COLE, PAULA"
I Am So Ordinary,../lyrics/paulacole/iamsoordinary.html,Harbinger,1994,"COLE, PAULA"
Saturn Girl,../lyrics/paulacole/saturngirl.html,Harbinger,1994,"COLE, PAULA"
Watch The Woman's Hands,../lyrics/paulacole/watchthewomanshands.html,Harbinger,1994,"COLE, PAULA"
Bethlehem,../lyrics/paulacole/bethlehem.html,Harbinger,1994,"COLE, PAULA"
Chiaroscuro,../lyrics/paulacole/chiaroscuro.html,Harbinger,1994,"COLE, PAULA"
Black Boots,../lyrics/paulacole/blackboots.html,Harbinger,1994,"COLE, PAULA"
Oh John,../lyrics/paulacole/ohjohn.html,Harbinger,1994,"COLE, PAULA"
Our Revenge,../lyrics/paulacole/ourrevenge.html,Harbinger,1994,"COLE, PAULA"
Dear Gertrude,../lyrics/paulacole/deargertrude.html,Harbinger,1994,"COLE, PAULA"
Hitler's Brothers,../lyrics/paulacole/hitlersbrothers.html,Harbinger,1994,"COLE, PAULA"
She Can't Feel Anything Anymore,../lyrics/paulacole/shecantfeelanythinganymore.html,Harbinger,1994,"COLE, PAULA"
Garden Of Eden,../lyrics/paulacole/gardenofeden.html,Harbinger,1994,"COLE, PAULA"
The Ladder,../lyrics/paulacole/theladder.html,Harbinger,1994,"COLE, PAULA"
,,Harbinger,1994,"COLE, PAULA"
Tiger,../lyrics/paulacole/tiger.html,This Fire,1996,"COLE, PAULA"
Where Have All The Cowboys Gone?,../lyrics/paulacole/wherehaveallthecowboysgone.html,This Fire,1996,"COLE, PAULA"
Throwing Stones,../lyrics/paulacole/throwingstones.html,This Fire,1996,"COLE, PAULA"
Carmen,../lyrics/paulacole/carmen.html,This Fire,1996,"COLE, PAULA"
Mississippi,../lyrics/paulacole/mississippi.html,This Fire,1996,"COLE, PAULA"
Nietzsche's Eyes,../lyrics/paulacole/nietzscheseyes.html,This Fire,1996,"COLE, PAULA"
Road To Dead,../lyrics/paulacole/roadtodead.html,This Fire,1996,"COLE, PAULA"
Me,../lyrics/paulacole/me.html,This Fire,1996,"COLE, PAULA"
Feelin' Love,../lyrics/paulacole/feelinlove.html,This Fire,1996,"COLE, PAULA"
"Hush, Hush, Hush",../lyrics/paulacole/hushhushhush.html,This Fire,1996,"COLE, PAULA"
I Don't Want To Wait,../lyrics/paulacole/idontwanttowait.html,This Fire,1996,"COLE, PAULA"
,,This Fire,1996,"COLE, PAULA"
I Believe In Love,../lyrics/paulacole/ibelieveinlove.html,Amen,1999,"COLE, PAULA"
Amen,../lyrics/paulacole/amen.html,Amen,1999,"COLE, PAULA"
La Tonya,../lyrics/paulacole/latonya.html,Amen,1999,"COLE, PAULA"
Pearl,../lyrics/paulacole/pearl.html,Amen,1999,"COLE, PAULA"
Be Somebody,../lyrics/paulacole/besomebody.html,Amen,1999,"COLE, PAULA"
Rhythm Of Life,../lyrics/paulacole/rhythmoflife.html,Amen,1999,"COLE, PAULA"
Free,../lyrics/paulacole/free.html,Amen,1999,"COLE, PAULA"
Suwannee Jo,../lyrics/paulacole/suwanneejo.html,Amen,1999,"COLE, PAULA"
God Is Watching,../lyrics/paulacole/godiswatching.html,Amen,1999,"COLE, PAULA"
,,Amen,1999,"COLE, PAULA"
Comin' Down,../lyrics/paulacole/comindown.html,Courage,2007,"COLE, PAULA"
Love Light (Cardinal),../lyrics/paulacole/lovelightcardinal.html,Courage,2007,"COLE, PAULA"
El Greco,../lyrics/paulacole/elgreco.html,Courage,2007,"COLE, PAULA"
Lonely Town,../lyrics/paulacole/lonelytown.html,Courage,2007,"COLE, PAULA"
14,../lyrics/paulacole/14.html,Courage,2007,"COLE, PAULA"
Hard To Be Soft,../lyrics/paulacole/hardtobesoft.html,Courage,2007,"COLE, PAULA"
It's My Life,../lyrics/paulacole/itsmylife.html,Courage,2007,"COLE, PAULA"
Safe In Your Arms,../lyrics/paulacole/safeinyourarms.html,Courage,2007,"COLE, PAULA"
I Wanna Kiss You,../lyrics/paulacole/iwannakissyou.html,Courage,2007,"COLE, PAULA"
In Our Dreams,../lyrics/paulacole/inourdreams.html,Courage,2007,"COLE, PAULA"
Until I Met You,../lyrics/paulacole/untilimetyou.html,Courage,2007,"COLE, PAULA"
,,Courage,2007,"COLE, PAULA"
The Hard Way,../lyrics/paulacole/thehardway.html,Ithaca,2010,"COLE, PAULA"
Waiting On A Miracle,../lyrics/paulacole/waitingonamiracle.html,Ithaca,2010,"COLE, PAULA"
Music In Me,../lyrics/paulacole/musicinme.html,Ithaca,2010,"COLE, PAULA"
Elegy,../lyrics/paulacole/elegy.html,Ithaca,2010,"COLE, PAULA"
Come On Inside,../lyrics/paulacole/comeoninside.html,Ithaca,2010,"COLE, PAULA"
P.R.E.N.U.P.,../lyrics/paulacole/prenup.html,Ithaca,2010,"COLE, PAULA"
Violet Eyes,../lyrics/paulacole/violeteyes.html,Ithaca,2010,"COLE, PAULA"
Somethin' I've Gotta Say,../lyrics/paulacole/somethinivegottasay.html,Ithaca,2010,"COLE, PAULA"
Sex,../lyrics/paulacole/sex.html,Ithaca,2010,"COLE, PAULA"
2 Lifetimes,../lyrics/paulacole/2lifetimes.html,Ithaca,2010,"COLE, PAULA"
,,Ithaca,2010,"COLE, PAULA"
Life Goes On,../lyrics/paulacole/lifegoeson.html,Raven,2013,"COLE, PAULA"
Strong Beautiful Woman,../lyrics/paulacole/strongbeautifulwoman.html,Raven,2013,"COLE, PAULA"
Eloise,../lyrics/paulacole/eloise.html,Raven,2013,"COLE, PAULA"
Sorrow-On-The-Hudson,../lyrics/paulacole/sorrowonthehudson.html,Raven,2013,"COLE, PAULA"
Manitoba,../lyrics/paulacole/manitoba.html,Raven,2013,"COLE, PAULA"
Scream,../lyrics/paulacole/scream.html,Raven,2013,"COLE, PAULA"
Imaginary Man,../lyrics/paulacole/imaginaryman.html,Raven,2013,"COLE, PAULA"
Billy Joe,../lyrics/paulacole/billyjoe.html,Raven,2013,"COLE, PAULA"
Secretary,../lyrics/paulacole/secretary.html,Raven,2013,"COLE, PAULA"
Why Don't You Go?,../lyrics/paulacole/whydontyougo.html,Raven,2013,"COLE, PAULA"
Red Corsette,../lyrics/paulacole/redcorsette.html,Raven,2013,"COLE, PAULA"
,,Raven,2013,"COLE, PAULA"
New York City,../lyrics/paulacole/newyorkcity.html,7,2015,"COLE, PAULA"
Salt Of The Sea,../lyrics/paulacole/saltofthesea.html,7,2015,"COLE, PAULA"
