song,link,album,year,artist
A Penny For My Thoughts,../lyrics/common/apennyformythoughts.html,Can I Borrow A Dollar?,1992,COMMON
Charms Alarm,../lyrics/common/charmsalarm.html,Can I Borrow A Dollar?,1992,COMMON
Take It EZ,../lyrics/common/takeitez.html,Can I Borrow A Dollar?,1992,COMMON
Heidi Hoe,../lyrics/common/heidihoe.html,Can I Borrow A Dollar?,1992,COMMON
Breaker 1/9,../lyrics/common/breaker19.html,Can I Borrow A Dollar?,1992,COMMON
Two Scoops of Raisins,../lyrics/common/twoscoopsofraisins.html,Can I Borrow A Dollar?,1992,COMMON
Blows To The Temple,../lyrics/common/blowstothetemple.html,Can I Borrow A Dollar?,1992,COMMON
Just In The Nick Of Rhyme,../lyrics/common/justinthenickofrhyme.html,Can I Borrow A Dollar?,1992,COMMON
Tricks Up My Sleeve,../lyrics/common/tricksupmysleeve.html,Can I Borrow A Dollar?,1992,COMMON
Puppy Chow,../lyrics/common/puppychow.html,Can I Borrow A Dollar?,1992,COMMON
Soul By The Pound,../lyrics/common/soulbythepound.html,Can I Borrow A Dollar?,1992,COMMON
Pitchin' Pennies,../lyrics/common/pitchinpennies.html,Can I Borrow A Dollar?,1992,COMMON
,,Can I Borrow A Dollar?,1992,COMMON
Resurrection,../lyrics/common/resurrection.html,Resurrection,1994,COMMON
I Used To Love H.E.R.,../lyrics/common/iusedtoloveher.html,Resurrection,1994,COMMON
Watermelon,../lyrics/common/watermelon.html,Resurrection,1994,COMMON
Book Of Life,../lyrics/common/bookoflife.html,Resurrection,1994,COMMON
In My Own World (Check The Method),../lyrics/common/inmyownworldcheckthemethod.html,Resurrection,1994,COMMON
Another Wasted Nite With...,../lyrics/common/anotherwastednitewith.html,Resurrection,1994,COMMON
Nuthin' To Do,../lyrics/common/nuthintodo.html,Resurrection,1994,COMMON
Communism,../lyrics/common/communism.html,Resurrection,1994,COMMON
Thisisme,../lyrics/common/thisisme.html,Resurrection,1994,COMMON
Orange Pineapple Juice,../lyrics/common/orangepineapplejuice.html,Resurrection,1994,COMMON
Chapter 13 (Rich Man vs. Poor Man),../lyrics/common/chapter13richmanvspoorman.html,Resurrection,1994,COMMON
Maintaining,../lyrics/common/maintaining.html,Resurrection,1994,COMMON
Sum Shit I Wrote,../lyrics/common/sumshitiwrote.html,Resurrection,1994,COMMON
,,Resurrection,1994,COMMON
Invocation,../lyrics/common/invocation.html,One Day It'll All Make Sense,1997,COMMON
Real Nigga Quotes,../lyrics/common/realniggaquotes.html,One Day It'll All Make Sense,1997,COMMON
Retrospect For Life,../lyrics/common/retrospectforlife.html,One Day It'll All Make Sense,1997,COMMON
