song,link,album,year,artist
About You Now,../lyrics/mirandacosgrove/aboutyounow.html,iCarly,2008,"COSGROVE, MIRANDA"
Headphones On,../lyrics/mirandacosgrove/headphoneson.html,iCarly,2008,"COSGROVE, MIRANDA"
Leave It All To Me,../lyrics/mirandacosgrove/leaveitalltome.html,iCarly,2008,"COSGROVE, MIRANDA"
Stay My Baby,../lyrics/mirandacosgrove/staymybaby.html,iCarly,2008,"COSGROVE, MIRANDA"
,,iCarly,2008,"COSGROVE, MIRANDA"
Kissin' U,../lyrics/mirandacosgrove/kissinu.html,Sparks Fly,2010,"COSGROVE, MIRANDA"
BAM,../lyrics/mirandacosgrove/bam.html,Sparks Fly,2010,"COSGROVE, MIRANDA"
Disgusting,../lyrics/mirandacosgrove/disgusting.html,Sparks Fly,2010,"COSGROVE, MIRANDA"
Shakespeare,../lyrics/mirandacosgrove/shakespeare.html,Sparks Fly,2010,"COSGROVE, MIRANDA"
Hey You,../lyrics/mirandacosgrove/heyyou.html,Sparks Fly,2010,"COSGROVE, MIRANDA"
There Will Be Tears,../lyrics/mirandacosgrove/therewillbetears.html,Sparks Fly,2010,"COSGROVE, MIRANDA"
Oh Oh,../lyrics/mirandacosgrove/ohoh.html,Sparks Fly,2010,"COSGROVE, MIRANDA"
Daydream,../lyrics/mirandacosgrove/daydream.html,Sparks Fly,2010,"COSGROVE, MIRANDA"
Brand New You,../lyrics/mirandacosgrove/brandnewyou.html,Sparks Fly,2010,"COSGROVE, MIRANDA"
What Are You Waiting For,../lyrics/mirandacosgrove/whatareyouwaitingfor.html,Sparks Fly,2010,"COSGROVE, MIRANDA"
Adored,../lyrics/mirandacosgrove/adored.html,Sparks Fly,2010,"COSGROVE, MIRANDA"
Beautiful Mess,../lyrics/mirandacosgrove/beautifulmess.html,Sparks Fly,2010,"COSGROVE, MIRANDA"
Charlie,../lyrics/mirandacosgrove/charlie.html,Sparks Fly,2010,"COSGROVE, MIRANDA"
,,Sparks Fly,2010,"COSGROVE, MIRANDA"
Dancing Crazy,../lyrics/mirandacosgrove/dancingcrazy.html,High Maintenance,2011,"COSGROVE, MIRANDA"
High Maintenance,../lyrics/mirandacosgrove/highmaintenance.html,High Maintenance,2011,"COSGROVE, MIRANDA"
Face Of Love,../lyrics/mirandacosgrove/faceoflove.html,High Maintenance,2011,"COSGROVE, MIRANDA"
Kiss You Up,../lyrics/mirandacosgrove/kissyouup.html,High Maintenance,2011,"COSGROVE, MIRANDA"
Sayonara,../lyrics/mirandacosgrove/sayonara.html,High Maintenance,2011,"COSGROVE, MIRANDA"
All Kinds Of Wrong,../lyrics/mirandacosgrove/allkindsofwrong.html,,,"COSGROVE, MIRANDA"
Christmas Wrapping,../lyrics/mirandacosgrove/christmaswrapping.html,,,"COSGROVE, MIRANDA"
FYI,../lyrics/mirandacosgrove/fyi.html,,,"COSGROVE, MIRANDA"
Million Dollars,../lyrics/mirandacosgrove/milliondollars.html,,,"COSGROVE, MIRANDA"
Party Girl,../lyrics/mirandacosgrove/partygirl.html,,,"COSGROVE, MIRANDA"
Raining Sunshine,../lyrics/mirandacosgrove/rainingsunshine.html,,,"COSGROVE, MIRANDA"
