song,link,album,year,artist
Shining Moon,../lyrics/cowboyjunkies/shiningmoon.html,Whites Off Earth Now!!,1986,COWBOY JUNKIES
State Trooper,../lyrics/cowboyjunkies/statetrooper.html,Whites Off Earth Now!!,1986,COWBOY JUNKIES
Me And The Devil,../lyrics/cowboyjunkies/meandthedevil.html,Whites Off Earth Now!!,1986,COWBOY JUNKIES
Decoration Day,../lyrics/cowboyjunkies/decorationday.html,Whites Off Earth Now!!,1986,COWBOY JUNKIES
Baby Please Don't Go,../lyrics/cowboyjunkies/babypleasedontgo.html,Whites Off Earth Now!!,1986,COWBOY JUNKIES
I'll Never Get Out Of These Blues Alive,../lyrics/cowboyjunkies/illnevergetoutofthesebluesalive.html,Whites Off Earth Now!!,1986,COWBOY JUNKIES
Take Me,../lyrics/cowboyjunkies/takeme.html,Whites Off Earth Now!!,1986,COWBOY JUNKIES
Forgive Me,../lyrics/cowboyjunkies/forgiveme.html,Whites Off Earth Now!!,1986,COWBOY JUNKIES
Crossroads,../lyrics/cowboyjunkies/crossroads.html,Whites Off Earth Now!!,1986,COWBOY JUNKIES
,,Whites Off Earth Now!!,1986,COWBOY JUNKIES
Mining For Gold,../lyrics/cowboyjunkies/miningforgold.html,The Trinity Session,1988,COWBOY JUNKIES
Misguided Angel,../lyrics/cowboyjunkies/misguidedangel.html,The Trinity Session,1988,COWBOY JUNKIES
Blue Moon Revisited (Song For Elvis),../lyrics/cowboyjunkies/bluemoonrevisitedsongforelvis.html,The Trinity Session,1988,COWBOY JUNKIES
I Don't Get It,../lyrics/cowboyjunkies/idontgetit.html,The Trinity Session,1988,COWBOY JUNKIES
I'm So Lonesome I Could Cry,../lyrics/cowboyjunkies/imsolonesomeicouldcry.html,The Trinity Session,1988,COWBOY JUNKIES
To Love Is To Bury,../lyrics/cowboyjunkies/toloveistobury.html,The Trinity Session,1988,COWBOY JUNKIES
200 More Miles,../lyrics/cowboyjunkies/200moremiles.html,The Trinity Session,1988,COWBOY JUNKIES
Dreaming My Dreams With You,../lyrics/cowboyjunkies/dreamingmydreamswithyou.html,The Trinity Session,1988,COWBOY JUNKIES
Working On A Building,../lyrics/cowboyjunkies/workingonabuilding.html,The Trinity Session,1988,COWBOY JUNKIES
Sweet Jane,../lyrics/cowboyjunkies/sweetjane.html,The Trinity Session,1988,COWBOY JUNKIES
Postcard Blues,../lyrics/cowboyjunkies/postcardblues.html,The Trinity Session,1988,COWBOY JUNKIES
Walking After Midnight,../lyrics/cowboyjunkies/walkingaftermidnight.html,The Trinity Session,1988,COWBOY JUNKIES
,,The Trinity Session,1988,COWBOY JUNKIES
"Sun Comes Up, It's Tuesday Morning",../lyrics/cowboyjunkies/suncomesupitstuesdaymorning.html,The Caution Horses,1990,COWBOY JUNKIES
'Cause Cheap Is How I Feel,../lyrics/cowboyjunkies/causecheapishowifeel.html,The Caution Horses,1990,COWBOY JUNKIES
Thirty Summers,../lyrics/cowboyjunkies/thirtysummers.html,The Caution Horses,1990,COWBOY JUNKIES
Mariner's Song,../lyrics/cowboyjunkies/marinerssong.html,The Caution Horses,1990,COWBOY JUNKIES
Powderfinger,../lyrics/cowboyjunkies/powderfinger.html,The Caution Horses,1990,COWBOY JUNKIES
Where Are You Tonight?,../lyrics/cowboyjunkies/whereareyoutonight.html,The Caution Horses,1990,COWBOY JUNKIES
Witches,../lyrics/cowboyjunkies/witches.html,The Caution Horses,1990,COWBOY JUNKIES
Rock And Bird,../lyrics/cowboyjunkies/rockandbird.html,The Caution Horses,1990,COWBOY JUNKIES
Escape Is So Simple,../lyrics/cowboyjunkies/escapeissosimple.html,The Caution Horses,1990,COWBOY JUNKIES
You Will Be Loved Again,../lyrics/cowboyjunkies/youwillbelovedagain.html,The Caution Horses,1990,COWBOY JUNKIES
,,The Caution Horses,1990,COWBOY JUNKIES
Southern Rain,../lyrics/cowboyjunkies/southernrain.html,Black Eyed Man,1992,COWBOY JUNKIES
Oregon Hill,../lyrics/cowboyjunkies/oregonhill.html,Black Eyed Man,1992,COWBOY JUNKIES
"This Street, That Man, This Life",../lyrics/cowboyjunkies/thisstreetthatmanthislife.html,Black Eyed Man,1992,COWBOY JUNKIES
A Horse In The Country,../lyrics/cowboyjunkies/ahorseinthecountry.html,Black Eyed Man,1992,COWBOY JUNKIES
If You Were The Woman And I Was The Man,../lyrics/cowboyjunkies/ifyouwerethewomanandiwastheman.html,Black Eyed Man,1992,COWBOY JUNKIES
"Murder, Tonight, In The Trailer Park",../lyrics/cowboyjunkies/murdertonightinthetrailerpark.html,Black Eyed Man,1992,COWBOY JUNKIES
Black Eyed Man,../lyrics/cowboyjunkies/blackeyedman.html,Black Eyed Man,1992,COWBOY JUNKIES
Winter's Song,../lyrics/cowboyjunkies/winterssong.html,Black Eyed Man,1992,COWBOY JUNKIES
The Last Spike,../lyrics/cowboyjunkies/thelastspike.html,Black Eyed Man,1992,COWBOY JUNKIES
Cowboy Junkies Lament,../lyrics/cowboyjunkies/cowboyjunkieslament.html,Black Eyed Man,1992,COWBOY JUNKIES
Townes' Blues,../lyrics/cowboyjunkies/townesblues.html,Black Eyed Man,1992,COWBOY JUNKIES
To Live Is To Fly,../lyrics/cowboyjunkies/toliveistofly.html,Black Eyed Man,1992,COWBOY JUNKIES
,,Black Eyed Man,1992,COWBOY JUNKIES
Crescent Moon,../lyrics/cowboyjunkies/crescentmoon.html,Pale Sun Crescent Moon,1993,COWBOY JUNKIES
First Recollection,../lyrics/cowboyjunkies/firstrecollection.html,Pale Sun Crescent Moon,1993,COWBOY JUNKIES
Ring On The Sill,../lyrics/cowboyjunkies/ringonthesill.html,Pale Sun Crescent Moon,1993,COWBOY JUNKIES
Anniversary Song,../lyrics/cowboyjunkies/anniversarysong.html,Pale Sun Crescent Moon,1993,COWBOY JUNKIES
White Sail,../lyrics/cowboyjunkies/whitesail.html,Pale Sun Crescent Moon,1993,COWBOY JUNKIES
Seven Years,../lyrics/cowboyjunkies/sevenyears.html,Pale Sun Crescent Moon,1993,COWBOY JUNKIES
Pale Sun,../lyrics/cowboyjunkies/palesun.html,Pale Sun Crescent Moon,1993,COWBOY JUNKIES
The Post,../lyrics/cowboyjunkies/thepost.html,Pale Sun Crescent Moon,1993,COWBOY JUNKIES
Cold Tea Blues,../lyrics/cowboyjunkies/coldteablues.html,Pale Sun Crescent Moon,1993,COWBOY JUNKIES
Hard To Explain,../lyrics/cowboyjunkies/hardtoexplain.html,Pale Sun Crescent Moon,1993,COWBOY JUNKIES
Hunted,../lyrics/cowboyjunkies/hunted.html,Pale Sun Crescent Moon,1993,COWBOY JUNKIES
Floorboard Blues,../lyrics/cowboyjunkies/floorboardblues.html,Pale Sun Crescent Moon,1993,COWBOY JUNKIES
,,Pale Sun Crescent Moon,1993,COWBOY JUNKIES
