song,link,album,year,artist
Paradise,../lyrics/craigmorgan/paradise.html,Craig Morgan,2000,CRAIG MORGAN
I Want Us Back,../lyrics/craigmorgan/iwantusback.html,Craig Morgan,2000,CRAIG MORGAN
Something To Write Home About,../lyrics/craigmorgan/somethingtowritehomeabout.html,Craig Morgan,2000,CRAIG MORGAN
302 South Maple Avenue,../lyrics/craigmorgan/302southmapleavenue.html,Craig Morgan,2000,CRAIG MORGAN
It's Me,../lyrics/craigmorgan/itsme.html,Craig Morgan,2000,CRAIG MORGAN
When A Man Can't Get Can't A Woman Off His Mind,../lyrics/craigmorgan/whenamancantgetcantawomanoffhismind.html,Craig Morgan,2000,CRAIG MORGAN
Everything's A Thing,../lyrics/craigmorgan/everythingsathing.html,Craig Morgan,2000,CRAIG MORGAN
Walking In My Father's Shoes,../lyrics/craigmorgan/walkinginmyfathersshoes.html,Craig Morgan,2000,CRAIG MORGAN
Hush,../lyrics/craigmorgan/hush.html,Craig Morgan,2000,CRAIG MORGAN
Everywhere I Go,../lyrics/craigmorgan/everywhereigo.html,Craig Morgan,2000,CRAIG MORGAN
I Wish I Could See Bakersfield,../lyrics/craigmorgan/iwishicouldseebakersfield.html,Craig Morgan,2000,CRAIG MORGAN
,,Craig Morgan,2000,CRAIG MORGAN
I Love It,../lyrics/craigmorgan/iloveit.html,I Love It,2003,CRAIG MORGAN
Almost Home,../lyrics/craigmorgan/almosthome.html,I Love It,2003,CRAIG MORGAN
Look At Us,../lyrics/craigmorgan/lookatus.html,I Love It,2003,CRAIG MORGAN
In The Dream,../lyrics/craigmorgan/inthedream.html,I Love It,2003,CRAIG MORGAN
You Never Know,../lyrics/craigmorgan/youneverknow.html,I Love It,2003,CRAIG MORGAN
What You Do To Me,../lyrics/craigmorgan/whatyoudotome.html,I Love It,2003,CRAIG MORGAN
Every Friday Afternoon,../lyrics/craigmorgan/everyfridayafternoon.html,I Love It,2003,CRAIG MORGAN
Where Has My Hometown Gone?,../lyrics/craigmorgan/wherehasmyhometowngone.html,I Love It,2003,CRAIG MORGAN
Always Be Mine,../lyrics/craigmorgan/alwaysbemine.html,I Love It,2003,CRAIG MORGAN
Money,../lyrics/craigmorgan/money.html,I Love It,2003,CRAIG MORGAN
"God, Family And Country",../lyrics/craigmorgan/godfamilyandcountry.html,I Love It,2003,CRAIG MORGAN
,,I Love It,2003,CRAIG MORGAN
That's What I Love About Sunday,../lyrics/craigmorgan/thatswhatiloveaboutsunday.html,My Kind Of Livin',2005,CRAIG MORGAN
I Got You,../lyrics/craigmorgan/igotyou.html,My Kind Of Livin',2005,CRAIG MORGAN
That's When I'll Believe That You're Gone,../lyrics/craigmorgan/thatswhenillbelievethatyouregone.html,My Kind Of Livin',2005,CRAIG MORGAN
I'm Country,../lyrics/craigmorgan/imcountry.html,My Kind Of Livin',2005,CRAIG MORGAN
Lotta Man (In That Little Boy),../lyrics/craigmorgan/lottamaninthatlittleboy.html,My Kind Of Livin',2005,CRAIG MORGAN
If You Like That,../lyrics/craigmorgan/ifyoulikethat.html,My Kind Of Livin',2005,CRAIG MORGAN
Ain't The Way I Wanna Go Out,../lyrics/craigmorgan/aintthewayiwannagoout.html,My Kind Of Livin',2005,CRAIG MORGAN
Redneck Yacht Club,../lyrics/craigmorgan/redneckyachtclub.html,My Kind Of Livin',2005,CRAIG MORGAN
Rain For The Roses,../lyrics/craigmorgan/rainfortheroses.html,My Kind Of Livin',2005,CRAIG MORGAN
Blame Me,../lyrics/craigmorgan/blameme.html,My Kind Of Livin',2005,CRAIG MORGAN
Cowboy And Clown,../lyrics/craigmorgan/cowboyandclown.html,My Kind Of Livin',2005,CRAIG MORGAN
In My Neighborhood,../lyrics/craigmorgan/inmyneighborhood.html,My Kind Of Livin',2005,CRAIG MORGAN
,,My Kind Of Livin',2005,CRAIG MORGAN
Little Bit Of Life,../lyrics/craigmorgan/littlebitoflife.html,Little Bit Of Life,2006,CRAIG MORGAN
International Harvester,../lyrics/craigmorgan/internationalharvester.html,Little Bit Of Life,2006,CRAIG MORGAN
Tough,../lyrics/craigmorgan/tough.html,Little Bit Of Life,2006,CRAIG MORGAN
I Am,../lyrics/craigmorgan/iam.html,Little Bit Of Life,2006,CRAIG MORGAN
The Ballad Of Mr. Jenkins,../lyrics/craigmorgan/theballadofmrjenkins.html,Little Bit Of Life,2006,CRAIG MORGAN
Nothin' Goin' Wrong Around Here,../lyrics/craigmorgan/nothingoinwrongaroundhere.html,Little Bit Of Life,2006,CRAIG MORGAN
Sweet Old Fashion Goodness,../lyrics/craigmorgan/sweetoldfashiongoodness.html,Little Bit Of Life,2006,CRAIG MORGAN
I Guess You Had To Be There,../lyrics/craigmorgan/iguessyouhadtobethere.html,Little Bit Of Life,2006,CRAIG MORGAN
The Song,../lyrics/craigmorgan/thesong.html,Little Bit Of Life,2006,CRAIG MORGAN
My Kind Of Woman,../lyrics/craigmorgan/mykindofwoman.html,Little Bit Of Life,2006,CRAIG MORGAN
Look At 'Em Fly,../lyrics/craigmorgan/lookatemfly.html,Little Bit Of Life,2006,CRAIG MORGAN
,,Little Bit Of Life,2006,CRAIG MORGAN
Love Remembers,../lyrics/craigmorgan/loveremembers.html,That's Why,2008,CRAIG MORGAN
Lookin' Back With You,../lyrics/craigmorgan/lookinbackwithyou.html,That's Why,2008,CRAIG MORGAN
That's Why,../lyrics/craigmorgan/thatswhy.html,That's Why,2008,CRAIG MORGAN
Sticks,../lyrics/craigmorgan/sticks.html,That's Why,2008,CRAIG MORGAN
God Must Really Love Me,../lyrics/craigmorgan/godmustreallyloveme.html,That's Why,2008,CRAIG MORGAN
Summer Sundown,../lyrics/craigmorgan/summersundown.html,That's Why,2008,CRAIG MORGAN
Every Red Light,../lyrics/craigmorgan/everyredlight.html,That's Why,2008,CRAIG MORGAN
It Took A Woman,../lyrics/craigmorgan/ittookawoman.html,That's Why,2008,CRAIG MORGAN
Planet Her,../lyrics/craigmorgan/planether.html,That's Why,2008,CRAIG MORGAN
Ordinary Angels,../lyrics/craigmorgan/ordinaryangels.html,That's Why,2008,CRAIG MORGAN
,,That's Why,2008,CRAIG MORGAN
This Ole Boy,../lyrics/craigmorgan/thisoleboy.html,This Ole Boy,2012,CRAIG MORGAN
More Trucks Than Cars,../lyrics/craigmorgan/moretrucksthancars.html,This Ole Boy,2012,CRAIG MORGAN
The Whole World Needs A Kitchen,../lyrics/craigmorgan/thewholeworldneedsakitchen.html,This Ole Boy,2012,CRAIG MORGAN
Country Boys Like Me,../lyrics/craigmorgan/countryboyslikeme.html,This Ole Boy,2012,CRAIG MORGAN
Show Me Your Tattoo,../lyrics/craigmorgan/showmeyourtattoo.html,This Ole Boy,2012,CRAIG MORGAN
Love Loves A Long Night,../lyrics/craigmorgan/lovelovesalongnight.html,This Ole Boy,2012,CRAIG MORGAN
