song,link,album,year,artist
The Greatest Show Unearthed,../lyrics/creaturefeature/thegreatestshowunearthed.html,The Greatest Show Unearthed,2007,CREATURE FEATURE
Buried Alive,../lyrics/creaturefeature/buriedalive.html,The Greatest Show Unearthed,2007,CREATURE FEATURE
Aim For The Head,../lyrics/creaturefeature/aimforthehead.html,The Greatest Show Unearthed,2007,CREATURE FEATURE
Six Foot Deep,../lyrics/creaturefeature/sixfootdeep.html,The Greatest Show Unearthed,2007,CREATURE FEATURE
A Gorey Demise,../lyrics/creaturefeature/agoreydemise.html,The Greatest Show Unearthed,2007,CREATURE FEATURE
Look To The Skies,../lyrics/creaturefeature/looktotheskies.html,The Greatest Show Unearthed,2007,CREATURE FEATURE
How To Serve Man,../lyrics/creaturefeature/howtoserveman.html,The Greatest Show Unearthed,2007,CREATURE FEATURE
Bound And Gagged,../lyrics/creaturefeature/boundandgagged.html,The Greatest Show Unearthed,2007,CREATURE FEATURE
The Meek Shall Inherit The Earth,../lyrics/creaturefeature/themeekshallinherittheearth.html,The Greatest Show Unearthed,2007,CREATURE FEATURE
A Corpse In My Bed,../lyrics/creaturefeature/acorpseinmybed.html,The Greatest Show Unearthed,2007,CREATURE FEATURE
Such Horrible Things,../lyrics/creaturefeature/suchhorriblethings.html,The Greatest Show Unearthed,2007,CREATURE FEATURE
,,The Greatest Show Unearthed,2007,CREATURE FEATURE
It Was A Dark And Stormy Night...,../lyrics/creaturefeature/itwasadarkandstormynight.html,It Was A Dark And Stormy Night...,2011,CREATURE FEATURE
Dr. Sawbones,../lyrics/creaturefeature/drsawbones.html,It Was A Dark And Stormy Night...,2011,CREATURE FEATURE
The House Of Myth,../lyrics/creaturefeature/thehouseofmyth.html,It Was A Dark And Stormy Night...,2011,CREATURE FEATURE
Mommy's Little Monsters,../lyrics/creaturefeature/mommyslittlemonsters.html,It Was A Dark And Stormy Night...,2011,CREATURE FEATURE
The Unearthly Ones,../lyrics/creaturefeature/theunearthlyones.html,It Was A Dark And Stormy Night...,2011,CREATURE FEATURE
Grave Robber At Large,../lyrics/creaturefeature/graverobberatlarge.html,It Was A Dark And Stormy Night...,2011,CREATURE FEATURE
A Fate Worse Than Death,../lyrics/creaturefeature/afateworsethandeath.html,It Was A Dark And Stormy Night...,2011,CREATURE FEATURE
Fodder For The Elder Gods,../lyrics/creaturefeature/fodderfortheeldergods.html,It Was A Dark And Stormy Night...,2011,CREATURE FEATURE
Bad Blood,../lyrics/creaturefeature/badblood.html,It Was A Dark And Stormy Night...,2011,CREATURE FEATURE
One Foot In The Grave,../lyrics/creaturefeature/onefootinthegrave.html,It Was A Dark And Stormy Night...,2011,CREATURE FEATURE
,,It Was A Dark And Stormy Night...,2011,CREATURE FEATURE
American Gothic,../lyrics/creaturefeature/americangothic.html,American Gothic,2015,CREATURE FEATURE
The Netherworld,../lyrics/creaturefeature/thenetherworld.html,American Gothic,2015,CREATURE FEATURE
Nearly Departed,../lyrics/creaturefeature/nearlydeparted.html,American Gothic,2015,CREATURE FEATURE
Mad House,../lyrics/creaturefeature/madhouse.html,American Gothic,2015,CREATURE FEATURE
Here There Be Witches,../lyrics/creaturefeature/heretherebewitches.html,American Gothic,2015,CREATURE FEATURE
Dem Bones,../lyrics/creaturefeature/dembones.html,American Gothic,2015,CREATURE FEATURE
Haunted,../lyrics/creaturefeature/haunted.html,American Gothic,2015,CREATURE FEATURE
Spill Your Guts,../lyrics/creaturefeature/spillyourguts.html,American Gothic,2015,CREATURE FEATURE
Wake The Dead,../lyrics/creaturefeature/wakethedead.html,American Gothic,2015,CREATURE FEATURE
A Feast For The Worms,../lyrics/creaturefeature/afeastfortheworms.html,American Gothic,2015,CREATURE FEATURE
