song,link,album,year,artist
Suite: Judy Blue Eyes,../lyrics/crosbystillsnash/suitejudyblueeyes.html,"Crosby, Stills & Nash",1969,"CROSBY, STILLS & NASH"
Marrakesh Express,../lyrics/crosbystillsnash/marrakeshexpress.html,"Crosby, Stills & Nash",1969,"CROSBY, STILLS & NASH"
Guinnevere,../lyrics/crosbystillsnash/guinnevere.html,"Crosby, Stills & Nash",1969,"CROSBY, STILLS & NASH"
You Don't Have To Cry,../lyrics/crosbystillsnash/youdonthavetocry.html,"Crosby, Stills & Nash",1969,"CROSBY, STILLS & NASH"
Pre-Road Downs,../lyrics/crosbystillsnash/preroaddowns.html,"Crosby, Stills & Nash",1969,"CROSBY, STILLS & NASH"
Wooden Ships,../lyrics/crosbystillsnash/woodenships.html,"Crosby, Stills & Nash",1969,"CROSBY, STILLS & NASH"
Lady Of The Island,../lyrics/crosbystillsnash/ladyoftheisland.html,"Crosby, Stills & Nash",1969,"CROSBY, STILLS & NASH"
Helplessly Hoping,../lyrics/crosbystillsnash/helplesslyhoping.html,"Crosby, Stills & Nash",1969,"CROSBY, STILLS & NASH"
Long Time Gone,../lyrics/crosbystillsnash/longtimegone.html,"Crosby, Stills & Nash",1969,"CROSBY, STILLS & NASH"
49 Bye-Byes,../lyrics/crosbystillsnash/49byebyes.html,"Crosby, Stills & Nash",1969,"CROSBY, STILLS & NASH"
,,"Crosby, Stills & Nash",1969,"CROSBY, STILLS & NASH"
Shadow Captain,../lyrics/crosbystillsnash/shadowcaptain.html,CSN,1977,"CROSBY, STILLS & NASH"
See The Changes,../lyrics/crosbystillsnash/seethechanges.html,CSN,1977,"CROSBY, STILLS & NASH"
Carried Away,../lyrics/crosbystillsnash/carriedaway.html,CSN,1977,"CROSBY, STILLS & NASH"
Fair Game,../lyrics/crosbystillsnash/fairgame.html,CSN,1977,"CROSBY, STILLS & NASH"
Anything At All,../lyrics/crosbystillsnash/anythingatall.html,CSN,1977,"CROSBY, STILLS & NASH"
Cathedral,../lyrics/crosbystillsnash/cathedral.html,CSN,1977,"CROSBY, STILLS & NASH"
