song,link,album,year,artist
Starless,../lyrics/crossfade/starless.html,Crossfade,2004,CROSSFADE
Cold,../lyrics/crossfade/cold.html,Crossfade,2004,CROSSFADE
So Far Away,../lyrics/crossfade/sofaraway.html,Crossfade,2004,CROSSFADE
Colors,../lyrics/crossfade/colors.html,Crossfade,2004,CROSSFADE
Death Trend Setta,../lyrics/crossfade/deathtrendsetta.html,Crossfade,2004,CROSSFADE
The Deep End,../lyrics/crossfade/thedeepend.html,Crossfade,2004,CROSSFADE
No Giving Up,../lyrics/crossfade/nogivingup.html,Crossfade,2004,CROSSFADE
Dead Skin,../lyrics/crossfade/deadskin.html,Crossfade,2004,CROSSFADE
Disco,../lyrics/crossfade/disco.html,Crossfade,2004,CROSSFADE
The Unknown,../lyrics/crossfade/theunknown.html,Crossfade,2004,CROSSFADE
,,Crossfade,2004,CROSSFADE
Washing The World Away,../lyrics/crossfade/washingtheworldaway.html,Falling Away,2006,CROSSFADE
Already Gone,../lyrics/crossfade/alreadygone.html,Falling Away,2006,CROSSFADE
Someday,../lyrics/crossfade/someday.html,Falling Away,2006,CROSSFADE
Invincible,../lyrics/crossfade/invincible.html,Falling Away,2006,CROSSFADE
Falling Away,../lyrics/crossfade/fallingaway.html,Falling Away,2006,CROSSFADE
Everything's Wrong,../lyrics/crossfade/everythingswrong.html,Falling Away,2006,CROSSFADE
Why,../lyrics/crossfade/why.html,Falling Away,2006,CROSSFADE
Breathing Slowly,../lyrics/crossfade/breathingslowly.html,Falling Away,2006,CROSSFADE
Anchor,../lyrics/crossfade/anchor.html,Falling Away,2006,CROSSFADE
Drown You Out,../lyrics/crossfade/drownyouout.html,Falling Away,2006,CROSSFADE
Never Coming Home,../lyrics/crossfade/nevercominghome.html,Falling Away,2006,CROSSFADE
,,Falling Away,2006,CROSSFADE
Dead Memories,../lyrics/crossfade/deadmemories.html,We All Bleed,2011,CROSSFADE
Killing Me Inside,../lyrics/crossfade/killingmeinside.html,We All Bleed,2011,CROSSFADE
Prove You Wrong,../lyrics/crossfade/proveyouwrong.html,We All Bleed,2011,CROSSFADE
Lay Me Down,../lyrics/crossfade/laymedown.html,We All Bleed,2011,CROSSFADE
Dear Cocaine,../lyrics/crossfade/dearcocaine.html,We All Bleed,2011,CROSSFADE
Suffocate,../lyrics/crossfade/suffocate.html,We All Bleed,2011,CROSSFADE
I Think You Should Know,../lyrics/crossfade/ithinkyoushouldknow.html,We All Bleed,2011,CROSSFADE
We All Bleed,../lyrics/crossfade/weallbleed.html,We All Bleed,2011,CROSSFADE
Open Up Your Eyes,../lyrics/crossfade/openupyoureyes.html,We All Bleed,2011,CROSSFADE
Make Me A Believer,../lyrics/crossfade/makemeabeliever.html,We All Bleed,2011,CROSSFADE
Broken Like An Angel,../lyrics/crossfade/brokenlikeanangel.html,,,CROSSFADE
