song,link,album,year,artist
Beat Me,../lyrics/custom/beatme.html,Fast,2002,CUSTOM
Hey Mister,../lyrics/custom/heymister.html,Fast,2002,CUSTOM
Streets,../lyrics/custom/streets.html,Fast,2002,CUSTOM
Like You,../lyrics/custom/likeyou.html,Fast,2002,CUSTOM
Mess,../lyrics/custom/mess.html,Fast,2002,CUSTOM
Morning Spank,../lyrics/custom/morningspank.html,Fast,2002,CUSTOM
Skate,../lyrics/custom/skate.html,Fast,2002,CUSTOM
May 26,../lyrics/custom/may26.html,Fast,2002,CUSTOM
Give,../lyrics/custom/give.html,Fast,2002,CUSTOM
Daddy,../lyrics/custom/daddy.html,Fast,2002,CUSTOM
One Day,../lyrics/custom/oneday.html,Fast,2002,CUSTOM
Crawl,../lyrics/custom/crawl.html,Fast,2002,CUSTOM
120,../lyrics/custom/120.html,Fast,2002,CUSTOM
