song,link,album,year,artist
Trouble,../lyrics/damianmarley/trouble.html,Mr. Marley,1996,DAMIAN MARLEY
Love And Inity,../lyrics/damianmarley/loveandinity.html,Mr. Marley,1996,DAMIAN MARLEY
"10,000 Chariots",../lyrics/damianmarley/10000chariots.html,Mr. Marley,1996,DAMIAN MARLEY
Old War Chant,../lyrics/damianmarley/oldwarchant.html,Mr. Marley,1996,DAMIAN MARLEY
Party Time,../lyrics/damianmarley/partytime.html,Mr. Marley,1996,DAMIAN MARLEY
Kingston 12,../lyrics/damianmarley/kingston12.html,Mr. Marley,1996,DAMIAN MARLEY
Keep On Grooving,../lyrics/damianmarley/keepongrooving.html,Mr. Marley,1996,DAMIAN MARLEY
Searching (So Much Bubble),../lyrics/damianmarley/searchingsomuchbubble.html,Mr. Marley,1996,DAMIAN MARLEY
One More Cup Of Coffee,../lyrics/damianmarley/onemorecupofcoffee.html,Mr. Marley,1996,DAMIAN MARLEY
Julie,../lyrics/damianmarley/julie.html,Mr. Marley,1996,DAMIAN MARLEY
Me Name Jr. Gong,../lyrics/damianmarley/menamejrgong.html,Mr. Marley,1996,DAMIAN MARLEY
Mr. Marley,../lyrics/damianmarley/mrmarley.html,Mr. Marley,1996,DAMIAN MARLEY
,,Mr. Marley,1996,DAMIAN MARLEY
Educated Fools,../lyrics/damianmarley/educatedfools.html,Halfway Tree,2001,DAMIAN MARLEY
More Justice,../lyrics/damianmarley/morejustice.html,Halfway Tree,2001,DAMIAN MARLEY
It Was Written,../lyrics/damianmarley/itwaswritten.html,Halfway Tree,2001,DAMIAN MARLEY
Catch A Fire,../lyrics/damianmarley/catchafire.html,Halfway Tree,2001,DAMIAN MARLEY
Still Searchin',../lyrics/damianmarley/stillsearchin.html,Halfway Tree,2001,DAMIAN MARLEY
She Needs My Love,../lyrics/damianmarley/sheneedsmylove.html,Halfway Tree,2001,DAMIAN MARLEY
Mi Blenda,../lyrics/damianmarley/miblenda.html,Halfway Tree,2001,DAMIAN MARLEY
Where Is The Love,../lyrics/damianmarley/whereisthelove.html,Halfway Tree,2001,DAMIAN MARLEY
Harder (Interlude),../lyrics/damianmarley/harderinterlude.html,Halfway Tree,2001,DAMIAN MARLEY
Born To Be Wild,../lyrics/damianmarley/borntobewild.html,Halfway Tree,2001,DAMIAN MARLEY
Give Dem Some Way,../lyrics/damianmarley/givedemsomeway.html,Halfway Tree,2001,DAMIAN MARLEY
Paradise Child,../lyrics/damianmarley/paradisechild.html,Halfway Tree,2001,DAMIAN MARLEY
Stuck In Between,../lyrics/damianmarley/stuckinbetween.html,Halfway Tree,2001,DAMIAN MARLEY
Half Way Tree,../lyrics/damianmarley/halfwaytree.html,Halfway Tree,2001,DAMIAN MARLEY
Stand A Chance,../lyrics/damianmarley/standachance.html,Halfway Tree,2001,DAMIAN MARLEY
,,Halfway Tree,2001,DAMIAN MARLEY
Confrontation,../lyrics/damianmarley/confrontation.html,Welcome To Jamrock,2005,DAMIAN MARLEY
There For You,../lyrics/damianmarley/thereforyou.html,Welcome To Jamrock,2005,DAMIAN MARLEY
Welcome To Jamrock,../lyrics/damianmarley/welcometojamrock.html,Welcome To Jamrock,2005,DAMIAN MARLEY
The Master Has Come Back,../lyrics/damianmarley/themasterhascomeback.html,Welcome To Jamrock,2005,DAMIAN MARLEY
All Night,../lyrics/damianmarley/allnight.html,Welcome To Jamrock,2005,DAMIAN MARLEY
Beautiful,../lyrics/damianmarley/beautiful.html,Welcome To Jamrock,2005,DAMIAN MARLEY
Pimpa's Paradise,../lyrics/damianmarley/pimpasparadise.html,Welcome To Jamrock,2005,DAMIAN MARLEY
Move!,../lyrics/damianmarley/move.html,Welcome To Jamrock,2005,DAMIAN MARLEY
For The Babies,../lyrics/damianmarley/forthebabies.html,Welcome To Jamrock,2005,DAMIAN MARLEY
Hey Girl,../lyrics/damianmarley/heygirl.html,Welcome To Jamrock,2005,DAMIAN MARLEY
Road To Zion,../lyrics/damianmarley/roadtozion.html,Welcome To Jamrock,2005,DAMIAN MARLEY
We're Gonna Make It,../lyrics/damianmarley/weregonnamakeit.html,Welcome To Jamrock,2005,DAMIAN MARLEY
In 2 Deep,../lyrics/damianmarley/in2deep.html,Welcome To Jamrock,2005,DAMIAN MARLEY
Khaki Suit,../lyrics/damianmarley/khakisuit.html,Welcome To Jamrock,2005,DAMIAN MARLEY
,,Welcome To Jamrock,2005,DAMIAN MARLEY
As We Enter,http://www.azlyrics.com/lyrics/nas/asweenter.html,,,DAMIAN MARLEY
Tribes At War,http://www.azlyrics.com/lyrics/nas/tribesatwar.html,,,DAMIAN MARLEY
Strong Will Continue,http://www.azlyrics.com/lyrics/nas/strongwillcontinue.html,,,DAMIAN MARLEY
Leaders,http://www.azlyrics.com/lyrics/nas/leaders.html,,,DAMIAN MARLEY
Friends,http://www.azlyrics.com/lyrics/nas/friends.html,,,DAMIAN MARLEY
Count Your Blessings,http://www.azlyrics.com/lyrics/nas/countyourblessings.html,,,DAMIAN MARLEY
Dispear,http://www.azlyrics.com/lyrics/nas/dispear.html,,,DAMIAN MARLEY
Land Of Promise,http://www.azlyrics.com/lyrics/nas/landofpromise.html,,,DAMIAN MARLEY
In His Own Words,http://www.azlyrics.com/lyrics/nas/inhisownwords.html,,,DAMIAN MARLEY
Nah Mean,http://www.azlyrics.com/lyrics/nas/nahmean.html,,,DAMIAN MARLEY
Patience,http://www.azlyrics.com/lyrics/nas/patience.html,,,DAMIAN MARLEY
My Generation,http://www.azlyrics.com/lyrics/nas/mygeneration.html,,,DAMIAN MARLEY
Africa Must Wake Up,http://www.azlyrics.com/lyrics/nas/africamustwakeup.html,,,DAMIAN MARLEY
Ancient People,http://www.azlyrics.com/lyrics/nas/ancientpeople.html,,,DAMIAN MARLEY
Affairs Of The Heart,../lyrics/damianmarley/affairsoftheheart.html,,,DAMIAN MARLEY
Hard Work,../lyrics/damianmarley/hardwork.html,,,DAMIAN MARLEY
Holiday,../lyrics/damianmarley/holiday.html,,,DAMIAN MARLEY
Independence,../lyrics/damianmarley/independence.html,,,DAMIAN MARLEY
Is It Worth It ? (Gunman World),../lyrics/damianmarley/gunmanworld.html,,,DAMIAN MARLEY
Just Ain't The Same,../lyrics/damianmarley/justaintthesame.html,,,DAMIAN MARLEY
One Loaf Of Bread,../lyrics/damianmarley/oneloafofbread.html,,,DAMIAN MARLEY
Set Up Shop,../lyrics/damianmarley/setupshop.html,,,DAMIAN MARLEY
The Dreadful,../lyrics/damianmarley/thedreadful.html,,,DAMIAN MARLEY
The Mission,../lyrics/damianmarley/themission.html,,,DAMIAN MARLEY
