song,link,album,year,artist
Late At Night,../lyrics/danseals/lateatnight.html,Stones,1980,DAN SEALS
Love Me Like The Last Time,../lyrics/danseals/lovemelikethelasttime.html,Stones,1980,DAN SEALS
Getting To The Point,../lyrics/danseals/gettingtothepoint.html,Stones,1980,DAN SEALS
You Could've Been The One,../lyrics/danseals/youcouldvebeentheone.html,Stones,1980,DAN SEALS
Lullaby,../lyrics/danseals/lullaby.html,Stones,1980,DAN SEALS
,,Stones,1980,DAN SEALS
I Don't Believe I'll Fall In Love Again,../lyrics/danseals/idontbelieveillfallinloveagain.html,Harbinger,1982,DAN SEALS
,,Harbinger,1982,DAN SEALS
You Really Go For The Heart,../lyrics/danseals/youreallygofortheheart.html,Rebel Heart,1983,DAN SEALS
After You,../lyrics/danseals/afteryou.html,Rebel Heart,1983,DAN SEALS
Everybody's Dream Girl,../lyrics/danseals/everybodysdreamgirl.html,Rebel Heart,1983,DAN SEALS
Candle In The Rain,../lyrics/danseals/candleintherain.html,Rebel Heart,1983,DAN SEALS
God Must Be A Cowboy,../lyrics/danseals/godmustbeacowboy.html,Rebel Heart,1983,DAN SEALS
,,Rebel Heart,1983,DAN SEALS
In San Antone,../lyrics/danseals/insanantone.html,San Antone,1984,DAN SEALS
My Baby's Got Good Timing,../lyrics/danseals/mybabysgotgoodtiming.html,San Antone,1984,DAN SEALS
(You Bring Out) The Wild Side Of Me,../lyrics/danseals/youbringoutthewildsideofme.html,San Antone,1984,DAN SEALS
My Old Yellow Car,../lyrics/danseals/myoldyellowcar.html,San Antone,1984,DAN SEALS
She Thinks I Still Care,../lyrics/danseals/shethinksistillcare.html,San Antone,1984,DAN SEALS
One Friend,../lyrics/danseals/onefriend.html,San Antone,1984,DAN SEALS
,,San Antone,1984,DAN SEALS
Headin' West,../lyrics/danseals/headinwest.html,Won't Be Blue Anymore,1985,DAN SEALS
I Won't Be Blue Anymore,../lyrics/danseals/iwontbeblueanymore.html,Won't Be Blue Anymore,1985,DAN SEALS
Everything That Glitters (Is Not Gold),../lyrics/danseals/everythingthatglittersisnotgold.html,Won't Be Blue Anymore,1985,DAN SEALS
Tobacco Road,../lyrics/danseals/tobaccoroad.html,Won't Be Blue Anymore,1985,DAN SEALS
You Plant Your Fields,../lyrics/danseals/youplantyourfields.html,Won't Be Blue Anymore,1985,DAN SEALS
Meet Me In Montana,../lyrics/danseals/meetmeinmontana.html,Won't Be Blue Anymore,1985,DAN SEALS
Bop,../lyrics/danseals/bop.html,Won't Be Blue Anymore,1985,DAN SEALS
City Kind Of Girl,../lyrics/danseals/citykindofgirl.html,Won't Be Blue Anymore,1985,DAN SEALS
,,Won't Be Blue Anymore,1985,DAN SEALS
Three Time Loser,../lyrics/danseals/threetimeloser.html,On The Front Line,1986,DAN SEALS
I Will Be There,../lyrics/danseals/iwillbethere.html,On The Front Line,1986,DAN SEALS
You Still Move Me,../lyrics/danseals/youstillmoveme.html,On The Front Line,1986,DAN SEALS
Lullaby,../lyrics/danseals/lullaby.html,On The Front Line,1986,DAN SEALS
,,On The Front Line,1986,DAN SEALS
Big Wheels In The Moonlight,../lyrics/danseals/bigwheelsinthemoonlight.html,Rage On,1988,DAN SEALS
They Rage On,../lyrics/danseals/theyrageon.html,Rage On,1988,DAN SEALS
Five Generations Of Rock County Wilsons,../lyrics/danseals/fivegenerationsofrockcountywilsons.html,Rage On,1988,DAN SEALS
Twenty-Four Hour Love,../lyrics/danseals/twentyfourhourlove.html,Rage On,1988,DAN SEALS
Factory Town,../lyrics/danseals/factorytown.html,Rage On,1988,DAN SEALS
Addicted,../lyrics/danseals/addicted.html,Rage On,1988,DAN SEALS
Those,../lyrics/danseals/those.html,Rage On,1988,DAN SEALS
,,Rage On,1988,DAN SEALS
Good Times,../lyrics/danseals/goodtimes.html,On Arrival,1990,DAN SEALS
Made For Lovin' You,../lyrics/danseals/madeforlovinyou.html,On Arrival,1990,DAN SEALS
She Flew The Coupe,../lyrics/danseals/sheflewthecoupe.html,On Arrival,1990,DAN SEALS
Wood,../lyrics/danseals/wood.html,On Arrival,1990,DAN SEALS
Bordertown,../lyrics/danseals/bordertown.html,On Arrival,1990,DAN SEALS
Water Under The Bridge,../lyrics/danseals/waterunderthebridge.html,On Arrival,1990,DAN SEALS
Love On Arrival,../lyrics/danseals/loveonarrival.html,On Arrival,1990,DAN SEALS
A Heart In Search Of Love,../lyrics/danseals/aheartinsearchoflove.html,On Arrival,1990,DAN SEALS
Lonestar,../lyrics/danseals/lonestar.html,On Arrival,1990,DAN SEALS
Game Of Love,../lyrics/danseals/gameoflove.html,On Arrival,1990,DAN SEALS
,,On Arrival,1990,DAN SEALS
Mason Dixon Line,../lyrics/danseals/masondixonline.html,Walking The Wire,1992,DAN SEALS
Someone Else's Dance,../lyrics/danseals/someoneelsesdance.html,Walking The Wire,1992,DAN SEALS
Sneaky Moon,../lyrics/danseals/sneakymoon.html,Walking The Wire,1992,DAN SEALS
Sweet Little Shoe,../lyrics/danseals/sweetlittleshoe.html,Walking The Wire,1992,DAN SEALS
We Are One,../lyrics/danseals/weareone.html,Walking The Wire,1992,DAN SEALS
,,Walking The Wire,1992,DAN SEALS
All Fired Up,../lyrics/danseals/allfiredup.html,Fired Up,1994,DAN SEALS
A Rose From Another Garden,../lyrics/danseals/arosefromanothergarden.html,Fired Up,1994,DAN SEALS
Gentleman Of Leisure,../lyrics/danseals/gentlemanofleisure.html,Fired Up,1994,DAN SEALS
Still Reelin' (From Those Rock & Roll Days),../lyrics/danseals/stillreelinfromthoserockrolldays.html,Fired Up,1994,DAN SEALS
,,Fired Up,1994,DAN SEALS
Angel Eyes,../lyrics/danseals/angeleyes.html,Make It Home,2002,DAN SEALS
Such A Sweet Sight,../lyrics/danseals/suchasweetsight.html,Make It Home,2002,DAN SEALS
Saw You In My Dreams,../lyrics/danseals/sawyouinmydreams.html,Make It Home,2002,DAN SEALS
Certain Circles,../lyrics/danseals/certaincircles.html,Make It Home,2002,DAN SEALS
Only You,../lyrics/danseals/onlyyou.html,Make It Home,2002,DAN SEALS
Reminiscing,../lyrics/danseals/reminiscing.html,Make It Home,2002,DAN SEALS
Blessed,../lyrics/danseals/blessed.html,Make It Home,2002,DAN SEALS
It Don't Matter Who You Love,../lyrics/danseals/itdontmatterwhoyoulove.html,Make It Home,2002,DAN SEALS
Make It Home,../lyrics/danseals/makeithome.html,Make It Home,2002,DAN SEALS
Why This River Runs,../lyrics/danseals/whythisriverruns.html,Make It Home,2002,DAN SEALS
Ball And Chain,../lyrics/danseals/ballandchain.html,,,DAN SEALS
God Must Be A Cowboy At Heart,../lyrics/danseals/godmustbeacowboyatheart.html,,,DAN SEALS
I'd Really Love To See You Tonight,../lyrics/danseals/idreallylovetoseeyoutonight.html,,,DAN SEALS
L.O.A. (Love On Arrival),../lyrics/danseals/loaloveonarrival.html,,,DAN SEALS
Love Is The Answer,../lyrics/danseals/loveistheanswer.html,,,DAN SEALS
Nights Are Forever Without You,../lyrics/danseals/nightsareforeverwithoutyou.html,,,DAN SEALS
The Healin' Kind,../lyrics/danseals/thehealinkind.html,,,DAN SEALS
