song,link,album,year,artist
Wild One,../lyrics/dariusrucker/wildone.html,Back To Then,2002,DARIUS RUCKER
Exodus,../lyrics/dariusrucker/exodus.html,Back To Then,2002,DARIUS RUCKER
Sometimes I Wonder,../lyrics/dariusrucker/sometimesiwonder.html,Back To Then,2002,DARIUS RUCKER
This Is My World,../lyrics/dariusrucker/thisismyworld.html,Back To Then,2002,DARIUS RUCKER
I'm Glad You're Mine,../lyrics/dariusrucker/imgladyouremine.html,Back To Then,2002,DARIUS RUCKER
Butterfly,../lyrics/dariusrucker/butterfly.html,Back To Then,2002,DARIUS RUCKER
Hold On,../lyrics/dariusrucker/holdon.html,Back To Then,2002,DARIUS RUCKER
Ten Years,../lyrics/dariusrucker/tenyears.html,Back To Then,2002,DARIUS RUCKER
One More Night,../lyrics/dariusrucker/onemorenight.html,Back To Then,2002,DARIUS RUCKER
Amazing Grace (Interlude),../lyrics/dariusrucker/amazinggraceinterlude.html,Back To Then,2002,DARIUS RUCKER
Somewhere,../lyrics/dariusrucker/somewhere.html,Back To Then,2002,DARIUS RUCKER
,,Back To Then,2002,DARIUS RUCKER
Forever Road,../lyrics/dariusrucker/foreverroad.html,Learn To Live,2008,DARIUS RUCKER
All I Want,../lyrics/dariusrucker/alliwant.html,Learn To Live,2008,DARIUS RUCKER
Don't Think I Don't Think About It,../lyrics/dariusrucker/dontthinkidontthinkaboutit.html,Learn To Live,2008,DARIUS RUCKER
Learn To Live,../lyrics/dariusrucker/learntolive.html,Learn To Live,2008,DARIUS RUCKER
If I Had Wings,../lyrics/dariusrucker/ifihadwings.html,Learn To Live,2008,DARIUS RUCKER
History In The Making,../lyrics/dariusrucker/historyinthemaking.html,Learn To Live,2008,DARIUS RUCKER
Alright,../lyrics/dariusrucker/alright.html,Learn To Live,2008,DARIUS RUCKER
It Won't Be Like This For Long,../lyrics/dariusrucker/itwontbelikethisforlong.html,Learn To Live,2008,DARIUS RUCKER
Drinkin' And Dialin',../lyrics/dariusrucker/drinkinanddialin.html,Learn To Live,2008,DARIUS RUCKER
I Hope They Get To Me In Time,../lyrics/dariusrucker/ihopetheygettomeintime.html,Learn To Live,2008,DARIUS RUCKER
While I Still Got The Time,../lyrics/dariusrucker/whileistillgotthetime.html,Learn To Live,2008,DARIUS RUCKER
Be Wary Of A Woman,../lyrics/dariusrucker/bewaryofawoman.html,Learn To Live,2008,DARIUS RUCKER
,,Learn To Live,2008,DARIUS RUCKER
