song,link,album,year,artist
Feel The Beat,../lyrics/darude/feelthebeat.html,Before The Storm,2000,DARUDE
Out Of Control,../lyrics/darude/outofcontrol.html,Before The Storm,2000,DARUDE
Calm Before The Storm,../lyrics/darude/calmbeforethestorm.html,Before The Storm,2000,DARUDE
Let The Music Take Control,../lyrics/darude/letthemusictakecontrol.html,Before The Storm,2000,DARUDE
The Flow,../lyrics/darude/theflow.html,Before The Storm,2000,DARUDE
Feel The Beat (JS16 Dark Mix),../lyrics/darude/feelthebeatjs16darkmix.html,Before The Storm,2000,DARUDE
,,Before The Storm,2000,DARUDE
Music,../lyrics/darude/music.html,Rush,2003,DARUDE
Next To You,../lyrics/darude/nexttoyou.html,Rush,2003,DARUDE
Next To You (Vocal Mix),../lyrics/darude/nexttoyouvocalmix.html,Rush,2003,DARUDE
,,Rush,2003,DARUDE
My Game,../lyrics/darude/mygame.html,Label This!,2007,DARUDE
Tell Me,../lyrics/darude/tellme.html,Label This!,2007,DARUDE
I Ran (So Far Away),../lyrics/darude/iransofaraway.html,Label This!,2007,DARUDE
Stars (Here With Me),../lyrics/darude/starsherewithme.html,Label This!,2007,DARUDE
Good Grooves,../lyrics/darude/goodgrooves.html,Label This!,2007,DARUDE
In The Darkness,../lyrics/darude/inthedarkness.html,Label This!,2007,DARUDE
Label This!,../lyrics/darude/labelthis.html,Label This!,2007,DARUDE
Dreams,../lyrics/darude/dreams.html,Label This!,2007,DARUDE
,,Label This!,2007,DARUDE
Beautiful Alien,../lyrics/darude/beautifulalien.html,Moments,2015,DARUDE
One Lifetime,../lyrics/darude/onelifetime.html,Moments,2015,DARUDE
