song,link,album,year,artist
Better Half Of Me,../lyrics/dashberlin/betterhalfofme.html,#musicislife,2012,DASH BERLIN
Disarm Yourself,../lyrics/dashberlin/disarmyourself.html,#musicislife,2012,DASH BERLIN
Silence In Your Heart,../lyrics/dashberlin/silenceinyourheart.html,#musicislife,2012,DASH BERLIN
Go It Alone,../lyrics/dashberlin/goitalone.html,#musicislife,2012,DASH BERLIN
Like Spinning Plates,../lyrics/dashberlin/likespinningplates.html,#musicislife,2012,DASH BERLIN
When You Were Around,../lyrics/dashberlin/whenyouwerearound.html,#musicislife,2012,DASH BERLIN
Fool For Life,../lyrics/dashberlin/foolforlife.html,#musicislife,2012,DASH BERLIN
World Falls Apart,../lyrics/dashberlin/worldfallsapart.html,#musicislife,2012,DASH BERLIN
Surrender,../lyrics/dashberlin/surrender.html,#musicislife,2012,DASH BERLIN
Man On The Skyfire,../lyrics/dashberlin/manontheskyfire.html,#musicislife,2012,DASH BERLIN
,,#musicislife,2012,DASH BERLIN
Here Tonight,../lyrics/dashberlin/heretonight.html,"We Are, Part 1",2014,DASH BERLIN
Underneath The Sky,../lyrics/dashberlin/underneaththesky.html,"We Are, Part 1",2014,DASH BERLIN
Never Let You Go,../lyrics/dashberlin/neverletyougo.html,"We Are, Part 1",2014,DASH BERLIN
People Of The Night,../lyrics/dashberlin/peopleofthenight.html,"We Are, Part 1",2014,DASH BERLIN
Somehow,../lyrics/dashberlin/somehow.html,"We Are, Part 1",2014,DASH BERLIN
Earth Meets Water,../lyrics/dashberlin/earthmeetswater.html,"We Are, Part 1",2014,DASH BERLIN
Leave It All Behind,../lyrics/dashberlin/leaveitallbehind.html,"We Are, Part 1",2014,DASH BERLIN
Shelter,../lyrics/dashberlin/shelter.html,"We Are, Part 1",2014,DASH BERLIN
End Of Silence,../lyrics/dashberlin/endofsilence.html,,,DASH BERLIN
Gold,../lyrics/dashberlin/gold.html,,,DASH BERLIN
Man On The Run,../lyrics/dashberlin/manontherun.html,,,DASH BERLIN
Never Cry Again,../lyrics/dashberlin/nevercryagain.html,,,DASH BERLIN
Steal You Away,../lyrics/dashberlin/stealyouaway.html,,,DASH BERLIN
The Night Time,../lyrics/dashberlin/thenighttime.html,,,DASH BERLIN
This Is Who We Are,../lyrics/dashberlin/thisiswhoweare.html,,,DASH BERLIN
Till The Sky Falls Down,../lyrics/dashberlin/tilltheskyfallsdown.html,,,DASH BERLIN
Waiting,../lyrics/dashberlin/waiting.html,,,DASH BERLIN
Wired,../lyrics/dashberlin/wired.html,,,DASH BERLIN
