song,link,album,year,artist
Uncle Arthur,../lyrics/davidbowie/unclearthur.html,David Bowie,1967,DAVID BOWIE
Sell Me A Coat,../lyrics/davidbowie/sellmeacoat.html,David Bowie,1967,DAVID BOWIE
Rubber Band,../lyrics/davidbowie/rubberband.html,David Bowie,1967,DAVID BOWIE
Love You Till Tuesday,../lyrics/davidbowie/loveyoutilltuesday.html,David Bowie,1967,DAVID BOWIE
There Is A Happy Land,../lyrics/davidbowie/thereisahappyland.html,David Bowie,1967,DAVID BOWIE
We Are Hungry Men,../lyrics/davidbowie/wearehungrymen.html,David Bowie,1967,DAVID BOWIE
When I Live My Dream,../lyrics/davidbowie/whenilivemydream.html,David Bowie,1967,DAVID BOWIE
Little Bombadier,../lyrics/davidbowie/littlebombadier.html,David Bowie,1967,DAVID BOWIE
Silly Boy Blue,../lyrics/davidbowie/sillyboyblue.html,David Bowie,1967,DAVID BOWIE
Come And Buy My Toys,../lyrics/davidbowie/comeandbuymytoys.html,David Bowie,1967,DAVID BOWIE
Join The Gang,../lyrics/davidbowie/jointhegang.html,David Bowie,1967,DAVID BOWIE
She's Got Medals,../lyrics/davidbowie/shesgotmedals.html,David Bowie,1967,DAVID BOWIE
Maid Of Bond Street,../lyrics/davidbowie/maidofbondstreet.html,David Bowie,1967,DAVID BOWIE
Please Mr. Gravedigger,../lyrics/davidbowie/pleasemrgravedigger.html,David Bowie,1967,DAVID BOWIE
,,David Bowie,1967,DAVID BOWIE
Space Oddity,../lyrics/davidbowie/spaceoddity.html,Space Oddity,1969,DAVID BOWIE
Unwashed And Somewhat Slightly Dazed,../lyrics/davidbowie/unwashedandsomewhatslightlydazed.html,Space Oddity,1969,DAVID BOWIE
Letter To Hermione,../lyrics/davidbowie/lettertohermione.html,Space Oddity,1969,DAVID BOWIE
Cygnet Committee,../lyrics/davidbowie/cygnetcommittee.html,Space Oddity,1969,DAVID BOWIE
Janine,../lyrics/davidbowie/janine.html,Space Oddity,1969,DAVID BOWIE
An Occasional Dream,../lyrics/davidbowie/anoccasionaldream.html,Space Oddity,1969,DAVID BOWIE
Wild Eyed Boy From Freecloud,../lyrics/davidbowie/wildeyedboyfromfreecloud.html,Space Oddity,1969,DAVID BOWIE
God Knows I'm Good,../lyrics/davidbowie/godknowsimgood.html,Space Oddity,1969,DAVID BOWIE
Memory Of A Free Festival,../lyrics/davidbowie/memoryofafreefestival.html,Space Oddity,1969,DAVID BOWIE
,,Space Oddity,1969,DAVID BOWIE
Width Of A Circle,../lyrics/davidbowie/widthofacircle.html,The Man Who Sold The World,1970,DAVID BOWIE
All The Madmen,../lyrics/davidbowie/allthemadmen.html,The Man Who Sold The World,1970,DAVID BOWIE
Black Country Rock,../lyrics/davidbowie/blackcountryrock.html,The Man Who Sold The World,1970,DAVID BOWIE
After All,../lyrics/davidbowie/afterall.html,The Man Who Sold The World,1970,DAVID BOWIE
Running Gun Blues,../lyrics/davidbowie/runninggunblues.html,The Man Who Sold The World,1970,DAVID BOWIE
Saviour Machine,../lyrics/davidbowie/saviourmachine.html,The Man Who Sold The World,1970,DAVID BOWIE
She Shook Me Cold,../lyrics/davidbowie/sheshookmecold.html,The Man Who Sold The World,1970,DAVID BOWIE
The Man Who Sold The World,../lyrics/davidbowie/themanwhosoldtheworld.html,The Man Who Sold The World,1970,DAVID BOWIE
The Supermen,../lyrics/davidbowie/thesupermen.html,The Man Who Sold The World,1970,DAVID BOWIE
,,The Man Who Sold The World,1970,DAVID BOWIE
Changes,../lyrics/davidbowie/changes.html,Hunky Dory,1971,DAVID BOWIE
Oh! You Pretty Things,../lyrics/davidbowie/ohyouprettythings.html,Hunky Dory,1971,DAVID BOWIE
Eight Line Poem,../lyrics/davidbowie/eightlinepoem.html,Hunky Dory,1971,DAVID BOWIE
Life On Mars?,../lyrics/davidbowie/lifeonmars.html,Hunky Dory,1971,DAVID BOWIE
Kooks,../lyrics/davidbowie/kooks.html,Hunky Dory,1971,DAVID BOWIE
Quicksand,../lyrics/davidbowie/quicksand.html,Hunky Dory,1971,DAVID BOWIE
Fill Your Heart,../lyrics/davidbowie/fillyourheart.html,Hunky Dory,1971,DAVID BOWIE
Andy Warhol,../lyrics/davidbowie/andywarhol.html,Hunky Dory,1971,DAVID BOWIE
Song For Bob Dylan,../lyrics/davidbowie/songforbobdylan.html,Hunky Dory,1971,DAVID BOWIE
Queen Bitch,../lyrics/davidbowie/queenbitch.html,Hunky Dory,1971,DAVID BOWIE
The Bewlay Brothers,../lyrics/davidbowie/thebewlaybrothers.html,Hunky Dory,1971,DAVID BOWIE
Bombers,../lyrics/davidbowie/bombers.html,Hunky Dory,1971,DAVID BOWIE
,,Hunky Dory,1971,DAVID BOWIE
Five Years,../lyrics/davidbowie/fiveyears.html,The Rise And Fall Of Ziggy Stardust And The Spiders From Mars,1972,DAVID BOWIE
Soul Love,../lyrics/davidbowie/soullove.html,The Rise And Fall Of Ziggy Stardust And The Spiders From Mars,1972,DAVID BOWIE
Moonage Daydream,../lyrics/davidbowie/moonagedaydream.html,The Rise And Fall Of Ziggy Stardust And The Spiders From Mars,1972,DAVID BOWIE
Starman,../lyrics/davidbowie/starman.html,The Rise And Fall Of Ziggy Stardust And The Spiders From Mars,1972,DAVID BOWIE
It Ain't Easy,../lyrics/davidbowie/itainteasy.html,The Rise And Fall Of Ziggy Stardust And The Spiders From Mars,1972,DAVID BOWIE
Lady Stardust,../lyrics/davidbowie/ladystardust.html,The Rise And Fall Of Ziggy Stardust And The Spiders From Mars,1972,DAVID BOWIE
Star,../lyrics/davidbowie/star.html,The Rise And Fall Of Ziggy Stardust And The Spiders From Mars,1972,DAVID BOWIE
Hang On To Yourself,../lyrics/davidbowie/hangontoyourself.html,The Rise And Fall Of Ziggy Stardust And The Spiders From Mars,1972,DAVID BOWIE
Ziggy Stardust,../lyrics/davidbowie/ziggystardust.html,The Rise And Fall Of Ziggy Stardust And The Spiders From Mars,1972,DAVID BOWIE
Suffragette City,../lyrics/davidbowie/suffragettecity.html,The Rise And Fall Of Ziggy Stardust And The Spiders From Mars,1972,DAVID BOWIE
Rock 'N' Roll Suicide,../lyrics/davidbowie/rocknrollsuicide.html,The Rise And Fall Of Ziggy Stardust And The Spiders From Mars,1972,DAVID BOWIE
,,The Rise And Fall Of Ziggy Stardust And The Spiders From Mars,1972,DAVID BOWIE
Watch That Man,../lyrics/davidbowie/watchthatman.html,Aladdin Sane,1973,DAVID BOWIE
Aladdin Sane,../lyrics/davidbowie/aladdinsane.html,Aladdin Sane,1973,DAVID BOWIE
Drive-In Saturday,../lyrics/davidbowie/driveinsaturday.html,Aladdin Sane,1973,DAVID BOWIE
Panic In Detroit,../lyrics/davidbowie/panicindetroit.html,Aladdin Sane,1973,DAVID BOWIE
Cracked Actor,../lyrics/davidbowie/crackedactor.html,Aladdin Sane,1973,DAVID BOWIE
Time,../lyrics/davidbowie/time.html,Aladdin Sane,1973,DAVID BOWIE
The Prettiest Star,../lyrics/davidbowie/theprettieststar.html,Aladdin Sane,1973,DAVID BOWIE
Let's Spend The Night Together,../lyrics/davidbowie/letsspendthenighttogether.html,Aladdin Sane,1973,DAVID BOWIE
The Jean Genie,../lyrics/davidbowie/thejeangenie.html,Aladdin Sane,1973,DAVID BOWIE
