song,link,album,year,artist
Jerome,../lyrics/zelladay/jerome.html,Kicker,2015,"DAY, ZELLA"
High,../lyrics/zelladay/high.html,Kicker,2015,"DAY, ZELLA"
Ace Of Hearts,../lyrics/zelladay/aceofhearts.html,Kicker,2015,"DAY, ZELLA"
1965,../lyrics/zelladay/1965.html,Kicker,2015,"DAY, ZELLA"
East Of Eden,../lyrics/zelladay/eastofeden.html,Kicker,2015,"DAY, ZELLA"
Hypnotic,../lyrics/zelladay/hypnotic.html,Kicker,2015,"DAY, ZELLA"
Mustang Kids,../lyrics/zelladay/mustangkids.html,Kicker,2015,"DAY, ZELLA"
The Outlaw Josey Wales,../lyrics/zelladay/theoutlawjoseywales.html,Kicker,2015,"DAY, ZELLA"
Jameson,../lyrics/zelladay/jameson.html,Kicker,2015,"DAY, ZELLA"
Shadow Preachers,../lyrics/zelladay/shadowpreachers.html,Kicker,2015,"DAY, ZELLA"
Sweet Ophelia,../lyrics/zelladay/sweetophelia.html,Kicker,2015,"DAY, ZELLA"
Compass,../lyrics/zelladay/compass.html,Kicker,2015,"DAY, ZELLA"
Bloodline,../lyrics/zelladay/bloodline.html,,,"DAY, ZELLA"
Cynics Vs Dreamers,../lyrics/zelladay/cynicsvsdreamers.html,,,"DAY, ZELLA"
Hunnie Pie,../lyrics/zelladay/hunniepie.html,,,"DAY, ZELLA"
Man On The Moon,../lyrics/zelladay/manonthemoon.html,,,"DAY, ZELLA"
No Sleep To Dream,../lyrics/zelladay/nosleeptodream.html,,,"DAY, ZELLA"
Sacrifice,../lyrics/zelladay/sacrifice.html,,,"DAY, ZELLA"
Seven Nation Army,../lyrics/zelladay/sevennationarmy.html,,,"DAY, ZELLA"
Simple Song,../lyrics/zelladay/simplesong.html,,,"DAY, ZELLA"
