song,link,album,year,artist
Davidian,../lyrics/machinehead/davidian.html,Burn My Eyes,1994,MACHINE HEAD
Old,../lyrics/machinehead/old.html,Burn My Eyes,1994,MACHINE HEAD
A Thousand Lies,../lyrics/machinehead/athousandlies.html,Burn My Eyes,1994,MACHINE HEAD
None But My Own,../lyrics/machinehead/nonebutmyown.html,Burn My Eyes,1994,MACHINE HEAD
The Rage To Overcome,../lyrics/machinehead/theragetoovercome.html,Burn My Eyes,1994,MACHINE HEAD
Death Church,../lyrics/machinehead/deathchurch.html,Burn My Eyes,1994,MACHINE HEAD
A Nation On Fire,../lyrics/machinehead/anationonfire.html,Burn My Eyes,1994,MACHINE HEAD
Blood For Blood,../lyrics/machinehead/bloodforblood.html,Burn My Eyes,1994,MACHINE HEAD
I'm Your God Now,../lyrics/machinehead/imyourgodnow.html,Burn My Eyes,1994,MACHINE HEAD
Block,../lyrics/machinehead/block.html,Burn My Eyes,1994,MACHINE HEAD
Alan's On Fire,../lyrics/machinehead/alansonfire.html,Burn My Eyes,1994,MACHINE HEAD
,,Burn My Eyes,1994,MACHINE HEAD
Ten Ton Hammer,../lyrics/machinehead/tentonhammer.html,The More Things Change...,1997,MACHINE HEAD
Take My Scars,../lyrics/machinehead/takemyscars.html,The More Things Change...,1997,MACHINE HEAD
Struck A Nerve,../lyrics/machinehead/struckanerve.html,The More Things Change...,1997,MACHINE HEAD
Down To None,../lyrics/machinehead/downtonone.html,The More Things Change...,1997,MACHINE HEAD
The Frontlines,../lyrics/machinehead/thefrontlines.html,The More Things Change...,1997,MACHINE HEAD
Spine,../lyrics/machinehead/spine.html,The More Things Change...,1997,MACHINE HEAD
Bay Of Pigs,../lyrics/machinehead/bayofpigs.html,The More Things Change...,1997,MACHINE HEAD
Violate,../lyrics/machinehead/violate.html,The More Things Change...,1997,MACHINE HEAD
Blistering,../lyrics/machinehead/blistering.html,The More Things Change...,1997,MACHINE HEAD
Blood Of The Zodiac,../lyrics/machinehead/bloodofthezodiac.html,The More Things Change...,1997,MACHINE HEAD
My Misery,../lyrics/machinehead/mymisery.html,The More Things Change...,1997,MACHINE HEAD
,,The More Things Change...,1997,MACHINE HEAD
Desire To Fire,../lyrics/machinehead/desiretofire.html,The Burning Red,1999,MACHINE HEAD
Nothing Left,../lyrics/machinehead/nothingleft.html,The Burning Red,1999,MACHINE HEAD
"The Blood, The Sweat, The Tears",../lyrics/machinehead/thebloodthesweatthetears.html,The Burning Red,1999,MACHINE HEAD
Silver,../lyrics/machinehead/silver.html,The Burning Red,1999,MACHINE HEAD
From This Day,../lyrics/machinehead/fromthisday.html,The Burning Red,1999,MACHINE HEAD
Exhale The Vile,../lyrics/machinehead/exhalethevile.html,The Burning Red,1999,MACHINE HEAD
Message In A Bottle,../lyrics/machinehead/messageinabottle.html,The Burning Red,1999,MACHINE HEAD
Devil With The King's Card,../lyrics/machinehead/devilwiththekingscard.html,The Burning Red,1999,MACHINE HEAD
I Defy,../lyrics/machinehead/idefy.html,The Burning Red,1999,MACHINE HEAD
Five,../lyrics/machinehead/five.html,The Burning Red,1999,MACHINE HEAD
The Burning Red,../lyrics/machinehead/theburningred.html,The Burning Red,1999,MACHINE HEAD
,,The Burning Red,1999,MACHINE HEAD
From This Day (Edit),../lyrics/machinehead/fromthisdayedit.html,From This Day,2000,MACHINE HEAD
Alcoholocaust,../lyrics/machinehead/alcoholocaust.html,From This Day,2000,MACHINE HEAD
House Of Suffering,../lyrics/machinehead/houseofsuffering.html,From This Day,2000,MACHINE HEAD
,,From This Day,2000,MACHINE HEAD
Bulldozer,../lyrics/machinehead/bulldozer.html,Supercharger,2001,MACHINE HEAD
White-Knuckle Blackout!,../lyrics/machinehead/whiteknuckleblackout.html,Supercharger,2001,MACHINE HEAD
Crashing Around You,../lyrics/machinehead/crashingaroundyou.html,Supercharger,2001,MACHINE HEAD
Kick You When You're Down,../lyrics/machinehead/kickyouwhenyouredown.html,Supercharger,2001,MACHINE HEAD
Only The Names,../lyrics/machinehead/onlythenames.html,Supercharger,2001,MACHINE HEAD
All In Your Head,../lyrics/machinehead/allinyourhead.html,Supercharger,2001,MACHINE HEAD
American High,../lyrics/machinehead/americanhigh.html,Supercharger,2001,MACHINE HEAD
