song,link,album,year,artist
"Young Money, Cash Money",../lyrics/mackmaine/youngmoneycashmoney.html,The Laxative,2010,MACK MAINE
Ghetto Commandments,../lyrics/mackmaine/ghettocommandments.html,The Laxative,2010,MACK MAINE
Young Mulah Baby,../lyrics/mackmaine/youngmulahbaby.html,The Laxative,2010,MACK MAINE
Up Jumps Da Boogie,../lyrics/mackmaine/upjumpsdaboogie.html,The Laxative,2010,MACK MAINE
Viktory,../lyrics/mackmaine/viktory.html,The Laxative,2010,MACK MAINE
What You Want,../lyrics/mackmaine/whatyouwant.html,The Laxative,2010,MACK MAINE
My Reality,../lyrics/mackmaine/myreality.html,The Laxative,2010,MACK MAINE
Groundhog Day,../lyrics/mackmaine/groundhogday.html,The Laxative,2010,MACK MAINE
Moonshine,../lyrics/mackmaine/moonshine.html,The Laxative,2010,MACK MAINE
I'm In Love,../lyrics/mackmaine/iminlove.html,The Laxative,2010,MACK MAINE
,,The Laxative,2010,MACK MAINE
5 In The Morning,../lyrics/mackmaine/5inthemorning.html,Freestyle 102: No Pens Or Pads,2013,MACK MAINE
Freestyle 102,../lyrics/mackmaine/freestyle102.html,Freestyle 102: No Pens Or Pads,2013,MACK MAINE
I'm On It,../lyrics/mackmaine/imonit.html,Freestyle 102: No Pens Or Pads,2013,MACK MAINE
Kobe Or Ginobili,../lyrics/mackmaine/kobeorginobili.html,Freestyle 102: No Pens Or Pads,2013,MACK MAINE
Sacrifial Lamb,../lyrics/mackmaine/sacrifiallamb.html,Freestyle 102: No Pens Or Pads,2013,MACK MAINE
My City,../lyrics/mackmaine/mycity.html,Freestyle 102: No Pens Or Pads,2013,MACK MAINE
Uptown,../lyrics/mackmaine/uptown.html,Freestyle 102: No Pens Or Pads,2013,MACK MAINE
Nuthin Compares 2 You,../lyrics/mackmaine/nuthincompares2you.html,Freestyle 102: No Pens Or Pads,2013,MACK MAINE
Back In The Days,../lyrics/mackmaine/backinthedays.html,Freestyle 102: No Pens Or Pads,2013,MACK MAINE
Ghetto Symphony,../lyrics/mackmaine/ghettosymphony.html,Freestyle 102: No Pens Or Pads,2013,MACK MAINE
Storm Of The South,../lyrics/mackmaine/stormofthesouth.html,Freestyle 102: No Pens Or Pads,2013,MACK MAINE
She Lookin,../lyrics/mackmaine/shelookin.html,Freestyle 102: No Pens Or Pads,2013,MACK MAINE
I'm A Hustla,../lyrics/mackmaine/imahustla.html,Freestyle 102: No Pens Or Pads,2013,MACK MAINE
The Objective (Skit),../lyrics/mackmaine/theobjectiveskit.html,Freestyle 102: No Pens Or Pads,2013,MACK MAINE
Mobbin,../lyrics/mackmaine/mobbin.html,Freestyle 102: No Pens Or Pads,2013,MACK MAINE
Windows Half Down,../lyrics/mackmaine/windowshalfdown.html,Freestyle 102: No Pens Or Pads,2013,MACK MAINE
One Of Them Days,../lyrics/mackmaine/oneofthemdays.html,Freestyle 102: No Pens Or Pads,2013,MACK MAINE
Poo Shoota Flow,../lyrics/mackmaine/pooshootaflow.html,Freestyle 102: No Pens Or Pads,2013,MACK MAINE
AK-47,../lyrics/mackmaine/ak47.html,,,MACK MAINE
Celebrate,../lyrics/mackmaine/celebrate.html,,,MACK MAINE
Girl You Nasty,../lyrics/mackmaine/girlyounasty.html,,,MACK MAINE
No Doz,../lyrics/mackmaine/nodoz.html,,,MACK MAINE
Throw It Back,../lyrics/mackmaine/throwitback.html,,,MACK MAINE
Up Until Then,../lyrics/mackmaine/upuntilthen.html,,,MACK MAINE
