song,link,album,year,artist
One Step Beyond,../lyrics/madness/onestepbeyond.html,One Step Beyond...,1979,MADNESS
My Girl,../lyrics/madness/mygirl.html,One Step Beyond...,1979,MADNESS
Night Boat To Cairo,../lyrics/madness/nightboattocairo.html,One Step Beyond...,1979,MADNESS
Believe Me,../lyrics/madness/believeme.html,One Step Beyond...,1979,MADNESS
Land Of The Hope And Glory,../lyrics/madness/landofthehopeandglory.html,One Step Beyond...,1979,MADNESS
The Prince,../lyrics/madness/theprince.html,One Step Beyond...,1979,MADNESS
Tarzan's Nuts,../lyrics/madness/tarzansnuts.html,One Step Beyond...,1979,MADNESS
In The Middle Of The Night,../lyrics/madness/inthemiddleofthenight.html,One Step Beyond...,1979,MADNESS
Bed And Breakfast Man,../lyrics/madness/bedandbreakfastman.html,One Step Beyond...,1979,MADNESS
Razor Blade Alley,../lyrics/madness/razorbladealley.html,One Step Beyond...,1979,MADNESS
Rockin' In A Flat,../lyrics/madness/rockininaflat.html,One Step Beyond...,1979,MADNESS
Mummy's Boy,../lyrics/madness/mummysboy.html,One Step Beyond...,1979,MADNESS
Madness,../lyrics/madness/madness.html,One Step Beyond...,1979,MADNESS
Chipmunks Are Go!,../lyrics/madness/chipmunksarego.html,One Step Beyond...,1979,MADNESS
,,One Step Beyond...,1979,MADNESS
Baggy Trousers,../lyrics/madness/baggytrousers.html,Absolutely,1980,MADNESS
Embarrassment,../lyrics/madness/embarrassment.html,Absolutely,1980,MADNESS
E.R.N.I.E.,../lyrics/madness/ernie.html,Absolutely,1980,MADNESS
Close Escape,../lyrics/madness/closeescape.html,Absolutely,1980,MADNESS
Not Home Today,../lyrics/madness/nothometoday.html,Absolutely,1980,MADNESS
On The Beat Pete,../lyrics/madness/onthebeatpete.html,Absolutely,1980,MADNESS
Solid Gone,../lyrics/madness/solidgone.html,Absolutely,1980,MADNESS
Take It Or Leave It,../lyrics/madness/takeitorleaveit.html,Absolutely,1980,MADNESS
Shadow Of Fear,../lyrics/madness/shadowoffear.html,Absolutely,1980,MADNESS
Disappear,../lyrics/madness/disappear.html,Absolutely,1980,MADNESS
Overdone,../lyrics/madness/overdone.html,Absolutely,1980,MADNESS
In The Rain,../lyrics/madness/intherain.html,Absolutely,1980,MADNESS
You Said,../lyrics/madness/yousaid.html,Absolutely,1980,MADNESS
Return Of The Los Palmas 7,../lyrics/madness/returnofthelospalmas7.html,Absolutely,1980,MADNESS
,,Absolutely,1980,MADNESS
Cardiac Arrest,../lyrics/madness/cardiacarrest.html,7,1981,MADNESS
Shut Up,../lyrics/madness/shutup.html,7,1981,MADNESS
Sign Of The Times,../lyrics/madness/signofthetimes.html,7,1981,MADNESS
Missing You,../lyrics/madness/missingyou.html,7,1981,MADNESS
Mrs. Hutchinson,../lyrics/madness/mrshutchinson.html,7,1981,MADNESS
Tomorrow's Dream,../lyrics/madness/tomorrowsdream.html,7,1981,MADNESS
Grey Day,../lyrics/madness/greyday.html,7,1981,MADNESS
Pac-A-Mac,../lyrics/madness/pacamac.html,7,1981,MADNESS
Promises Promises,../lyrics/madness/promisespromises.html,7,1981,MADNESS
Benny Bullfrog,../lyrics/madness/bennybullfrog.html,7,1981,MADNESS
When Dawn Arrives,../lyrics/madness/whendawnarrives.html,7,1981,MADNESS
Day On The Town,../lyrics/madness/dayonthetown.html,7,1981,MADNESS
,,7,1981,MADNESS
Rise And Fall,../lyrics/madness/riseandfall.html,The Rise & Fall,1982,MADNESS
Tomorrow's (Just Another Day),../lyrics/madness/tomorrowsjustanotherday.html,The Rise & Fall,1982,MADNESS
Blue Skinned Beast,../lyrics/madness/blueskinnedbeast.html,The Rise & Fall,1982,MADNESS
Primrose Hill,../lyrics/madness/primrosehill.html,The Rise & Fall,1982,MADNESS
Mr. Speaker (Gets The Word),../lyrics/madness/mrspeakergetstheword.html,The Rise & Fall,1982,MADNESS
Sunday Morning,../lyrics/madness/sundaymorning.html,The Rise & Fall,1982,MADNESS
Our House,../lyrics/madness/ourhouse.html,The Rise & Fall,1982,MADNESS
Tiptoes,../lyrics/madness/tiptoes.html,The Rise & Fall,1982,MADNESS
New Delhi,../lyrics/madness/newdelhi.html,The Rise & Fall,1982,MADNESS
That Face,../lyrics/madness/thatface.html,The Rise & Fall,1982,MADNESS
Calling Cards,../lyrics/madness/callingcards.html,The Rise & Fall,1982,MADNESS
Are You Coming (With Me),../lyrics/madness/areyoucomingwithme.html,The Rise & Fall,1982,MADNESS
Madness (Is All In The Mind),../lyrics/madness/madnessisallinthemind.html,The Rise & Fall,1982,MADNESS
,,The Rise & Fall,1982,MADNESS
Keep Moving,../lyrics/madness/keepmoving.html,Keep Moving,1984,MADNESS
Michael Caine,../lyrics/madness/michaelcaine.html,Keep Moving,1984,MADNESS
Turning Blue,../lyrics/madness/turningblue.html,Keep Moving,1984,MADNESS
One Better Day,../lyrics/madness/onebetterday.html,Keep Moving,1984,MADNESS
March Of The Gherkins,../lyrics/madness/marchofthegherkins.html,Keep Moving,1984,MADNESS
Waltz Into Mischief,../lyrics/madness/waltzintomischief.html,Keep Moving,1984,MADNESS
Brand New Beat,../lyrics/madness/brandnewbeat.html,Keep Moving,1984,MADNESS
Victoria Gardens,../lyrics/madness/victoriagardens.html,Keep Moving,1984,MADNESS
Samantha,../lyrics/madness/samantha.html,Keep Moving,1984,MADNESS
Time For Tea,../lyrics/madness/timefortea.html,Keep Moving,1984,MADNESS
Prospects,../lyrics/madness/prospects.html,Keep Moving,1984,MADNESS
Give Me A Reason,../lyrics/madness/givemeareason.html,Keep Moving,1984,MADNESS
,,Keep Moving,1984,MADNESS
I'll Compete,../lyrics/madness/illcompete.html,Mad Not Mad,1985,MADNESS
Yesterday's Men,../lyrics/madness/yesterdaysmen.html,Mad Not Mad,1985,MADNESS
Uncle Sam,../lyrics/madness/unclesam.html,Mad Not Mad,1985,MADNESS
White Heat,../lyrics/madness/whiteheat.html,Mad Not Mad,1985,MADNESS
Mad Not Mad,../lyrics/madness/madnotmad.html,Mad Not Mad,1985,MADNESS
The Sweetest Girl,../lyrics/madness/thesweetestgirl.html,Mad Not Mad,1985,MADNESS
Burning The Boats,../lyrics/madness/burningtheboats.html,Mad Not Mad,1985,MADNESS
Tears You Can't Hide,../lyrics/madness/tearsyoucanthide.html,Mad Not Mad,1985,MADNESS
Time,../lyrics/madness/time.html,Mad Not Mad,1985,MADNESS
Coldest Day,../lyrics/madness/coldestday.html,Mad Not Mad,1985,MADNESS
,,Mad Not Mad,1985,MADNESS
Nail Down The Days,../lyrics/madness/naildownthedays.html,The Madness,1988,MADNESS
What's That?,../lyrics/madness/whatsthat.html,The Madness,1988,MADNESS
I Pronounce You,../lyrics/madness/ipronounceyou.html,The Madness,1988,MADNESS
Oh,../lyrics/madness/oh.html,The Madness,1988,MADNESS
In Wonder,../lyrics/madness/inwonder.html,The Madness,1988,MADNESS
Song In Red,../lyrics/madness/songinred.html,The Madness,1988,MADNESS
Nightmare Nightmare,../lyrics/madness/nightmarenightmare.html,The Madness,1988,MADNESS
Thunder And Lightning,../lyrics/madness/thunderandlightning.html,The Madness,1988,MADNESS
Beat The Bride,../lyrics/madness/beatthebride.html,The Madness,1988,MADNESS
Gabriel's Horn,../lyrics/madness/gabrielshorn.html,The Madness,1988,MADNESS
11th Hour,../lyrics/madness/11thhour.html,The Madness,1988,MADNESS
Be Good Boy,../lyrics/madness/begoodboy.html,The Madness,1988,MADNESS
Flashings,../lyrics/madness/flashings.html,The Madness,1988,MADNESS
4 B.F.,../lyrics/madness/4bf.html,The Madness,1988,MADNESS
,,The Madness,1988,MADNESS
House Of Fun,../lyrics/madness/houseoffun.html,It's... Madness,1990,MADNESS
Don't Look Back,../lyrics/madness/dontlookback.html,It's... Madness,1990,MADNESS
Wings Of A Dove,../lyrics/madness/wingsofadove.html,It's... Madness,1990,MADNESS
The Young And The Old,../lyrics/madness/theyoungandtheold.html,It's... Madness,1990,MADNESS
My Girl,../lyrics/madness/mygirl.html,It's... Madness,1990,MADNESS
Stepping Into Line,../lyrics/madness/steppingintoline.html,It's... Madness,1990,MADNESS
Baggy Trousers,../lyrics/madness/baggytrousers.html,It's... Madness,1990,MADNESS
Embarrassment,../lyrics/madness/embarrassment.html,It's... Madness,1990,MADNESS
One's Second Thoughtlessness,../lyrics/madness/onessecondthoughtlessness.html,It's... Madness,1990,MADNESS
Grey Day,../lyrics/madness/greyday.html,It's... Madness,1990,MADNESS
Memories,../lyrics/madness/memories.html,It's... Madness,1990,MADNESS
It Must Be Love,../lyrics/madness/itmustbelove.html,It's... Madness,1990,MADNESS
Deceives The Eye,../lyrics/madness/deceivestheeye.html,It's... Madness,1990,MADNESS
Driving In My Car,../lyrics/madness/drivinginmycar.html,It's... Madness,1990,MADNESS
Animal Farm,../lyrics/madness/animalfarm.html,It's... Madness,1990,MADNESS
,,It's... Madness,1990,MADNESS
The Prince,../lyrics/madness/theprince.html,It's... Madness Too,1991,MADNESS
Madness,../lyrics/madness/madness.html,It's... Madness Too,1991,MADNESS
One Step Beyond,../lyrics/madness/onestepbeyond.html,It's... Madness Too,1991,MADNESS
Mistakes,../lyrics/madness/mistakes.html,It's... Madness Too,1991,MADNESS
Return Of The Los Palmas 7,../lyrics/madness/returnofthelospalmas7.html,It's... Madness Too,1991,MADNESS
Night Boat To Cairo,../lyrics/madness/nightboattocairo.html,It's... Madness Too,1991,MADNESS
Shut Up,../lyrics/madness/shutup.html,It's... Madness Too,1991,MADNESS
Cardiac Arrest,../lyrics/madness/cardiacarrest.html,It's... Madness Too,1991,MADNESS
In The City,../lyrics/madness/inthecity.html,It's... Madness Too,1991,MADNESS
Our House,../lyrics/madness/ourhouse.html,It's... Madness Too,1991,MADNESS
Tomorrow's (Just Another Day),../lyrics/madness/tomorrowsjustanotherday.html,It's... Madness Too,1991,MADNESS
Victoria Gardens,../lyrics/madness/victoriagardens.html,It's... Madness Too,1991,MADNESS
The Sun And The Rain,../lyrics/madness/thesunandtherain.html,It's... Madness Too,1991,MADNESS
Michael Caine,../lyrics/madness/michaelcaine.html,It's... Madness Too,1991,MADNESS
,,It's... Madness Too,1991,MADNESS
Lovestruck,../lyrics/madness/lovestruck.html,Wonderful,1999,MADNESS
Johnny The Horse,../lyrics/madness/johnnythehorse.html,Wonderful,1999,MADNESS
The Communicator,../lyrics/madness/thecommunicator.html,Wonderful,1999,MADNESS
4 AM,../lyrics/madness/4am.html,Wonderful,1999,MADNESS
The Wizard,../lyrics/madness/thewizard.html,Wonderful,1999,MADNESS
Drip Fed Fred,../lyrics/madness/dripfedfred.html,Wonderful,1999,MADNESS
Going To The Top,../lyrics/madness/goingtothetop.html,Wonderful,1999,MADNESS
Elysium,../lyrics/madness/elysium.html,Wonderful,1999,MADNESS
"Saturday Night, Sunday Morning",../lyrics/madness/saturdaynightsundaymorning.html,Wonderful,1999,MADNESS
