song,link,album,year,artist
Where Did We Go Wrong,../lyrics/magnafi/wheredidwegowrong.html,Burn Out The Stars,2002,MAGNA-FI
When I Leave You,../lyrics/magnafi/whenileaveyou.html,Burn Out The Stars,2002,MAGNA-FI
Down In It,../lyrics/magnafi/downinit.html,Burn Out The Stars,2002,MAGNA-FI
Drown,../lyrics/magnafi/drown.html,Burn Out The Stars,2002,MAGNA-FI
This Life,../lyrics/magnafi/thislife.html,Burn Out The Stars,2002,MAGNA-FI
TV Killed Me,../lyrics/magnafi/tvkilledme.html,Burn Out The Stars,2002,MAGNA-FI
Beautiful,../lyrics/magnafi/beautiful.html,Burn Out The Stars,2002,MAGNA-FI
"Seconds, Minutes, Hours",../lyrics/magnafi/secondsminuteshours.html,Burn Out The Stars,2002,MAGNA-FI
My Heaven,../lyrics/magnafi/myheaven.html,Burn Out The Stars,2002,MAGNA-FI
Bradbury Heights,../lyrics/magnafi/bradburyheights.html,Burn Out The Stars,2002,MAGNA-FI
,,Burn Out The Stars,2002,MAGNA-FI
Who I Am,../lyrics/magnafi/whoiam.html,VerseChorusKillMe,2007,MAGNA-FI
Kiss It Away,../lyrics/magnafi/kissitaway.html,VerseChorusKillMe,2007,MAGNA-FI
Fall From Grace,../lyrics/magnafi/fallfromgrace.html,VerseChorusKillMe,2007,MAGNA-FI
Breaking Up,../lyrics/magnafi/breakingup.html,VerseChorusKillMe,2007,MAGNA-FI
When I'm Awake,../lyrics/magnafi/whenimawake.html,VerseChorusKillMe,2007,MAGNA-FI
Fan The Flames,../lyrics/magnafi/fantheflames.html,VerseChorusKillMe,2007,MAGNA-FI
Miserable Failure,../lyrics/magnafi/miserablefailure.html,VerseChorusKillMe,2007,MAGNA-FI
Someday,../lyrics/magnafi/someday.html,VerseChorusKillMe,2007,MAGNA-FI
Dream Denied Destroyed,../lyrics/magnafi/dreamdenieddestroyed.html,VerseChorusKillMe,2007,MAGNA-FI
Save Me,../lyrics/magnafi/saveme.html,VerseChorusKillMe,2007,MAGNA-FI
Well Well,../lyrics/magnafi/wellwell.html,VerseChorusKillMe,2007,MAGNA-FI
