song,link,album,year,artist
Summoning Storms,../lyrics/makethemsuffer/summoningstorms.html,Lord Of Woe,2010,MAKE THEM SUFFER
Lord Of Woe,../lyrics/makethemsuffer/lordofwoe.html,Lord Of Woe,2010,MAKE THEM SUFFER
The Eternal Cold,../lyrics/makethemsuffer/theeternalcold.html,Lord Of Woe,2010,MAKE THEM SUFFER
Affliction Of The Dead,../lyrics/makethemsuffer/afflictionofthedead.html,Lord Of Woe,2010,MAKE THEM SUFFER
Weeping Wastelands,../lyrics/makethemsuffer/weepingwastelands.html,Lord Of Woe,2010,MAKE THEM SUFFER
,,Lord Of Woe,2010,MAKE THEM SUFFER
Neverbloom,../lyrics/makethemsuffer/neverbloom.html,Neverbloom,2012,MAKE THEM SUFFER
Morrow,../lyrics/makethemsuffer/morrow.html,Neverbloom,2012,MAKE THEM SUFFER
Elegies,../lyrics/makethemsuffer/elegies.html,Neverbloom,2012,MAKE THEM SUFFER
Maelstrom,../lyrics/makethemsuffer/maelstrom.html,Neverbloom,2012,MAKE THEM SUFFER
The Well,../lyrics/makethemsuffer/thewell.html,Neverbloom,2012,MAKE THEM SUFFER
Weeping Wastelands,../lyrics/makethemsuffer/weepingwastelands436134.html,Neverbloom,2012,MAKE THEM SUFFER
Widower,../lyrics/makethemsuffer/widower.html,Neverbloom,2012,MAKE THEM SUFFER
Chronicles,../lyrics/makethemsuffer/chronicles.html,Neverbloom,2012,MAKE THEM SUFFER
,,Neverbloom,2012,MAKE THEM SUFFER
Foreword,../lyrics/makethemsuffer/foreword.html,Old Souls,2015,MAKE THEM SUFFER
Requiem,../lyrics/makethemsuffer/requiem.html,Old Souls,2015,MAKE THEM SUFFER
Fake,../lyrics/makethemsuffer/fake.html,Old Souls,2015,MAKE THEM SUFFER
Let Me In,../lyrics/makethemsuffer/letmein.html,Old Souls,2015,MAKE THEM SUFFER
Threads,../lyrics/makethemsuffer/threads.html,Old Souls,2015,MAKE THEM SUFFER
Blood Moon,../lyrics/makethemsuffer/bloodmoon.html,Old Souls,2015,MAKE THEM SUFFER
Scraping The Barrel,../lyrics/makethemsuffer/scrapingthebarrel.html,Old Souls,2015,MAKE THEM SUFFER
Marionette,../lyrics/makethemsuffer/marionette.html,Old Souls,2015,MAKE THEM SUFFER
Timeless,../lyrics/makethemsuffer/timeless.html,Old Souls,2015,MAKE THEM SUFFER
Old Souls,../lyrics/makethemsuffer/oldsouls.html,Old Souls,2015,MAKE THEM SUFFER
