song,link,album,year,artist
Conversation,../lyrics/manniefresh/conversation.html,The Mind Of Mannie Fresh,2004,MANNIE FRESH
Chubby Boy,../lyrics/manniefresh/chubbyboy.html,The Mind Of Mannie Fresh,2004,MANNIE FRESH
Waynes Takeover,../lyrics/manniefresh/waynestakeover.html,The Mind Of Mannie Fresh,2004,MANNIE FRESH
Pussy Power,../lyrics/manniefresh/pussypower.html,The Mind Of Mannie Fresh,2004,MANNIE FRESH
We Fresh,../lyrics/manniefresh/wefresh.html,The Mind Of Mannie Fresh,2004,MANNIE FRESH
Go With Me,../lyrics/manniefresh/gowithme.html,The Mind Of Mannie Fresh,2004,MANNIE FRESH
Waynes Takeover 2,../lyrics/manniefresh/waynestakeover2.html,The Mind Of Mannie Fresh,2004,MANNIE FRESH
How We Ride,../lyrics/manniefresh/howweride.html,The Mind Of Mannie Fresh,2004,MANNIE FRESH
Real Big,../lyrics/manniefresh/realbig.html,The Mind Of Mannie Fresh,2004,MANNIE FRESH
Tell It Like It Is,../lyrics/manniefresh/tellitlikeitis.html,The Mind Of Mannie Fresh,2004,MANNIE FRESH
Day In The Life (Cadillac Doors),../lyrics/manniefresh/dayinthelifecadillacdoors.html,The Mind Of Mannie Fresh,2004,MANNIE FRESH
Hate,../lyrics/manniefresh/hate.html,,,MANNIE FRESH
