song,link,album,year,artist
Clandestino,../lyrics/manuchao/clandestino.html,Clandestino,1998,MANU CHAO
Desaparecido,../lyrics/manuchao/desaparecido.html,Clandestino,1998,MANU CHAO
Bongo Bong,../lyrics/manuchao/bongobong.html,Clandestino,1998,MANU CHAO
Je Ne T'aime Plus,../lyrics/manuchao/jenetaimeplus.html,Clandestino,1998,MANU CHAO
Mentira,../lyrics/manuchao/mentira.html,Clandestino,1998,MANU CHAO
LÃ¡grimas De Oro,../lyrics/manuchao/lgrimasdeoro.html,Clandestino,1998,MANU CHAO
Mama Call,../lyrics/manuchao/mamacall.html,Clandestino,1998,MANU CHAO
Luna Y Sol,../lyrics/manuchao/lunaysol.html,Clandestino,1998,MANU CHAO
Por El Suelo,../lyrics/manuchao/porelsuelo.html,Clandestino,1998,MANU CHAO
Welcome To Tijuana,../lyrics/manuchao/welcometotijuana.html,Clandestino,1998,MANU CHAO
"DÃ­a Luna, DÃ­a Pena",../lyrics/manuchao/dalunadapena.html,Clandestino,1998,MANU CHAO
MalegrÃ­a,../lyrics/manuchao/malegra.html,Clandestino,1998,MANU CHAO
La Vie Ã 2,../lyrics/manuchao/lavie2.html,Clandestino,1998,MANU CHAO
Minha Galera,../lyrics/manuchao/minhagalera.html,Clandestino,1998,MANU CHAO
La Despedida,../lyrics/manuchao/ladespedida.html,Clandestino,1998,MANU CHAO
El Viento,../lyrics/manuchao/elviento.html,Clandestino,1998,MANU CHAO
,,Clandestino,1998,MANU CHAO
Merry Blues,../lyrics/manuchao/merryblues.html,PrÃ³xima EstaciÃ³n: Esperanza,2001,MANU CHAO
Bixo,../lyrics/manuchao/bixo.html,PrÃ³xima EstaciÃ³n: Esperanza,2001,MANU CHAO
El Dorado 1997,../lyrics/manuchao/eldorado1997.html,PrÃ³xima EstaciÃ³n: Esperanza,2001,MANU CHAO
Promiscuity,../lyrics/manuchao/promiscuity.html,PrÃ³xima EstaciÃ³n: Esperanza,2001,MANU CHAO
La Primavera,../lyrics/manuchao/laprimavera.html,PrÃ³xima EstaciÃ³n: Esperanza,2001,MANU CHAO
Me Gustas TÃº,../lyrics/manuchao/megustast.html,PrÃ³xima EstaciÃ³n: Esperanza,2001,MANU CHAO
Denia,../lyrics/manuchao/denia.html,PrÃ³xima EstaciÃ³n: Esperanza,2001,MANU CHAO
Mi Vida,../lyrics/manuchao/mivida.html,PrÃ³xima EstaciÃ³n: Esperanza,2001,MANU CHAO
Trapped By Love,../lyrics/manuchao/trappedbylove.html,PrÃ³xima EstaciÃ³n: Esperanza,2001,MANU CHAO
Le Rendez-Vous,../lyrics/manuchao/lerendezvous.html,PrÃ³xima EstaciÃ³n: Esperanza,2001,MANU CHAO
Mr. Bobby,../lyrics/manuchao/mrbobby.html,PrÃ³xima EstaciÃ³n: Esperanza,2001,MANU CHAO
Papito,../lyrics/manuchao/papito.html,PrÃ³xima EstaciÃ³n: Esperanza,2001,MANU CHAO
La Chinita,../lyrics/manuchao/lachinita.html,PrÃ³xima EstaciÃ³n: Esperanza,2001,MANU CHAO
La Marea,../lyrics/manuchao/lamarea.html,PrÃ³xima EstaciÃ³n: Esperanza,2001,MANU CHAO
Homens,../lyrics/manuchao/homens.html,PrÃ³xima EstaciÃ³n: Esperanza,2001,MANU CHAO
La Vacaloca,../lyrics/manuchao/lavacaloca.html,PrÃ³xima EstaciÃ³n: Esperanza,2001,MANU CHAO
Infinita Tristeza,../lyrics/manuchao/infinitatristeza.html,PrÃ³xima EstaciÃ³n: Esperanza,2001,MANU CHAO
,,PrÃ³xima EstaciÃ³n: Esperanza,2001,MANU CHAO
Bienvenida A Tijuana,../lyrics/manuchao/bienvenidaatijuana.html,Radio Bemba Sound System,2002,MANU CHAO
Machine Gun,../lyrics/manuchao/machinegun.html,Radio Bemba Sound System,2002,MANU CHAO
Por Donde Saldra El Sol?,../lyrics/manuchao/pordondesaldraelsol.html,Radio Bemba Sound System,2002,MANU CHAO
Peligro,../lyrics/manuchao/peligro.html,Radio Bemba Sound System,2002,MANU CHAO
Welcome To Tijuana,../lyrics/manuchao/welcometotijuana.html,Radio Bemba Sound System,2002,MANU CHAO
El Viento,../lyrics/manuchao/elviento.html,Radio Bemba Sound System,2002,MANU CHAO
Casa Babylon,../lyrics/manuchao/casababylon.html,Radio Bemba Sound System,2002,MANU CHAO
Por El Suelo,../lyrics/manuchao/porelsuelo.html,Radio Bemba Sound System,2002,MANU CHAO
Blood And Fire,../lyrics/manuchao/bloodandfire.html,Radio Bemba Sound System,2002,MANU CHAO
Ezln...Para Tod@s Todo,../lyrics/manuchao/ezlnparatodstodo.html,Radio Bemba Sound System,2002,MANU CHAO
Mr. Bobby,../lyrics/manuchao/mrbobby.html,Radio Bemba Sound System,2002,MANU CHAO
Bongo Bong,../lyrics/manuchao/bongobong.html,Radio Bemba Sound System,2002,MANU CHAO
Radio Bemba,../lyrics/manuchao/radiobemba.html,Radio Bemba Sound System,2002,MANU CHAO
Cai En La Trampa,../lyrics/manuchao/caienlatrampa.html,Radio Bemba Sound System,2002,MANU CHAO
Clandestino,../lyrics/manuchao/clandestino.html,Radio Bemba Sound System,2002,MANU CHAO
