song,link,album,year,artist
Palabras Del Alma,../lyrics/marcanthony/palabrasdelalma.html,Otra Nota,1993,MARC ANTHONY
Si Tu No Te Fueras,../lyrics/marcanthony/situnotefueras.html,Otra Nota,1993,MARC ANTHONY
Hasta Que Te ConocÃ­,../lyrics/marcanthony/hastaqueteconoc.html,Otra Nota,1993,MARC ANTHONY
El Ultimo Beso,../lyrics/marcanthony/elultimobeso.html,Otra Nota,1993,MARC ANTHONY
Make It With You,../lyrics/marcanthony/makeitwithyou.html,Otra Nota,1993,MARC ANTHONY
Necesito Amarte,../lyrics/marcanthony/necesitoamarte.html,Otra Nota,1993,MARC ANTHONY
Â¿Juego O Amor?,../lyrics/marcanthony/juegooamor.html,Otra Nota,1993,MARC ANTHONY
Si He De Morir,../lyrics/marcanthony/sihedemorir.html,Otra Nota,1993,MARC ANTHONY
,,Otra Nota,1993,MARC ANTHONY
Se Me Sigue Olvidando,../lyrics/marcanthony/semesigueolvidando.html,Todo A Su Tiempo,1995,MARC ANTHONY
Te Conozco Bien,../lyrics/marcanthony/teconozcobien.html,Todo A Su Tiempo,1995,MARC ANTHONY
Hasta Ayer,../lyrics/marcanthony/hastaayer.html,Todo A Su Tiempo,1995,MARC ANTHONY
Nadie Como Ella,../lyrics/marcanthony/nadiecomoella.html,Todo A Su Tiempo,1995,MARC ANTHONY
Te Amare,../lyrics/marcanthony/teamare.html,Todo A Su Tiempo,1995,MARC ANTHONY
Llegaste A Mi,../lyrics/marcanthony/llegasteami.html,Todo A Su Tiempo,1995,MARC ANTHONY
Y Sigues Siendo Tu,../lyrics/marcanthony/ysiguessiendotu.html,Todo A Su Tiempo,1995,MARC ANTHONY
Por Amar Se Da Todo,../lyrics/marcanthony/poramarsedatodo.html,Todo A Su Tiempo,1995,MARC ANTHONY
Vieja Mesa,../lyrics/marcanthony/viejamesa.html,Todo A Su Tiempo,1995,MARC ANTHONY
,,Todo A Su Tiempo,1995,MARC ANTHONY
Y Hubo Alguien,../lyrics/marcanthony/yhuboalguien.html,Contra La Corriente,1997,MARC ANTHONY
Contra La Corriente,../lyrics/marcanthony/contralacorriente.html,Contra La Corriente,1997,MARC ANTHONY
Si Te Vas,../lyrics/marcanthony/sitevas.html,Contra La Corriente,1997,MARC ANTHONY
Me Voy A Regalar,../lyrics/marcanthony/mevoyaregalar.html,Contra La Corriente,1997,MARC ANTHONY
No Me Conoces,../lyrics/marcanthony/nomeconoces.html,Contra La Corriente,1997,MARC ANTHONY
No Sabes Como Duele,../lyrics/marcanthony/nosabescomoduele.html,Contra La Corriente,1997,MARC ANTHONY
La Luna Sobre Nuestro Amor,../lyrics/marcanthony/lalunasobrenuestroamor.html,Contra La Corriente,1997,MARC ANTHONY
Suceden,../lyrics/marcanthony/suceden.html,Contra La Corriente,1997,MARC ANTHONY
Un Mal Sueno,../lyrics/marcanthony/unmalsueno.html,Contra La Corriente,1997,MARC ANTHONY
,,Contra La Corriente,1997,MARC ANTHONY
No Me Ames (Tropical remix),../lyrics/marcanthony/nomeamestropicalremix.html,Desde Un Principio / From The Beginning,1999,MARC ANTHONY
Si Tu No Te Fueras,../lyrics/marcanthony/situnotefueras.html,Desde Un Principio / From The Beginning,1999,MARC ANTHONY
Necesito Amarte,../lyrics/marcanthony/necesitoamarte.html,Desde Un Principio / From The Beginning,1999,MARC ANTHONY
Hasta Que Te Conoci,../lyrics/marcanthony/hastaqueteconoci.html,Desde Un Principio / From The Beginning,1999,MARC ANTHONY
El Ultimo Beso,../lyrics/marcanthony/elultimobeso.html,Desde Un Principio / From The Beginning,1999,MARC ANTHONY
Te Conozco Bien,../lyrics/marcanthony/teconozcobien.html,Desde Un Principio / From The Beginning,1999,MARC ANTHONY
Nadie Como Ella,../lyrics/marcanthony/nadiecomoella.html,Desde Un Principio / From The Beginning,1999,MARC ANTHONY
Te Amare,../lyrics/marcanthony/teamare.html,Desde Un Principio / From The Beginning,1999,MARC ANTHONY
Hasta Ayer,../lyrics/marcanthony/hastaayer.html,Desde Un Principio / From The Beginning,1999,MARC ANTHONY
Y Hubo Alguien,../lyrics/marcanthony/yhuboalguien.html,Desde Un Principio / From The Beginning,1999,MARC ANTHONY
Contra La Corriente,../lyrics/marcanthony/contralacorriente.html,Desde Un Principio / From The Beginning,1999,MARC ANTHONY
No Me Conoces,../lyrics/marcanthony/nomeconoces.html,Desde Un Principio / From The Beginning,1999,MARC ANTHONY
No Sabes Como Duele,../lyrics/marcanthony/nosabescomoduele.html,Desde Un Principio / From The Beginning,1999,MARC ANTHONY
Preciosa,../lyrics/marcanthony/preciosa.html,Desde Un Principio / From The Beginning,1999,MARC ANTHONY
Vivir Lo Nuestro,../lyrics/marcanthony/vivirlonuestro.html,Desde Un Principio / From The Beginning,1999,MARC ANTHONY
,,Desde Un Principio / From The Beginning,1999,MARC ANTHONY
