song,link,album,year,artist
Seven Nation Army,../lyrics/marcuscollins/sevennationarmy.html,Marcus Collins,2012,MARCUS COLLINS
Love & Hate,../lyrics/marcuscollins/lovehate.html,Marcus Collins,2012,MARCUS COLLINS
Innocence,../lyrics/marcuscollins/innocence.html,Marcus Collins,2012,MARCUS COLLINS
Don't Surrender,../lyrics/marcuscollins/dontsurrender.html,Marcus Collins,2012,MARCUS COLLINS
Mercy,../lyrics/marcuscollins/mercy.html,Marcus Collins,2012,MARCUS COLLINS
Higher & Higher,../lyrics/marcuscollins/higherhigher.html,Marcus Collins,2012,MARCUS COLLINS
That's Just Life,../lyrics/marcuscollins/thatsjustlife.html,Marcus Collins,2012,MARCUS COLLINS
Tightrope,../lyrics/marcuscollins/tightrope.html,Marcus Collins,2012,MARCUS COLLINS
It's Time,../lyrics/marcuscollins/itstime.html,Marcus Collins,2012,MARCUS COLLINS
Feel Like I Feel,../lyrics/marcuscollins/feellikeifeel.html,Marcus Collins,2012,MARCUS COLLINS
Break These Chains,../lyrics/marcuscollins/breakthesechains.html,Marcus Collins,2012,MARCUS COLLINS
