song,link,album,year,artist
Get Away (Away From Here),../lyrics/teairramari/getawayawayfromhere.html,Teairra - The EP,2003,"MARI, TEAIRRA"
Missing U,../lyrics/teairramari/missingu.html,Teairra - The EP,2003,"MARI, TEAIRRA"
Friends,../lyrics/teairramari/friends.html,Teairra - The EP,2003,"MARI, TEAIRRA"
,,Teairra - The EP,2003,"MARI, TEAIRRA"
Make Her Feel Good,../lyrics/teairramari/makeherfeelgood.html,Roc-A-Fella Records Presents Teairra Mari,2005,"MARI, TEAIRRA"
No Daddy,../lyrics/teairramari/nodaddy.html,Roc-A-Fella Records Presents Teairra Mari,2005,"MARI, TEAIRRA"
New Shit,../lyrics/teairramari/newshit.html,Roc-A-Fella Records Presents Teairra Mari,2005,"MARI, TEAIRRA"
Stay In Ya Lane,../lyrics/teairramari/stayinyalane.html,Roc-A-Fella Records Presents Teairra Mari,2005,"MARI, TEAIRRA"
Act Right,../lyrics/teairramari/actright.html,Roc-A-Fella Records Presents Teairra Mari,2005,"MARI, TEAIRRA"
M.V.P.,../lyrics/teairramari/mvp.html,Roc-A-Fella Records Presents Teairra Mari,2005,"MARI, TEAIRRA"
La La,../lyrics/teairramari/lala.html,Roc-A-Fella Records Presents Teairra Mari,2005,"MARI, TEAIRRA"
Get Down Tonight,../lyrics/teairramari/getdowntonight.html,Roc-A-Fella Records Presents Teairra Mari,2005,"MARI, TEAIRRA"
Phone Booth,../lyrics/teairramari/phonebooth.html,Roc-A-Fella Records Presents Teairra Mari,2005,"MARI, TEAIRRA"
Confidential,../lyrics/teairramari/confidential.html,Roc-A-Fella Records Presents Teairra Mari,2005,"MARI, TEAIRRA"
Get Up On Ya Gangsta,../lyrics/teairramari/getuponyagangsta.html,Roc-A-Fella Records Presents Teairra Mari,2005,"MARI, TEAIRRA"
,,Roc-A-Fella Records Presents Teairra Mari,2005,"MARI, TEAIRRA"
Detroit,../lyrics/teairramari/detroit.html,Point Of No Return,2010,"MARI, TEAIRRA"
Body,../lyrics/teairramari/body.html,Point Of No Return,2010,"MARI, TEAIRRA"
Girl Power,../lyrics/teairramari/girlpower.html,Point Of No Return,2010,"MARI, TEAIRRA"
I Know It's U,../lyrics/teairramari/iknowitsu.html,Point Of No Return,2010,"MARI, TEAIRRA"
