song,link,album,year,artist
Just A Friend,../lyrics/mario/justafriend.html,Mario,2002,MARIO
C'mon,../lyrics/mario/cmon.html,Mario,2002,MARIO
Braid My Hair,../lyrics/mario/braidmyhair.html,Mario,2002,MARIO
2 Train,../lyrics/mario/2train.html,Mario,2002,MARIO
What Your Name Is,../lyrics/mario/whatyournameis.html,Mario,2002,MARIO
Holla Back,../lyrics/mario/hollaback.html,Mario,2002,MARIO
Could U Be,../lyrics/mario/couldube.html,Mario,2002,MARIO
Put Me On,../lyrics/mario/putmeon.html,Mario,2002,MARIO
Chick With The Braids,../lyrics/mario/chickwiththebraids.html,Mario,2002,MARIO
Never,../lyrics/mario/never.html,Mario,2002,MARIO
Girl In The Picture,../lyrics/mario/girlinthepicture.html,Mario,2002,MARIO
,,Mario,2002,MARIO
18,../lyrics/mario/18.html,Turning Point,2004,MARIO
Let Me Love You,../lyrics/mario/letmeloveyou.html,Turning Point,2004,MARIO
Couldn't Say No,../lyrics/mario/couldntsayno.html,Turning Point,2004,MARIO
Boom,../lyrics/mario/boom.html,Turning Point,2004,MARIO
How Could You,../lyrics/mario/howcouldyou.html,Turning Point,2004,MARIO
Girl I Need,../lyrics/mario/girlineed.html,Turning Point,2004,MARIO
Call The Cops,../lyrics/mario/callthecops.html,Turning Point,2004,MARIO
Here I Go Again,../lyrics/mario/hereigoagain.html,Turning Point,2004,MARIO
Nikes Fresh Out The Box,../lyrics/mario/nikesfreshoutthebox.html,Turning Point,2004,MARIO
Directions,../lyrics/mario/directions.html,Turning Point,2004,MARIO
Like Me Real Hard,../lyrics/mario/likemerealhard.html,Turning Point,2004,MARIO
Shakedown,../lyrics/mario/shakedown.html,Turning Point,2004,MARIO
Let Me Love You (Remix),../lyrics/mario/letmeloveyouremix.html,Turning Point,2004,MARIO
,,Turning Point,2004,MARIO
Go!,../lyrics/mario/go.html,Go,2007,MARIO
Crying Out For Me,../lyrics/mario/cryingoutforme.html,Go,2007,MARIO
Skippin',../lyrics/mario/skippin.html,Go,2007,MARIO
Music For Love,../lyrics/mario/musicforlove.html,Go,2007,MARIO
Kryptonite,../lyrics/mario/kryptonite.html,Go,2007,MARIO
How Do I Breathe,../lyrics/mario/howdoibreathe.html,Go,2007,MARIO
No Definition,../lyrics/mario/nodefinition.html,Go,2007,MARIO
Why,../lyrics/mario/why.html,Go,2007,MARIO
Lay In My Bed,../lyrics/mario/layinmybed.html,Go,2007,MARIO
Right And A Wrong Way,../lyrics/mario/rightandawrongway.html,Go,2007,MARIO
Let Me Watch,../lyrics/mario/letmewatch.html,Go,2007,MARIO
Do Right,../lyrics/mario/doright.html,Go,2007,MARIO
What Is It Gonna Be,../lyrics/mario/whatisitgonnabe.html,Go,2007,MARIO
,,Go,2007,MARIO
Break Up,../lyrics/mario/breakup.html,D.N.A.,2009,MARIO
Thinkin' About You,../lyrics/mario/thinkinaboutyou.html,D.N.A.,2009,MARIO
Get Out,../lyrics/mario/getout.html,D.N.A.,2009,MARIO
Soundtrack To My Broken Heart,../lyrics/mario/soundtracktomybrokenheart.html,D.N.A.,2009,MARIO
Starlight,../lyrics/mario/starlight.html,D.N.A.,2009,MARIO
Stranded,../lyrics/mario/stranded.html,D.N.A.,2009,MARIO
Ooh Baby,../lyrics/mario/oohbaby.html,D.N.A.,2009,MARIO
Before She Said Hi,../lyrics/mario/beforeshesaidhi.html,D.N.A.,2009,MARIO
I Choose You,../lyrics/mario/ichooseyou.html,D.N.A.,2009,MARIO
Don't Walk Away,../lyrics/mario/dontwalkaway.html,D.N.A.,2009,MARIO
I Miss My Friend,../lyrics/mario/imissmyfriend.html,D.N.A.,2009,MARIO
The Hardest Moment,../lyrics/mario/thehardestmoment.html,D.N.A.,2009,MARIO
Depression (Thinkin' Of You),../lyrics/mario/depressionthinkinofyou.html,D.N.A.,2009,MARIO
,,D.N.A.,2009,MARIO
I Need More,../lyrics/mario/ineedmore.html,Paradise Cove,2017,MARIO
Let Me Help You,../lyrics/mario/letmehelpyou.html,Paradise Cove,2017,MARIO
Bed Love,../lyrics/mario/bedlove.html,,,MARIO
Cheat Sheets,../lyrics/mario/cheatsheets.html,,,MARIO
Computer Love,../lyrics/mario/computerlove.html,,,MARIO
Crying Out For Me (Remix),../lyrics/mario/cryingoutformeremix.html,,,MARIO
Fatal Distraction,../lyrics/mario/fataldistraction.html,,,MARIO
Go First (Perfect Gentleman),../lyrics/mario/gofirstperfectgentleman.html,,,MARIO
Good One,../lyrics/mario/goodone.html,,,MARIO
If I Hurt You,../lyrics/mario/ifihurtyou.html,,,MARIO
Killa,../lyrics/mario/killa.html,,,MARIO
My Territory,../lyrics/mario/myterritory.html,,,MARIO
Somebody Else,../lyrics/mario/somebodyelse.html,,,MARIO
Tameeka,../lyrics/mario/tameeka.html,,,MARIO
Tappin' Out,../lyrics/mario/tappinout.html,,,MARIO
Taste The Difference,../lyrics/mario/tastethedifference.html,,,MARIO
The Walls,../lyrics/mario/thewalls.html,,,MARIO
Weather Girl,../lyrics/mario/weathergirl.html,,,MARIO
