song,link,album,year,artist
Get Me Out Of Here,../lyrics/marionraven/getmeoutofhere.html,Here I Am,2005,MARION RAVEN
Break You,../lyrics/marionraven/breakyou.html,Here I Am,2005,MARION RAVEN
Crawl,../lyrics/marionraven/crawl.html,Here I Am,2005,MARION RAVEN
Here I Am,../lyrics/marionraven/hereiam.html,Here I Am,2005,MARION RAVEN
Little By Little,../lyrics/marionraven/littlebylittle.html,Here I Am,2005,MARION RAVEN
End Of Me,../lyrics/marionraven/endofme.html,Here I Am,2005,MARION RAVEN
13 Days,../lyrics/marionraven/13days.html,Here I Am,2005,MARION RAVEN
For You I'll Die,../lyrics/marionraven/foryouilldie.html,Here I Am,2005,MARION RAVEN
Let Me Introduce Yourself,../lyrics/marionraven/letmeintroduceyourself.html,Here I Am,2005,MARION RAVEN
Heads Will Roll,../lyrics/marionraven/headswillroll.html,Here I Am,2005,MARION RAVEN
End Of The Day,../lyrics/marionraven/endoftheday.html,Here I Am,2005,MARION RAVEN
6 Feet Under,../lyrics/marionraven/6feetunder.html,Here I Am,2005,MARION RAVEN
Gotta Be Kidding,../lyrics/marionraven/gottabekidding.html,Here I Am,2005,MARION RAVEN
In Spite Of Me,../lyrics/marionraven/inspiteofme.html,Here I Am,2005,MARION RAVEN
Surfing The Sun,../lyrics/marionraven/surfingthesun.html,Here I Am,2005,MARION RAVEN
There I Said It,../lyrics/marionraven/thereisaidit.html,Here I Am,2005,MARION RAVEN
,,Here I Am,2005,MARION RAVEN
Set Me Free,../lyrics/marionraven/setmefree.html,Set Me Free,2007,MARION RAVEN
Falling Away,../lyrics/marionraven/fallingaway.html,Set Me Free,2007,MARION RAVEN
Crawl,../lyrics/marionraven/crawl.html,Set Me Free,2007,MARION RAVEN
Here I Am,../lyrics/marionraven/hereiam.html,Set Me Free,2007,MARION RAVEN
Thank You For Loving Me,../lyrics/marionraven/thankyouforlovingme.html,Set Me Free,2007,MARION RAVEN
Break You,../lyrics/marionraven/breakyou.html,Set Me Free,2007,MARION RAVEN
Heads Will Roll,../lyrics/marionraven/headswillroll.html,Set Me Free,2007,MARION RAVEN
For You I'll Die,../lyrics/marionraven/foryouilldie.html,Set Me Free,2007,MARION RAVEN
At The End Of The Day,../lyrics/marionraven/attheendoftheday.html,Set Me Free,2007,MARION RAVEN
All I Wanna Do Is You,../lyrics/marionraven/alliwannadoisyou.html,Set Me Free,2007,MARION RAVEN
,,Set Me Free,2007,MARION RAVEN
Start Over,../lyrics/marionraven/startover.html,Songs From A Blackbird,2013,MARION RAVEN
Driving,../lyrics/marionraven/driving.html,Songs From A Blackbird,2013,MARION RAVEN
The Minute,../lyrics/marionraven/theminute.html,Songs From A Blackbird,2013,MARION RAVEN
Home,../lyrics/marionraven/home.html,Songs From A Blackbird,2013,MARION RAVEN
On Fire,../lyrics/marionraven/onfire.html,Songs From A Blackbird,2013,MARION RAVEN
Never Leave Me,../lyrics/marionraven/neverleaveme.html,Songs From A Blackbird,2013,MARION RAVEN
You And I,../lyrics/marionraven/youandi.html,Songs From A Blackbird,2013,MARION RAVEN
Don't You,../lyrics/marionraven/dontyou.html,Songs From A Blackbird,2013,MARION RAVEN
Prove Me Wrong,../lyrics/marionraven/provemewrong.html,Songs From A Blackbird,2013,MARION RAVEN
Rest Your Head,../lyrics/marionraven/restyourhead.html,Songs From A Blackbird,2013,MARION RAVEN
Safe And Sound,../lyrics/marionraven/safeandsound.html,Songs From A Blackbird,2013,MARION RAVEN
Colors Turn To Grey,../lyrics/marionraven/colorsturntogrey.html,Songs From A Blackbird,2013,MARION RAVEN
,,Songs From A Blackbird,2013,MARION RAVEN
Scandal,../lyrics/marionraven/scandal.html,"Scandal, Vol. 1",2014,MARION RAVEN
You'll Get Up Again,../lyrics/marionraven/youllgetupagain.html,"Scandal, Vol. 1",2014,MARION RAVEN
In Dreams,../lyrics/marionraven/indreams.html,"Scandal, Vol. 1",2014,MARION RAVEN
Never Gonna Get It,../lyrics/marionraven/nevergonnagetit.html,"Scandal, Vol. 1",2014,MARION RAVEN
,,"Scandal, Vol. 1",2014,MARION RAVEN
Better Than This,../lyrics/marionraven/betterthanthis.html,"Scandal, Vol. 2",2015,MARION RAVEN
Running,../lyrics/marionraven/running.html,"Scandal, Vol. 2",2015,MARION RAVEN
When You Come Around,../lyrics/marionraven/whenyoucomearound.html,"Scandal, Vol. 2",2015,MARION RAVEN
Goodbye My Love,../lyrics/marionraven/goodbyemylove.html,"Scandal, Vol. 2",2015,MARION RAVEN
Flesh And Bone,../lyrics/marionraven/fleshandbone.html,,,MARION RAVEN
Found Someone,../lyrics/marionraven/foundsomeone.html,,,MARION RAVEN
Get Over Me,../lyrics/marionraven/getoverme.html,,,MARION RAVEN
Good 4 Sex,../lyrics/marionraven/good4sex.html,,,MARION RAVEN
Heartless,../lyrics/marionraven/heartless.html,,,MARION RAVEN
Spit You Out,../lyrics/marionraven/spityouout.html,,,MARION RAVEN
We Are W.I.T.C.H,../lyrics/marionraven/wearewitch.html,,,MARION RAVEN
