song,link,album,year,artist
High Low And In Between,../lyrics/markwills/highlowandinbetween.html,Mark Wills,1996,MARK WILLS
Jacob's Ladder,../lyrics/markwills/jacobsladder.html,Mark Wills,1996,MARK WILLS
What's Not To Love,../lyrics/markwills/whatsnottolove.html,Mark Wills,1996,MARK WILLS
Any Fool Can Say Goodbye,../lyrics/markwills/anyfoolcansaygoodbye.html,Mark Wills,1996,MARK WILLS
Ace Of Hearts,../lyrics/markwills/aceofhearts.html,Mark Wills,1996,MARK WILLS
Leavin' Comin' On,../lyrics/markwills/leavincominon.html,Mark Wills,1996,MARK WILLS
Sudden Stop,../lyrics/markwills/suddenstop.html,Mark Wills,1996,MARK WILLS
I Wonder If He Knows,../lyrics/markwills/iwonderifheknows.html,Mark Wills,1996,MARK WILLS
Places I've Never Been,../lyrics/markwills/placesiveneverbeen.html,Mark Wills,1996,MARK WILLS
Squeeze Box,../lyrics/markwills/squeezebox.html,Mark Wills,1996,MARK WILLS
What Love Is,../lyrics/markwills/whatloveis.html,Mark Wills,1996,MARK WILLS
Look Where She Is Today,../lyrics/markwills/lookwheresheistoday.html,Mark Wills,1996,MARK WILLS
,,Mark Wills,1996,MARK WILLS
Don't Think I Won't,../lyrics/markwills/dontthinkiwont.html,Wish You Were Here,1998,MARK WILLS
Emily Harper,../lyrics/markwills/emilyharper.html,Wish You Were Here,1998,MARK WILLS
Wish You Were Here,../lyrics/markwills/wishyouwerehere.html,Wish You Were Here,1998,MARK WILLS
She's In Love,../lyrics/markwills/shesinlove.html,Wish You Were Here,1998,MARK WILLS
Love Is Alive,../lyrics/markwills/loveisalive.html,Wish You Were Here,1998,MARK WILLS
Don't Laugh At Me,../lyrics/markwills/dontlaughatme.html,Wish You Were Here,1998,MARK WILLS
The Last Memory,../lyrics/markwills/thelastmemory.html,Wish You Were Here,1998,MARK WILLS
Help Me Fall,../lyrics/markwills/helpmefall.html,Wish You Were Here,1998,MARK WILLS
It's Working,../lyrics/markwills/itsworking.html,Wish You Were Here,1998,MARK WILLS
Anywhere But Memphis,../lyrics/markwills/anywherebutmemphis.html,Wish You Were Here,1998,MARK WILLS
I Do (Cherish You),../lyrics/markwills/idocherishyou.html,Wish You Were Here,1998,MARK WILLS
,,Wish You Were Here,1998,MARK WILLS
This Can't Be Love,../lyrics/markwills/thiscantbelove.html,Permanently,2000,MARK WILLS
Rich Man,../lyrics/markwills/richman.html,Permanently,2000,MARK WILLS
Perfect Conversation,../lyrics/markwills/perfectconversation.html,Permanently,2000,MARK WILLS
Still Waiting,../lyrics/markwills/stillwaiting.html,Permanently,2000,MARK WILLS
Because I Love You,../lyrics/markwills/becauseiloveyou.html,Permanently,2000,MARK WILLS
Right Here,../lyrics/markwills/righthere.html,Permanently,2000,MARK WILLS
Time Machine,../lyrics/markwills/timemachine.html,Permanently,2000,MARK WILLS
Permanently,../lyrics/markwills/permanently.html,Permanently,2000,MARK WILLS
Almost Doesn't Count,../lyrics/markwills/almostdoesntcount.html,Permanently,2000,MARK WILLS
Forget About Love,../lyrics/markwills/forgetaboutlove.html,Permanently,2000,MARK WILLS
In My Arms,../lyrics/markwills/inmyarms.html,Permanently,2000,MARK WILLS
Everything There Is To Know About You,../lyrics/markwills/everythingthereistoknowaboutyou.html,Permanently,2000,MARK WILLS
Back At One,../lyrics/markwills/backatone.html,Permanently,2000,MARK WILLS
,,Permanently,2000,MARK WILLS
Loving Every Minute,../lyrics/markwills/lovingeveryminute.html,Loving Every Minute,2001,MARK WILLS
One Of These Days,../lyrics/markwills/oneofthesedays.html,Loving Every Minute,2001,MARK WILLS
In My Heaven,../lyrics/markwills/inmyheaven.html,Loving Every Minute,2001,MARK WILLS
Back On Earth,../lyrics/markwills/backonearth.html,Loving Every Minute,2001,MARK WILLS
I Hate Chicago,../lyrics/markwills/ihatechicago.html,Loving Every Minute,2001,MARK WILLS
Universe,../lyrics/markwills/universe.html,Loving Every Minute,2001,MARK WILLS
Somebody,../lyrics/markwills/somebody.html,Loving Every Minute,2001,MARK WILLS
I'll Be Around,../lyrics/markwills/illbearound.html,Loving Every Minute,2001,MARK WILLS
Lost In A Kiss,../lyrics/markwills/lostinakiss.html,Loving Every Minute,2001,MARK WILLS
The Balloon Song,../lyrics/markwills/theballoonsong.html,Loving Every Minute,2001,MARK WILLS
Love Can't,../lyrics/markwills/lovecant.html,Loving Every Minute,2001,MARK WILLS
I'm Not Gonna Do Anything Without You,../lyrics/markwills/imnotgonnadoanythingwithoutyou.html,Loving Every Minute,2001,MARK WILLS
,,Loving Every Minute,2001,MARK WILLS
And The Crowd Goes Wild,../lyrics/markwills/andthecrowdgoeswild.html,And The Crowd Goes Wild,2003,MARK WILLS
He's A Cowboy,../lyrics/markwills/hesacowboy.html,And The Crowd Goes Wild,2003,MARK WILLS
That's A Woman,../lyrics/markwills/thatsawoman.html,And The Crowd Goes Wild,2003,MARK WILLS
