song,link,album,year,artist
Mind Control,../lyrics/stephenmarley/mindcontrol.html,Mind Control,2007,"MARLEY, STEPHEN"
Hey Baby,../lyrics/stephenmarley/heybaby.html,Mind Control,2007,"MARLEY, STEPHEN"
Iron Bars,../lyrics/stephenmarley/ironbars.html,Mind Control,2007,"MARLEY, STEPHEN"
The Traffic Jam,../lyrics/stephenmarley/thetrafficjam.html,Mind Control,2007,"MARLEY, STEPHEN"
You're Gonna Leave,../lyrics/stephenmarley/youregonnaleave.html,Mind Control,2007,"MARLEY, STEPHEN"
Chase Dem,../lyrics/stephenmarley/chasedem.html,Mind Control,2007,"MARLEY, STEPHEN"
Lonely Avenue,../lyrics/stephenmarley/lonelyavenue.html,Mind Control,2007,"MARLEY, STEPHEN"
Let Her Dance,../lyrics/stephenmarley/letherdance.html,Mind Control,2007,"MARLEY, STEPHEN"
Fed Up,../lyrics/stephenmarley/fedup.html,Mind Control,2007,"MARLEY, STEPHEN"
Inna Di Red,../lyrics/stephenmarley/innadired.html,Mind Control,2007,"MARLEY, STEPHEN"
,,Mind Control,2007,"MARLEY, STEPHEN"
Made In Africa,../lyrics/stephenmarley/madeinafrica.html,Revelation Pt. I: The Root Of Life,2011,"MARLEY, STEPHEN"
False Friends,../lyrics/stephenmarley/falsefriends.html,Revelation Pt. I: The Root Of Life,2011,"MARLEY, STEPHEN"
Break Us Apart,../lyrics/stephenmarley/breakusapart.html,Revelation Pt. I: The Root Of Life,2011,"MARLEY, STEPHEN"
Can't Keep I Down,../lyrics/stephenmarley/cantkeepidown.html,Revelation Pt. I: The Root Of Life,2011,"MARLEY, STEPHEN"
No Cigarette Smoking (In My Room),../lyrics/stephenmarley/nocigarettesmokinginmyroom.html,Revelation Pt. I: The Root Of Life,2011,"MARLEY, STEPHEN"
Freedom Time,../lyrics/stephenmarley/freedomtime.html,Revelation Pt. I: The Root Of Life,2011,"MARLEY, STEPHEN"
Jah Army,../lyrics/stephenmarley/jaharmy.html,Revelation Pt. I: The Root Of Life,2011,"MARLEY, STEPHEN"
Old Slaves,../lyrics/stephenmarley/oldslaves.html,Revelation Pt. I: The Root Of Life,2011,"MARLEY, STEPHEN"
Pale Moonlight (How Many Times),../lyrics/stephenmarley/palemoonlighthowmanytimes.html,Revelation Pt. I: The Root Of Life,2011,"MARLEY, STEPHEN"
She Knows Now,../lyrics/stephenmarley/sheknowsnow.html,Revelation Pt. I: The Root Of Life,2011,"MARLEY, STEPHEN"
The Chapel,../lyrics/stephenmarley/thechapel.html,Revelation Pt. I: The Root Of Life,2011,"MARLEY, STEPHEN"
Tight Ship,../lyrics/stephenmarley/tightship.html,Revelation Pt. I: The Root Of Life,2011,"MARLEY, STEPHEN"
Working Ways,../lyrics/stephenmarley/workingways.html,Revelation Pt. I: The Root Of Life,2011,"MARLEY, STEPHEN"
Now I Know,../lyrics/stephenmarley/nowiknow.html,Revelation Pt. I: The Root Of Life,2011,"MARLEY, STEPHEN"
,,Revelation Pt. I: The Root Of Life,2011,"MARLEY, STEPHEN"
Intro,../lyrics/stephenmarley/intro.html,Revelation Pt. II: The Fruit Of Life,2016,"MARLEY, STEPHEN"
Walking Away,../lyrics/stephenmarley/walkingaway.html,Revelation Pt. II: The Fruit Of Life,2016,"MARLEY, STEPHEN"
Scars On My Feet,../lyrics/stephenmarley/scarsonmyfeet.html,Revelation Pt. II: The Fruit Of Life,2016,"MARLEY, STEPHEN"
Thorn Or A Rose,../lyrics/stephenmarley/thornorarose.html,Revelation Pt. II: The Fruit Of Life,2016,"MARLEY, STEPHEN"
Tonight (It's A Party),../lyrics/stephenmarley/tonightitsaparty.html,Revelation Pt. II: The Fruit Of Life,2016,"MARLEY, STEPHEN"
Ghetto Boy,../lyrics/stephenmarley/ghettoboy.html,Revelation Pt. II: The Fruit Of Life,2016,"MARLEY, STEPHEN"
Rock Stone,../lyrics/stephenmarley/rockstone.html,Revelation Pt. II: The Fruit Of Life,2016,"MARLEY, STEPHEN"
When She Dances,../lyrics/stephenmarley/whenshedances.html,Revelation Pt. II: The Fruit Of Life,2016,"MARLEY, STEPHEN"
It's Alright,../lyrics/stephenmarley/itsalright.html,Revelation Pt. II: The Fruit Of Life,2016,"MARLEY, STEPHEN"
Traffic Jam (Remix),../lyrics/stephenmarley/trafficjamremix.html,,,"MARLEY, STEPHEN"
