song,link,album,year,artist
Know Me,../lyrics/marshmello/knowme.html,Joytime,2016,MARSHMELLO
Find Me,../lyrics/marshmello/findme.html,Joytime,2016,MARSHMELLO
Bounce,../lyrics/marshmello/bounce.html,Joytime,2016,MARSHMELLO
Blocks,../lyrics/marshmello/blocks.html,Joytime,2016,MARSHMELLO
Want U 2,../lyrics/marshmello/wantu2.html,Joytime,2016,MARSHMELLO
Home,../lyrics/marshmello/home.html,Joytime,2016,MARSHMELLO
Keep It Mello,../lyrics/marshmello/keepitmello.html,Joytime,2016,MARSHMELLO
Alone,../lyrics/marshmello/alone.html,,,MARSHMELLO
Chasing Colors,../lyrics/marshmello/chasingcolors.html,,,MARSHMELLO
Magic,../lyrics/marshmello/magic.html,,,MARSHMELLO
Pr0,../lyrics/marshmello/pr0.html,,,MARSHMELLO
Ritual,../lyrics/marshmello/ritual.html,,,MARSHMELLO
