song,link,album,year,artist
Only You Know And I Know,../lyrics/davemason/onlyyouknowandiknow.html,Alone Together,1970,"MASON, DAVE"
"Can't Stop Worrying, Can't Stop Loving",../lyrics/davemason/cantstopworryingcantstoploving.html,Alone Together,1970,"MASON, DAVE"
Waitin' On You,../lyrics/davemason/waitinonyou.html,Alone Together,1970,"MASON, DAVE"
Shouldn't Have Took More Than You Gave,../lyrics/davemason/shouldnthavetookmorethanyougave.html,Alone Together,1970,"MASON, DAVE"
World In Changes,../lyrics/davemason/worldinchanges.html,Alone Together,1970,"MASON, DAVE"
Sad And Deep As You,../lyrics/davemason/sadanddeepasyou.html,Alone Together,1970,"MASON, DAVE"
Just A Song,../lyrics/davemason/justasong.html,Alone Together,1970,"MASON, DAVE"
Look At You Look At Me,../lyrics/davemason/lookatyoulookatme.html,Alone Together,1970,"MASON, DAVE"
,,Alone Together,1970,"MASON, DAVE"
Split Coconut,../lyrics/davemason/splitcoconut.html,Split Coconut,1975,"MASON, DAVE"
"Crying, Waiting, Hoping",../lyrics/davemason/cryingwaitinghoping.html,Split Coconut,1975,"MASON, DAVE"
You Can Lose It,../lyrics/davemason/youcanloseit.html,Split Coconut,1975,"MASON, DAVE"
She's A Friend,../lyrics/davemason/shesafriend.html,Split Coconut,1975,"MASON, DAVE"
Save Your Love,../lyrics/davemason/saveyourlove.html,Split Coconut,1975,"MASON, DAVE"
Give Me A Reason Why,../lyrics/davemason/givemeareasonwhy.html,Split Coconut,1975,"MASON, DAVE"
Two Guitar Lovers,../lyrics/davemason/twoguitarlovers.html,Split Coconut,1975,"MASON, DAVE"
Sweet Music,../lyrics/davemason/sweetmusic.html,Split Coconut,1975,"MASON, DAVE"
Long Lost Friend,../lyrics/davemason/longlostfriend.html,Split Coconut,1975,"MASON, DAVE"
,,Split Coconut,1975,"MASON, DAVE"
Baby...Please,../lyrics/davemason/babyplease.html,Long Lost Friend: The Very Best Of Dave Mason,1995,"MASON, DAVE"
Misty Morning Stranger,../lyrics/davemason/mistymorningstranger.html,Long Lost Friend: The Very Best Of Dave Mason,1995,"MASON, DAVE"
