song,link,album,year,artist
Be Easy,../lyrics/massari/beeasy.html,Massari,2005,MASSARI
Find A Partner,../lyrics/massari/findapartner.html,Massari,2005,MASSARI
Smile For Me,../lyrics/massari/smileforme.html,Massari,2005,MASSARI
When I Saw You,../lyrics/massari/whenisawyou.html,Massari,2005,MASSARI
Real Love,../lyrics/massari/reallove.html,Massari,2005,MASSARI
Rush The Floor,../lyrics/massari/rushthefloor.html,Massari,2005,MASSARI
Gone Away,../lyrics/massari/goneaway.html,Massari,2005,MASSARI
Who Knows,../lyrics/massari/whoknows.html,Massari,2005,MASSARI
Don't Let Go,../lyrics/massari/dontletgo.html,Massari,2005,MASSARI
Show Me,../lyrics/massari/showme.html,Massari,2005,MASSARI
Follow My Lead,../lyrics/massari/followmylead.html,Massari,2005,MASSARI
Inta Hayati,../lyrics/massari/intahayati.html,Massari,2005,MASSARI
What Kinda Girl?,../lyrics/massari/whatkindagirl.html,Massari,2005,MASSARI
,,Massari,2005,MASSARI
Body Body,../lyrics/massari/bodybody.html,Forever Massari,2009,MASSARI
Love Triangle,../lyrics/massari/lovetriangle.html,Forever Massari,2009,MASSARI
Moving Target,../lyrics/massari/movingtarget.html,Forever Massari,2009,MASSARI
Eyes Like Diamonds,../lyrics/massari/eyeslikediamonds.html,Forever Massari,2009,MASSARI
Under The Radar,../lyrics/massari/undertheradar.html,Forever Massari,2009,MASSARI
Forever Came Too Soon,../lyrics/massari/forevercametoosoon.html,Forever Massari,2009,MASSARI
Cookie Jar,../lyrics/massari/cookiejar.html,Forever Massari,2009,MASSARI
Girls Around The World,../lyrics/massari/girlsaroundtheworld.html,Forever Massari,2009,MASSARI
Breathe,../lyrics/massari/breathe.html,Forever Massari,2009,MASSARI
Bad Girl,../lyrics/massari/badgirl.html,Forever Massari,2009,MASSARI
Heart And Soul (Rohe Bein Edeik),../lyrics/massari/heartandsoulrohebeinedeik.html,Forever Massari,2009,MASSARI
Milan,../lyrics/massari/milan.html,Forever Massari,2009,MASSARI
Brand New Day,../lyrics/massari/brandnewday.html,,,MASSARI
Dancing For Your Life,../lyrics/massari/dancingforyourlife.html,,,MASSARI
Full Circle,../lyrics/massari/fullcircle.html,,,MASSARI
Hero,../lyrics/massari/hero.html,,,MASSARI
In Love Again,../lyrics/massari/inloveagain.html,,,MASSARI
Shisha,../lyrics/massari/shisha.html,,,MASSARI
Spitfire,../lyrics/massari/spitfire.html,,,MASSARI
Thinking Of You,../lyrics/massari/thinkingofyou.html,,,MASSARI
What About The Love,../lyrics/massari/whataboutthelove.html,,,MASSARI
