song,link,album,year,artist
Somedays,../lyrics/mattwertz/somedays.html,Somedays,2001,MATT WERTZ
Faith And Compromise,../lyrics/mattwertz/faithandcompromise.html,Somedays,2001,MATT WERTZ
"I'm Sorry, Mary",../lyrics/mattwertz/imsorrymary.html,Somedays,2001,MATT WERTZ
In On A Whim,../lyrics/mattwertz/inonawhim.html,Somedays,2001,MATT WERTZ
Yesterday Morning,../lyrics/mattwertz/yesterdaymorning.html,Somedays,2001,MATT WERTZ
External Fix-It Remedies,../lyrics/mattwertz/externalfixitremedies.html,Somedays,2001,MATT WERTZ
Sell Out,../lyrics/mattwertz/sellout.html,Somedays,2001,MATT WERTZ
Even The Streets,../lyrics/mattwertz/eventhestreets.html,Somedays,2001,MATT WERTZ
Lonely Tonight,../lyrics/mattwertz/lonelytonight.html,Somedays,2001,MATT WERTZ
Song For The Irrational,../lyrics/mattwertz/songfortheirrational.html,Somedays,2001,MATT WERTZ
Happytimes,../lyrics/mattwertz/happytimes.html,Somedays,2001,MATT WERTZ
This Moment,../lyrics/mattwertz/thismoment.html,Somedays,2001,MATT WERTZ
,,Somedays,2001,MATT WERTZ
The Day Forever Died,../lyrics/mattwertz/thedayforeverdied.html,Twentythree Places,2003,MATT WERTZ
Marianne,../lyrics/mattwertz/marianne.html,Twentythree Places,2003,MATT WERTZ
Everything's Right,../lyrics/mattwertz/everythingsright.html,Twentythree Places,2003,MATT WERTZ
Red Meets Blue,../lyrics/mattwertz/redmeetsblue.html,Twentythree Places,2003,MATT WERTZ
Counting To 100,../lyrics/mattwertz/countingto100.html,Twentythree Places,2003,MATT WERTZ
That For You,../lyrics/mattwertz/thatforyou.html,Twentythree Places,2003,MATT WERTZ
All I Know,../lyrics/mattwertz/alliknow.html,Twentythree Places,2003,MATT WERTZ
"Wesley, Why?",../lyrics/mattwertz/wesleywhy.html,Twentythree Places,2003,MATT WERTZ
Sweetness In Starlight,../lyrics/mattwertz/sweetnessinstarlight.html,Twentythree Places,2003,MATT WERTZ
Wade Through The Night,../lyrics/mattwertz/wadethroughthenight.html,Twentythree Places,2003,MATT WERTZ
Falling Off The Face Of The Earth,../lyrics/mattwertz/fallingoffthefaceoftheearth.html,Twentythree Places,2003,MATT WERTZ
,,Twentythree Places,2003,MATT WERTZ
Like The Last Time,../lyrics/mattwertz/likethelasttime.html,Today & Tomorrow,2005,MATT WERTZ
Wandering Eyes,../lyrics/mattwertz/wanderingeyes.html,Today & Tomorrow,2005,MATT WERTZ
Red Meets Blue,../lyrics/mattwertz/redmeetsblue.html,Today & Tomorrow,2005,MATT WERTZ
Honest Man,../lyrics/mattwertz/honestman.html,Today & Tomorrow,2005,MATT WERTZ
"I'm Sorry, Mary",../lyrics/mattwertz/imsorrymary.html,Today & Tomorrow,2005,MATT WERTZ
,,Today & Tomorrow,2005,MATT WERTZ
The Way I Feel,../lyrics/mattwertz/thewayifeel.html,Everything In Between,2006,MATT WERTZ
Carolina,../lyrics/mattwertz/carolina.html,Everything In Between,2006,MATT WERTZ
Heartbreaker,../lyrics/mattwertz/heartbreaker.html,Everything In Between,2006,MATT WERTZ
Over You,../lyrics/mattwertz/overyou.html,Everything In Between,2006,MATT WERTZ
5:19,../lyrics/mattwertz/519.html,Everything In Between,2006,MATT WERTZ
I Will Not Take My Love Away,../lyrics/mattwertz/iwillnottakemyloveaway.html,Everything In Between,2006,MATT WERTZ
Like The Last Time,../lyrics/mattwertz/likethelasttime.html,Everything In Between,2006,MATT WERTZ
"With You, Tonight",../lyrics/mattwertz/withyoutonight.html,Everything In Between,2006,MATT WERTZ
Naturally,../lyrics/mattwertz/naturally.html,Everything In Between,2006,MATT WERTZ
Capitol City,../lyrics/mattwertz/capitolcity.html,Everything In Between,2006,MATT WERTZ
,,Everything In Between,2006,MATT WERTZ
Everything's Right,../lyrics/mattwertz/everythingsright.html,Under Summer Sun,2008,MATT WERTZ
The Way I Feel,../lyrics/mattwertz/thewayifeel.html,Under Summer Sun,2008,MATT WERTZ
5:19,../lyrics/mattwertz/519.html,Under Summer Sun,2008,MATT WERTZ
Red Meets Blue,../lyrics/mattwertz/redmeetsblue.html,Under Summer Sun,2008,MATT WERTZ
Carolina,../lyrics/mattwertz/carolina.html,Under Summer Sun,2008,MATT WERTZ
I Will Not Take My Love Away,../lyrics/mattwertz/iwillnottakemyloveaway.html,Under Summer Sun,2008,MATT WERTZ
Keep Faith,../lyrics/mattwertz/keepfaith.html,Under Summer Sun,2008,MATT WERTZ
Marianne,../lyrics/mattwertz/marianne.html,Under Summer Sun,2008,MATT WERTZ
Waiting,../lyrics/mattwertz/waiting.html,Under Summer Sun,2008,MATT WERTZ
"With You, Tonight",../lyrics/mattwertz/withyoutonight.html,Under Summer Sun,2008,MATT WERTZ
Summer Sun,../lyrics/mattwertz/summersun.html,Under Summer Sun,2008,MATT WERTZ
Back In June,../lyrics/mattwertz/backinjune.html,Under Summer Sun,2008,MATT WERTZ
,,Under Summer Sun,2008,MATT WERTZ
Don't Come Easy,../lyrics/mattwertz/dontcomeeasy.html,Weights & Wings,2011,MATT WERTZ
Everything Will Be Alright,../lyrics/mattwertz/everythingwillbealright.html,Weights & Wings,2011,MATT WERTZ
Nobody's You,../lyrics/mattwertz/nobodysyou.html,Weights & Wings,2011,MATT WERTZ
Running Back To You,../lyrics/mattwertz/runningbacktoyou.html,Weights & Wings,2011,MATT WERTZ
Family,../lyrics/mattwertz/family.html,Weights & Wings,2011,MATT WERTZ
For The First Time,../lyrics/mattwertz/forthefirsttime.html,Weights & Wings,2011,MATT WERTZ
Someone Like You,../lyrics/mattwertz/someonelikeyou.html,Weights & Wings,2011,MATT WERTZ
Feels So Right,../lyrics/mattwertz/feelssoright.html,Weights & Wings,2011,MATT WERTZ
Easier Tonight,../lyrics/mattwertz/easiertonight.html,Weights & Wings,2011,MATT WERTZ
Gonna Be Good,../lyrics/mattwertz/gonnabegood.html,Weights & Wings,2011,MATT WERTZ
Somebody's Gonna Love You,../lyrics/mattwertz/somebodysgonnaloveyou.html,Weights & Wings,2011,MATT WERTZ
,,Weights & Wings,2011,MATT WERTZ
Get To You,../lyrics/mattwertz/gettoyou.html,Whenever / Wherever,2013,MATT WERTZ
Whenever You Love Somebody,../lyrics/mattwertz/wheneveryoulovesomebody.html,Whenever / Wherever,2013,MATT WERTZ
When It Feels Like This,../lyrics/mattwertz/whenitfeelslikethis.html,Whenever / Wherever,2013,MATT WERTZ
