song,link,album,year,artist
Weh Dem A Do,../lyrics/mavado/wehdemado.html,Gangsta For Life: The Symphony Of David Brooks,2007,MAVADO
They Fear Me,../lyrics/mavado/theyfearme.html,Gangsta For Life: The Symphony Of David Brooks,2007,MAVADO
Dreaming,../lyrics/mavado/dreaming.html,Gangsta For Life: The Symphony Of David Brooks,2007,MAVADO
Don't Cry,../lyrics/mavado/dontcry.html,Gangsta For Life: The Symphony Of David Brooks,2007,MAVADO
Dying,../lyrics/mavado/dying.html,Gangsta For Life: The Symphony Of David Brooks,2007,MAVADO
Top Shotta Nah Miss,../lyrics/mavado/topshottanahmiss.html,Gangsta For Life: The Symphony Of David Brooks,2007,MAVADO
Last Night,../lyrics/mavado/lastnight.html,Gangsta For Life: The Symphony Of David Brooks,2007,MAVADO
Amazing Grace,../lyrics/mavado/amazinggrace.html,Gangsta For Life: The Symphony Of David Brooks,2007,MAVADO
Me And My Dogs,../lyrics/mavado/meandmydogs.html,Gangsta For Life: The Symphony Of David Brooks,2007,MAVADO
Gully Side,../lyrics/mavado/gullyside.html,Gangsta For Life: The Symphony Of David Brooks,2007,MAVADO
Heart Beat,../lyrics/mavado/heartbeat.html,Gangsta For Life: The Symphony Of David Brooks,2007,MAVADO
,,Gangsta For Life: The Symphony Of David Brooks,2007,MAVADO
On The Rock,../lyrics/mavado/ontherock.html,Mr. Brooks ...A Better Tomorrow,2009,MAVADO
So Blessed,../lyrics/mavado/soblessed.html,Mr. Brooks ...A Better Tomorrow,2009,MAVADO
So Special,../lyrics/mavado/sospecial.html,Mr. Brooks ...A Better Tomorrow,2009,MAVADO
Gangster Don't Play,../lyrics/mavado/gangsterdontplay.html,Mr. Brooks ...A Better Tomorrow,2009,MAVADO
Real Killer,../lyrics/mavado/realkiller.html,Mr. Brooks ...A Better Tomorrow,2009,MAVADO
Chiney K,../lyrics/mavado/chineyk.html,Mr. Brooks ...A Better Tomorrow,2009,MAVADO
Don't Worry,../lyrics/mavado/dontworry.html,Mr. Brooks ...A Better Tomorrow,2009,MAVADO
Money Changer,../lyrics/mavado/moneychanger.html,Mr. Brooks ...A Better Tomorrow,2009,MAVADO
Money,../lyrics/mavado/money.html,Mr. Brooks ...A Better Tomorrow,2009,MAVADO
In Di Car Back,../lyrics/mavado/indicarback.html,Mr. Brooks ...A Better Tomorrow,2009,MAVADO
Overcome,../lyrics/mavado/overcome.html,Mr. Brooks ...A Better Tomorrow,2009,MAVADO
9 Lives,../lyrics/mavado/9lives.html,,,MAVADO
A Boy Like Me,../lyrics/mavado/aboylikeme.html,,,MAVADO
A So You Move,../lyrics/mavado/asoyoumove.html,,,MAVADO
Above Dem,../lyrics/mavado/abovedem.html,,,MAVADO
Agony,../lyrics/mavado/agony.html,,,MAVADO
Aktion Pak,../lyrics/mavado/aktionpak.html,,,MAVADO
All About You,../lyrics/mavado/allaboutyou.html,,,MAVADO
All Faces,../lyrics/mavado/allfaces.html,,,MAVADO
Always On My Mind,../lyrics/mavado/alwaysonmymind.html,,,MAVADO
At The Top (Just Us),../lyrics/mavado/atthetopjustus.html,,,MAVADO
Baby Girl,../lyrics/mavado/babygirl.html,,,MAVADO
Bad Anytime,../lyrics/mavado/badanytime.html,,,MAVADO
Badman,../lyrics/mavado/badman.html,,,MAVADO
Badman Ova Yah Suh,../lyrics/mavado/badmanovayahsuh.html,,,MAVADO
Badman Place,../lyrics/mavado/badmanplace.html,,,MAVADO
Bawl Dem A Bawl,../lyrics/mavado/bawldemabawl.html,,,MAVADO
Belt Buckle,../lyrics/mavado/beltbuckle.html,,,MAVADO
Ben Ova,../lyrics/mavado/benova.html,,,MAVADO
Big Bumpa Gal,../lyrics/mavado/bigbumpagal.html,,,MAVADO
Big League,../lyrics/mavado/bigleague.html,,,MAVADO
Blood Moon,../lyrics/mavado/bloodmoon.html,,,MAVADO
Body Look,../lyrics/mavado/bodylook.html,,,MAVADO
