song,link,album,year,artist
A House Is Not A Home,../lyrics/mavisstaples/ahouseisnotahome.html,Mavis Staples,1969,MAVIS STAPLES
Chained,../lyrics/mavisstaples/chained.html,Mavis Staples,1969,MAVIS STAPLES
,,Mavis Staples,1969,MAVIS STAPLES
20th Century Express,../lyrics/mavisstaples/20thcenturyexpress.html,Time Waits For No One,1989,MAVIS STAPLES
,,Time Waits For No One,1989,MAVIS STAPLES
The Voice,../lyrics/mavisstaples/thevoice.html,The Voice,1993,MAVIS STAPLES
Blood Is Thicker Than Time,../lyrics/mavisstaples/bloodisthickerthantime.html,The Voice,1993,MAVIS STAPLES
Undertaker,../lyrics/mavisstaples/undertaker.html,The Voice,1993,MAVIS STAPLES
Melody Cool,../lyrics/mavisstaples/melodycool.html,The Voice,1993,MAVIS STAPLES
Kain't Turn Back,../lyrics/mavisstaples/kaintturnback.html,The Voice,1993,MAVIS STAPLES
Why,../lyrics/mavisstaples/why.html,The Voice,1993,MAVIS STAPLES
,,The Voice,1993,MAVIS STAPLES
Step Into The Light,../lyrics/mavisstaples/stepintothelight.html,Have A Little Faith,2004,MAVIS STAPLES
I Wanna Thank You,../lyrics/mavisstaples/iwannathankyou.html,Have A Little Faith,2004,MAVIS STAPLES
At The End Of The Day,../lyrics/mavisstaples/attheendoftheday.html,Have A Little Faith,2004,MAVIS STAPLES
In Times Like These,../lyrics/mavisstaples/intimeslikethese.html,Have A Little Faith,2004,MAVIS STAPLES
Will The Circle Be Unbroken,../lyrics/mavisstaples/willthecirclebeunbroken.html,Have A Little Faith,2004,MAVIS STAPLES
,,Have A Little Faith,2004,MAVIS STAPLES
Down In Mississippi,../lyrics/mavisstaples/downinmississippi.html,We'll Never Turn Back,2007,MAVIS STAPLES
Eyes On The Prize,../lyrics/mavisstaples/eyesontheprize.html,We'll Never Turn Back,2007,MAVIS STAPLES
We Shall Not Be Moved,../lyrics/mavisstaples/weshallnotbemoved.html,We'll Never Turn Back,2007,MAVIS STAPLES
On My Way,../lyrics/mavisstaples/onmyway.html,We'll Never Turn Back,2007,MAVIS STAPLES
This Little Light Of Mine,../lyrics/mavisstaples/thislittlelightofmine.html,We'll Never Turn Back,2007,MAVIS STAPLES
99 And 1/2,../lyrics/mavisstaples/99and12.html,We'll Never Turn Back,2007,MAVIS STAPLES
I'll Be Rested,../lyrics/mavisstaples/illberested.html,We'll Never Turn Back,2007,MAVIS STAPLES
,,We'll Never Turn Back,2007,MAVIS STAPLES
For What It's Worth,../lyrics/mavisstaples/forwhatitsworth.html,Live: Hope At The Hideout,2008,MAVIS STAPLES
Eyes On The Prize,../lyrics/mavisstaples/eyesontheprize.html,Live: Hope At The Hideout,2008,MAVIS STAPLES
Down In Mississippi,../lyrics/mavisstaples/downinmississippi.html,Live: Hope At The Hideout,2008,MAVIS STAPLES
Wade In The Water,../lyrics/mavisstaples/wadeinthewater.html,Live: Hope At The Hideout,2008,MAVIS STAPLES
Waiting For My Child,../lyrics/mavisstaples/waitingformychild.html,Live: Hope At The Hideout,2008,MAVIS STAPLES
This Little Light,../lyrics/mavisstaples/thislittlelight.html,Live: Hope At The Hideout,2008,MAVIS STAPLES
