song,link,album,year,artist
The Lovely Linda,../lyrics/paulmccartney/thelovelylinda.html,McCartney,1970,"MCCARTNEY, PAUL"
That Would Be Something,../lyrics/paulmccartney/thatwouldbesomething.html,McCartney,1970,"MCCARTNEY, PAUL"
Every Night,../lyrics/paulmccartney/everynight.html,McCartney,1970,"MCCARTNEY, PAUL"
Junk,../lyrics/paulmccartney/junk.html,McCartney,1970,"MCCARTNEY, PAUL"
Man We Was Lonely,../lyrics/paulmccartney/manwewaslonely.html,McCartney,1970,"MCCARTNEY, PAUL"
Oo You,../lyrics/paulmccartney/ooyou.html,McCartney,1970,"MCCARTNEY, PAUL"
Teddy Boy,../lyrics/paulmccartney/teddyboy.html,McCartney,1970,"MCCARTNEY, PAUL"
Maybe I'm Amazed,../lyrics/paulmccartney/maybeimamazed.html,McCartney,1970,"MCCARTNEY, PAUL"
,,McCartney,1970,"MCCARTNEY, PAUL"
Too Many People,../lyrics/paulmccartney/toomanypeople.html,Ram,1971,"MCCARTNEY, PAUL"
3 Legs,../lyrics/paulmccartney/3legs.html,Ram,1971,"MCCARTNEY, PAUL"
Ram On,../lyrics/paulmccartney/ramon.html,Ram,1971,"MCCARTNEY, PAUL"
Dear Boy,../lyrics/paulmccartney/dearboy.html,Ram,1971,"MCCARTNEY, PAUL"
Uncle Albert / Admiral Halsey,../lyrics/paulmccartney/unclealbertadmiralhalsey.html,Ram,1971,"MCCARTNEY, PAUL"
Smile Away,../lyrics/paulmccartney/smileaway.html,Ram,1971,"MCCARTNEY, PAUL"
Heart Of The Country,../lyrics/paulmccartney/heartofthecountry.html,Ram,1971,"MCCARTNEY, PAUL"
Monkberry Moon Delight,../lyrics/paulmccartney/monkberrymoondelight.html,Ram,1971,"MCCARTNEY, PAUL"
Eat At Home,../lyrics/paulmccartney/eatathome.html,Ram,1971,"MCCARTNEY, PAUL"
Long Haried Lady,../lyrics/paulmccartney/longhariedlady.html,Ram,1971,"MCCARTNEY, PAUL"
Ram On (Reprise),../lyrics/paulmccartney/ramonreprise.html,Ram,1971,"MCCARTNEY, PAUL"
The Back Seat Of My Car,../lyrics/paulmccartney/thebackseatofmycar.html,Ram,1971,"MCCARTNEY, PAUL"
Another Day,../lyrics/paulmccartney/anotherday.html,Ram,1971,"MCCARTNEY, PAUL"
"Oh Woman, Oh Why",../lyrics/paulmccartney/ohwomanohwhy.html,Ram,1971,"MCCARTNEY, PAUL"
,,Ram,1971,"MCCARTNEY, PAUL"
Bip Bop,../lyrics/paulmccartney/bipbop.html,,,"MCCARTNEY, PAUL"
Love Is Strange,../lyrics/paulmccartney/loveisstrange.html,,,"MCCARTNEY, PAUL"
Wild Life,../lyrics/paulmccartney/wildlife.html,,,"MCCARTNEY, PAUL"
Some People Never Know,../lyrics/paulmccartney/somepeopleneverknow.html,,,"MCCARTNEY, PAUL"
I Am Your Singer,../lyrics/paulmccartney/iamyoursinger.html,,,"MCCARTNEY, PAUL"
Tomorrow,../lyrics/paulmccartney/tomorrow.html,,,"MCCARTNEY, PAUL"
Dear Friend,../lyrics/paulmccartney/dearfriend.html,,,"MCCARTNEY, PAUL"
Give Ireland Back To The Irish,../lyrics/paulmccartney/giveirelandbacktotheirish.html,,,"MCCARTNEY, PAUL"
Mary Had A Little Lamb,../lyrics/paulmccartney/maryhadalittlelamb.html,,,"MCCARTNEY, PAUL"
Little Woman Love,../lyrics/paulmccartney/littlewomanlove.html,,,"MCCARTNEY, PAUL"
Mama's Little Girl,../lyrics/paulmccartney/mamaslittlegirl.html,,,"MCCARTNEY, PAUL"
,,,,"MCCARTNEY, PAUL"
Big Barn Bed,../lyrics/paulmccartney/bigbarnbed.html,,,"MCCARTNEY, PAUL"
My Love,../lyrics/paulmccartney/mylove.html,,,"MCCARTNEY, PAUL"
Get On The Right Thing,../lyrics/paulmccartney/getontherightthing.html,,,"MCCARTNEY, PAUL"
Only One More Kiss,../lyrics/paulmccartney/onlyonemorekiss.html,,,"MCCARTNEY, PAUL"
Little Lamb Dragonfly,../lyrics/paulmccartney/littlelambdragonfly.html,,,"MCCARTNEY, PAUL"
Single Pigeon,../lyrics/paulmccartney/singlepigeon.html,,,"MCCARTNEY, PAUL"
When The Night,../lyrics/paulmccartney/whenthenight.html,,,"MCCARTNEY, PAUL"
Hold Me Tight,../lyrics/paulmccartney/holdmetight.html,,,"MCCARTNEY, PAUL"
Lazy Dynamite,../lyrics/paulmccartney/lazydynamite.html,,,"MCCARTNEY, PAUL"
Hands Of Love,../lyrics/paulmccartney/handsoflove.html,,,"MCCARTNEY, PAUL"
Power Cut,../lyrics/paulmccartney/powercut.html,,,"MCCARTNEY, PAUL"
C Moon,../lyrics/paulmccartney/cmoon.html,,,"MCCARTNEY, PAUL"
"Hi, Hi, Hi",../lyrics/paulmccartney/hihihi.html,,,"MCCARTNEY, PAUL"
The Mess,../lyrics/paulmccartney/themess.html,,,"MCCARTNEY, PAUL"
I Lie Around,../lyrics/paulmccartney/iliearound.html,,,"MCCARTNEY, PAUL"
,,,,"MCCARTNEY, PAUL"
Band On The Run,../lyrics/paulmccartney/bandontherun.html,,,"MCCARTNEY, PAUL"
Jet,../lyrics/paulmccartney/jet.html,,,"MCCARTNEY, PAUL"
Bluebird,../lyrics/paulmccartney/bluebird.html,,,"MCCARTNEY, PAUL"
Mrs. Vanderbilt,../lyrics/paulmccartney/mrsvanderbilt.html,,,"MCCARTNEY, PAUL"
Let Me Roll It,../lyrics/paulmccartney/letmerollit.html,,,"MCCARTNEY, PAUL"
Mamunia,../lyrics/paulmccartney/mamunia.html,,,"MCCARTNEY, PAUL"
No Words,../lyrics/paulmccartney/nowords.html,,,"MCCARTNEY, PAUL"
Helen Wheels,../lyrics/paulmccartney/helenwheels.html,,,"MCCARTNEY, PAUL"
Picasso's Last Words (Drink To Me),../lyrics/paulmccartney/picassoslastwordsdrinktome.html,,,"MCCARTNEY, PAUL"
Nineteen Hundred And Eighty Five,../lyrics/paulmccartney/nineteenhundredandeightyfive.html,,,"MCCARTNEY, PAUL"
Country Dreamer,../lyrics/paulmccartney/countrydreamer.html,,,"MCCARTNEY, PAUL"
,,,,"MCCARTNEY, PAUL"
Venus And Mars,../lyrics/paulmccartney/venusandmars.html,,,"MCCARTNEY, PAUL"
Rock Show,../lyrics/paulmccartney/rockshow.html,,,"MCCARTNEY, PAUL"
Love In Song,../lyrics/paulmccartney/loveinsong.html,,,"MCCARTNEY, PAUL"
You Gave Me The Answer,../lyrics/paulmccartney/yougavemetheanswer.html,,,"MCCARTNEY, PAUL"
Magneto And Titanium Man,../lyrics/paulmccartney/magnetoandtitaniumman.html,,,"MCCARTNEY, PAUL"
Letting Go,../lyrics/paulmccartney/lettinggo.html,,,"MCCARTNEY, PAUL"
Venus And Mars (Reprise),../lyrics/paulmccartney/venusandmarsreprise.html,,,"MCCARTNEY, PAUL"
Spirits Of Ancient Egypt,../lyrics/paulmccartney/spiritsofancientegypt.html,,,"MCCARTNEY, PAUL"
