song,link,album,year,artist
I'll Wake Up For You,../lyrics/meghantrainor/illwakeupforyou.html,,,MEGHAN TRAINOR
Waterfalls,../lyrics/meghantrainor/waterfalls.html,,,MEGHAN TRAINOR
Falling,../lyrics/meghantrainor/falling.html,,,MEGHAN TRAINOR
Don't Fall Tonight,../lyrics/meghantrainor/dontfalltonight.html,,,MEGHAN TRAINOR
Don't Let Me Down,../lyrics/meghantrainor/dontletmedown.html,,,MEGHAN TRAINOR
See You Smile,../lyrics/meghantrainor/seeyousmile.html,,,MEGHAN TRAINOR
You Got The Best Of Me,../lyrics/meghantrainor/yougotthebestofme.html,,,MEGHAN TRAINOR
Dad,../lyrics/meghantrainor/dad.html,,,MEGHAN TRAINOR
Simple Love,../lyrics/meghantrainor/simplelove.html,,,MEGHAN TRAINOR
Take These Tears,../lyrics/meghantrainor/takethesetears.html,,,MEGHAN TRAINOR
,,,,MEGHAN TRAINOR
I'll Sing With You,../lyrics/meghantrainor/illsingwithyou.html,,,MEGHAN TRAINOR
"Sweet, Sweetie Pie",../lyrics/meghantrainor/sweetsweetiepie.html,,,MEGHAN TRAINOR
Free To Fly,../lyrics/meghantrainor/freetofly.html,,,MEGHAN TRAINOR
Back To My Home,../lyrics/meghantrainor/backtomyhome.html,,,MEGHAN TRAINOR
"Love, Love, Love",../lyrics/meghantrainor/lovelovelove.html,,,MEGHAN TRAINOR
Whisper,../lyrics/meghantrainor/whisper.html,,,MEGHAN TRAINOR
Out The Door,../lyrics/meghantrainor/outthedoor.html,,,MEGHAN TRAINOR
Hold On To The Ones You Love,../lyrics/meghantrainor/holdontotheonesyoulove.html,,,MEGHAN TRAINOR
Take Care Of Our Soldiers,../lyrics/meghantrainor/takecareofoursoldiers.html,,,MEGHAN TRAINOR
,,,,MEGHAN TRAINOR
Window,../lyrics/meghantrainor/window.html,,,MEGHAN TRAINOR
Never Ever,../lyrics/meghantrainor/neverever.html,,,MEGHAN TRAINOR
Single,../lyrics/meghantrainor/single.html,,,MEGHAN TRAINOR
Something To Believe In,../lyrics/meghantrainor/somethingtobelievein.html,,,MEGHAN TRAINOR
This Love,../lyrics/meghantrainor/thislove.html,,,MEGHAN TRAINOR
Tumble,../lyrics/meghantrainor/tumble.html,,,MEGHAN TRAINOR
Leave A Kiss,../lyrics/meghantrainor/leaveakiss.html,,,MEGHAN TRAINOR
When Did You Fall?,../lyrics/meghantrainor/whendidyoufall.html,,,MEGHAN TRAINOR
Love Me More,../lyrics/meghantrainor/lovememore.html,,,MEGHAN TRAINOR
Pick Me Up,../lyrics/meghantrainor/pickmeup.html,,,MEGHAN TRAINOR
Shoowap Shoowah,../lyrics/meghantrainor/shoowapshoowah.html,,,MEGHAN TRAINOR
Broken Puzzle,../lyrics/meghantrainor/brokenpuzzle.html,,,MEGHAN TRAINOR
Cupid,../lyrics/meghantrainor/cupid.html,,,MEGHAN TRAINOR
,,,,MEGHAN TRAINOR
