song,link,album,year,artist
Feel So Good,../lyrics/melanieb/feelsogood.html,Hot,2000,MELANIE B
Tell Me,../lyrics/melanieb/tellme.html,Hot,2000,MELANIE B
Hell No,../lyrics/melanieb/hellno.html,Hot,2000,MELANIE B
Lullaby,../lyrics/melanieb/lullaby.html,Hot,2000,MELANIE B
Hotter,../lyrics/melanieb/hotter.html,Hot,2000,MELANIE B
Step Inside,../lyrics/melanieb/stepinside.html,Hot,2000,MELANIE B
ABC123,../lyrics/melanieb/abc123.html,Hot,2000,MELANIE B
I Believe,../lyrics/melanieb/ibelieve.html,Hot,2000,MELANIE B
I Want You Back,../lyrics/melanieb/iwantyouback.html,Hot,2000,MELANIE B
Pack Your S**t,../lyrics/melanieb/packyourst.html,Hot,2000,MELANIE B
Feel Me Now,../lyrics/melanieb/feelmenow.html,Hot,2000,MELANIE B
,,Hot,2000,MELANIE B
Today,../lyrics/melanieb/today.html,L.A. State Of Mind,2005,MELANIE B
Stay In Bed Days,../lyrics/melanieb/stayinbeddays.html,L.A. State Of Mind,2005,MELANIE B
Beautiful Girl,../lyrics/melanieb/beautifulgirl.html,L.A. State Of Mind,2005,MELANIE B
Music Of The Night (Perdido),../lyrics/melanieb/musicofthenightperdido.html,L.A. State Of Mind,2005,MELANIE B
If I Had My Life Again,../lyrics/melanieb/ifihadmylifeagain.html,L.A. State Of Mind,2005,MELANIE B
In Too Deep,../lyrics/melanieb/intoodeep.html,L.A. State Of Mind,2005,MELANIE B
Sweet Pleasure,../lyrics/melanieb/sweetpleasure.html,L.A. State Of Mind,2005,MELANIE B
L.A. State Of Mind,../lyrics/melanieb/lastateofmind.html,L.A. State Of Mind,2005,MELANIE B
Say Say Say,../lyrics/melanieb/saysaysay.html,L.A. State Of Mind,2005,MELANIE B
"Bad, Bad Girl",../lyrics/melanieb/badbadgirl.html,L.A. State Of Mind,2005,MELANIE B
Hold On,../lyrics/melanieb/holdon.html,L.A. State Of Mind,2005,MELANIE B
For Once In My Life,../lyrics/melanieb/foronceinmylife.html,,,MELANIE B
Sophisticated Lady,../lyrics/melanieb/sophisticatedlady.html,,,MELANIE B
Word Up,../lyrics/melanieb/wordup.html,,,MELANIE B
