song,link,album,year,artist
Dollhouse,../lyrics/melaniemartinez/dollhouse.html,Dollhouse,2014,MELANIE MARTINEZ
Carousel,../lyrics/melaniemartinez/carousel.html,Dollhouse,2014,MELANIE MARTINEZ
Dead To Me,../lyrics/melaniemartinez/deadtome.html,Dollhouse,2014,MELANIE MARTINEZ
Bittersweet Tragedy,../lyrics/melaniemartinez/bittersweettragedy.html,Dollhouse,2014,MELANIE MARTINEZ
,,Dollhouse,2014,MELANIE MARTINEZ
Cry Baby,../lyrics/melaniemartinez/crybaby.html,Cry Baby,2015,MELANIE MARTINEZ
Dollhouse,../lyrics/melaniemartinez/dollhouse.html,Cry Baby,2015,MELANIE MARTINEZ
Sippy Cup,../lyrics/melaniemartinez/sippycup.html,Cry Baby,2015,MELANIE MARTINEZ
Carousel,../lyrics/melaniemartinez/carousel.html,Cry Baby,2015,MELANIE MARTINEZ
Alphabet Boy,../lyrics/melaniemartinez/alphabetboy.html,Cry Baby,2015,MELANIE MARTINEZ
Soap,../lyrics/melaniemartinez/soap.html,Cry Baby,2015,MELANIE MARTINEZ
Training Wheels,../lyrics/melaniemartinez/trainingwheels.html,Cry Baby,2015,MELANIE MARTINEZ
Pity Party,../lyrics/melaniemartinez/pityparty.html,Cry Baby,2015,MELANIE MARTINEZ
"Tag, You're It",../lyrics/melaniemartinez/tagyoureit.html,Cry Baby,2015,MELANIE MARTINEZ
Milk And Cookies,../lyrics/melaniemartinez/milkandcookies.html,Cry Baby,2015,MELANIE MARTINEZ
Pacify Her,../lyrics/melaniemartinez/pacifyher.html,Cry Baby,2015,MELANIE MARTINEZ
Mrs. Potato Head,../lyrics/melaniemartinez/mrspotatohead.html,Cry Baby,2015,MELANIE MARTINEZ
Mad Hatter,../lyrics/melaniemartinez/madhatter.html,Cry Baby,2015,MELANIE MARTINEZ
Play Date,../lyrics/melaniemartinez/playdate.html,Cry Baby,2015,MELANIE MARTINEZ
Teddy Bear,../lyrics/melaniemartinez/teddybear.html,Cry Baby,2015,MELANIE MARTINEZ
Cake,../lyrics/melaniemartinez/cake.html,Cry Baby,2015,MELANIE MARTINEZ
A Thousand Words,../lyrics/melaniemartinez/athousandwords.html,,,MELANIE MARTINEZ
Birthing Addicts,../lyrics/melaniemartinez/birthingaddicts.html,,,MELANIE MARTINEZ
Bombs On Monday,../lyrics/melaniemartinez/bombsonmonday.html,,,MELANIE MARTINEZ
Bones Are Blue,../lyrics/melaniemartinez/bonesareblue.html,,,MELANIE MARTINEZ
Broadripple Is Burning,../lyrics/melaniemartinez/broadrippleisburning.html,,,MELANIE MARTINEZ
Bulletproof,../lyrics/melaniemartinez/bulletproof.html,,,MELANIE MARTINEZ
Can't Shake You,../lyrics/melaniemartinez/cantshakeyou.html,,,MELANIE MARTINEZ
Cough Syrup,../lyrics/melaniemartinez/coughsyrup.html,,,MELANIE MARTINEZ
Crazy,../lyrics/melaniemartinez/crazy.html,,,MELANIE MARTINEZ
Curly Cue,../lyrics/melaniemartinez/curlycue.html,,,MELANIE MARTINEZ
Dear Porcupines,../lyrics/melaniemartinez/dearporcupines.html,,,MELANIE MARTINEZ
Gingerbread Man,../lyrics/melaniemartinez/gingerbreadman.html,,,MELANIE MARTINEZ
Gold Diggin' Love,../lyrics/melaniemartinez/golddigginlove.html,,,MELANIE MARTINEZ
I Think I'm Crazy,../lyrics/melaniemartinez/ithinkimcrazy.html,,,MELANIE MARTINEZ
Intervals,../lyrics/melaniemartinez/intervals.html,,,MELANIE MARTINEZ
Lights,../lyrics/melaniemartinez/lights.html,,,MELANIE MARTINEZ
Million Men,../lyrics/melaniemartinez/millionmen.html,,,MELANIE MARTINEZ
Night Mime,../lyrics/melaniemartinez/nightmime.html,,,MELANIE MARTINEZ
Race,../lyrics/melaniemartinez/race.html,,,MELANIE MARTINEZ
Rough Love,../lyrics/melaniemartinez/roughlove.html,,,MELANIE MARTINEZ
Run,../lyrics/melaniemartinez/run.html,,,MELANIE MARTINEZ
Seven Nation Army,../lyrics/melaniemartinez/sevennationarmy.html,,,MELANIE MARTINEZ
Smoke,../lyrics/melaniemartinez/smoke.html,,,MELANIE MARTINEZ
The One,../lyrics/melaniemartinez/theone.html,,,MELANIE MARTINEZ
The Show,../lyrics/melaniemartinez/theshow.html,,,MELANIE MARTINEZ
Too Close,../lyrics/melaniemartinez/tooclose.html,,,MELANIE MARTINEZ
Toxic,../lyrics/melaniemartinez/toxic.html,,,MELANIE MARTINEZ
Wicked Words,../lyrics/melaniemartinez/wickedwords.html,,,MELANIE MARTINEZ
You Love I,../lyrics/melaniemartinez/youlovei.html,,,MELANIE MARTINEZ
