song,link,album,year,artist
San Andreas Fault,../lyrics/nataliemerchant/sanandreasfault.html,Tigerlily,1995,"MERCHANT, NATALIE"
Wonder,../lyrics/nataliemerchant/wonder.html,Tigerlily,1995,"MERCHANT, NATALIE"
Beloved Wife,../lyrics/nataliemerchant/belovedwife.html,Tigerlily,1995,"MERCHANT, NATALIE"
River,../lyrics/nataliemerchant/river.html,Tigerlily,1995,"MERCHANT, NATALIE"
Carnival,../lyrics/nataliemerchant/carnival.html,Tigerlily,1995,"MERCHANT, NATALIE"
I May Know The Word,../lyrics/nataliemerchant/imayknowtheword.html,Tigerlily,1995,"MERCHANT, NATALIE"
The Letter,../lyrics/nataliemerchant/theletter.html,Tigerlily,1995,"MERCHANT, NATALIE"
Cowboy Romance,../lyrics/nataliemerchant/cowboyromance.html,Tigerlily,1995,"MERCHANT, NATALIE"
Jealousy,../lyrics/nataliemerchant/jealousy.html,Tigerlily,1995,"MERCHANT, NATALIE"
Where I Go,../lyrics/nataliemerchant/whereigo.html,Tigerlily,1995,"MERCHANT, NATALIE"
Seven Years,../lyrics/nataliemerchant/sevenyears.html,Tigerlily,1995,"MERCHANT, NATALIE"
,,Tigerlily,1995,"MERCHANT, NATALIE"
Ophelia,../lyrics/nataliemerchant/ophelia.html,Ophelia,1998,"MERCHANT, NATALIE"
Life Is Sweet,../lyrics/nataliemerchant/lifeissweet.html,Ophelia,1998,"MERCHANT, NATALIE"
Kind & Generous,../lyrics/nataliemerchant/kindgenerous.html,Ophelia,1998,"MERCHANT, NATALIE"
Frozen Charlotte,../lyrics/nataliemerchant/frozencharlotte.html,Ophelia,1998,"MERCHANT, NATALIE"
My Skin,../lyrics/nataliemerchant/myskin.html,Ophelia,1998,"MERCHANT, NATALIE"
Break Your Heart,../lyrics/nataliemerchant/breakyourheart.html,Ophelia,1998,"MERCHANT, NATALIE"
King Of May,../lyrics/nataliemerchant/kingofmay.html,Ophelia,1998,"MERCHANT, NATALIE"
Thick As Thieves,../lyrics/nataliemerchant/thickasthieves.html,Ophelia,1998,"MERCHANT, NATALIE"
The Living,../lyrics/nataliemerchant/theliving.html,Ophelia,1998,"MERCHANT, NATALIE"
When They Ring The Golden Bells,../lyrics/nataliemerchant/whentheyringthegoldenbells.html,Ophelia,1998,"MERCHANT, NATALIE"
,,Ophelia,1998,"MERCHANT, NATALIE"
This House Is On Fire,../lyrics/nataliemerchant/thishouseisonfire.html,Motherland,2001,"MERCHANT, NATALIE"
Motherland,../lyrics/nataliemerchant/motherland.html,Motherland,2001,"MERCHANT, NATALIE"
Saint Judas,../lyrics/nataliemerchant/saintjudas.html,Motherland,2001,"MERCHANT, NATALIE"
Put The Law On You,../lyrics/nataliemerchant/putthelawonyou.html,Motherland,2001,"MERCHANT, NATALIE"
Build A Levee,../lyrics/nataliemerchant/buildalevee.html,Motherland,2001,"MERCHANT, NATALIE"
Golden Boy,../lyrics/nataliemerchant/goldenboy.html,Motherland,2001,"MERCHANT, NATALIE"
Henry Darger,../lyrics/nataliemerchant/henrydarger.html,Motherland,2001,"MERCHANT, NATALIE"
The Worst Thing,../lyrics/nataliemerchant/theworstthing.html,Motherland,2001,"MERCHANT, NATALIE"
Tell Yourself,../lyrics/nataliemerchant/tellyourself.html,Motherland,2001,"MERCHANT, NATALIE"
Just Can't Last,../lyrics/nataliemerchant/justcantlast.html,Motherland,2001,"MERCHANT, NATALIE"
Not In This Life,../lyrics/nataliemerchant/notinthislife.html,Motherland,2001,"MERCHANT, NATALIE"
I'm Not Gonna Beg,../lyrics/nataliemerchant/imnotgonnabeg.html,Motherland,2001,"MERCHANT, NATALIE"
,,Motherland,2001,"MERCHANT, NATALIE"
Sally Ann,../lyrics/nataliemerchant/sallyann.html,The House Carpenter's Daughter,2003,"MERCHANT, NATALIE"
Which Side Are You On?,../lyrics/nataliemerchant/whichsideareyouon.html,The House Carpenter's Daughter,2003,"MERCHANT, NATALIE"
Crazy Man Michael,../lyrics/nataliemerchant/crazymanmichael.html,The House Carpenter's Daughter,2003,"MERCHANT, NATALIE"
Diver Boy,../lyrics/nataliemerchant/diverboy.html,The House Carpenter's Daughter,2003,"MERCHANT, NATALIE"
Weeping Pilgrim,../lyrics/nataliemerchant/weepingpilgrim.html,The House Carpenter's Daughter,2003,"MERCHANT, NATALIE"
"Soldier, Soldier",../lyrics/nataliemerchant/soldiersoldier.html,The House Carpenter's Daughter,2003,"MERCHANT, NATALIE"
Bury Me Under The Weeping Willow,../lyrics/nataliemerchant/burymeundertheweepingwillow.html,The House Carpenter's Daughter,2003,"MERCHANT, NATALIE"
House Carpenter,../lyrics/nataliemerchant/housecarpenter.html,The House Carpenter's Daughter,2003,"MERCHANT, NATALIE"
Owensboro,../lyrics/nataliemerchant/owensboro.html,The House Carpenter's Daughter,2003,"MERCHANT, NATALIE"
Down On Penny's Farm,../lyrics/nataliemerchant/downonpennysfarm.html,The House Carpenter's Daughter,2003,"MERCHANT, NATALIE"
Poor Wayfaring Stranger,../lyrics/nataliemerchant/poorwayfaringstranger.html,The House Carpenter's Daughter,2003,"MERCHANT, NATALIE"
,,The House Carpenter's Daughter,2003,"MERCHANT, NATALIE"
Nursery Rhyme Of Innocence And Experience,../lyrics/nataliemerchant/nurseryrhymeofinnocenceandexperience.html,Leave Your Sleep,2010,"MERCHANT, NATALIE"
Equestrienne,../lyrics/nataliemerchant/equestrienne.html,Leave Your Sleep,2010,"MERCHANT, NATALIE"
Calico Pie,../lyrics/nataliemerchant/calicopie.html,Leave Your Sleep,2010,"MERCHANT, NATALIE"
Bleezer's Ice-Cream,../lyrics/nataliemerchant/bleezersicecream.html,Leave Your Sleep,2010,"MERCHANT, NATALIE"
It Makes A Change,../lyrics/nataliemerchant/itmakesachange.html,Leave Your Sleep,2010,"MERCHANT, NATALIE"
The King Of China's Daughter,../lyrics/nataliemerchant/thekingofchinasdaughter.html,Leave Your Sleep,2010,"MERCHANT, NATALIE"
The Dancing Bear,../lyrics/nataliemerchant/thedancingbear.html,Leave Your Sleep,2010,"MERCHANT, NATALIE"
The Man In The Wilderness,../lyrics/nataliemerchant/themaninthewilderness.html,Leave Your Sleep,2010,"MERCHANT, NATALIE"
Maggie And Milly And Molly And May,../lyrics/nataliemerchant/maggieandmillyandmollyandmay.html,Leave Your Sleep,2010,"MERCHANT, NATALIE"
