song,link,album,year,artist
People In Tha Middle,../lyrics/michaelfrantispearhead/peopleinthamiddle.html,Home,1994,MICHAEL FRANTI & SPEARHEAD
Love Is Da Shit,../lyrics/michaelfrantispearhead/loveisdashit.html,Home,1994,MICHAEL FRANTI & SPEARHEAD
Piece O' Peace,../lyrics/michaelfrantispearhead/pieceopeace.html,Home,1994,MICHAEL FRANTI & SPEARHEAD
Positive,../lyrics/michaelfrantispearhead/positive.html,Home,1994,MICHAEL FRANTI & SPEARHEAD
Of Course You Can,../lyrics/michaelfrantispearhead/ofcourseyoucan.html,Home,1994,MICHAEL FRANTI & SPEARHEAD
Hole In The Bucket,../lyrics/michaelfrantispearhead/holeinthebucket.html,Home,1994,MICHAEL FRANTI & SPEARHEAD
Home,../lyrics/michaelfrantispearhead/home.html,Home,1994,MICHAEL FRANTI & SPEARHEAD
Dream Team,../lyrics/michaelfrantispearhead/dreamteam.html,Home,1994,MICHAEL FRANTI & SPEARHEAD
Runfayalife,../lyrics/michaelfrantispearhead/runfayalife.html,Home,1994,MICHAEL FRANTI & SPEARHEAD
Crime To Be Broke In America,../lyrics/michaelfrantispearhead/crimetobebrokeinamerica.html,Home,1994,MICHAEL FRANTI & SPEARHEAD
"100,000 Miles",../lyrics/michaelfrantispearhead/100000miles.html,Home,1994,MICHAEL FRANTI & SPEARHEAD
Red Beans & Rice,../lyrics/michaelfrantispearhead/redbeansrice.html,Home,1994,MICHAEL FRANTI & SPEARHEAD
Caught Without An Umbrella,../lyrics/michaelfrantispearhead/caughtwithoutanumbrella.html,Home,1994,MICHAEL FRANTI & SPEARHEAD
,,Home,1994,MICHAEL FRANTI & SPEARHEAD
Africa On Line,../lyrics/michaelfrantispearhead/africaonline.html,Chocolate Supa Highway,1997,MICHAEL FRANTI & SPEARHEAD
Chocolate Supa Highway,../lyrics/michaelfrantispearhead/chocolatesupahighway.html,Chocolate Supa Highway,1997,MICHAEL FRANTI & SPEARHEAD
Keep Me Lifted,../lyrics/michaelfrantispearhead/keepmelifted.html,Chocolate Supa Highway,1997,MICHAEL FRANTI & SPEARHEAD
Food For Tha Masses,../lyrics/michaelfrantispearhead/foodforthamasses.html,Chocolate Supa Highway,1997,MICHAEL FRANTI & SPEARHEAD
U Can't Sing R Song,../lyrics/michaelfrantispearhead/ucantsingrsong.html,Chocolate Supa Highway,1997,MICHAEL FRANTI & SPEARHEAD
Tha Payroll (Stay Strong),../lyrics/michaelfrantispearhead/thapayrollstaystrong.html,Chocolate Supa Highway,1997,MICHAEL FRANTI & SPEARHEAD
Madness In Tha Hood (Free Ride),../lyrics/michaelfrantispearhead/madnessinthahoodfreeride.html,Chocolate Supa Highway,1997,MICHAEL FRANTI & SPEARHEAD
Rebel Music (3 O'Clock Roadblock),../lyrics/michaelfrantispearhead/rebelmusic3oclockroadblock.html,Chocolate Supa Highway,1997,MICHAEL FRANTI & SPEARHEAD
Why Oh Why,../lyrics/michaelfrantispearhead/whyohwhy.html,Chocolate Supa Highway,1997,MICHAEL FRANTI & SPEARHEAD
Comin' To Gitcha,../lyrics/michaelfrantispearhead/comintogitcha.html,Chocolate Supa Highway,1997,MICHAEL FRANTI & SPEARHEAD
Ganja Babe,../lyrics/michaelfrantispearhead/ganjababe.html,Chocolate Supa Highway,1997,MICHAEL FRANTI & SPEARHEAD
Wayfaring Stranger,../lyrics/michaelfrantispearhead/wayfaringstranger.html,Chocolate Supa Highway,1997,MICHAEL FRANTI & SPEARHEAD
Gas Gauge (The World's In Your Hands),../lyrics/michaelfrantispearhead/gasgaugetheworldsinyourhands.html,Chocolate Supa Highway,1997,MICHAEL FRANTI & SPEARHEAD
