song,link,album,year,artist
Powderworks,../lyrics/midnightoil/powderworks.html,Midnight Oil,1978,MIDNIGHT OIL
Head Over Heels,../lyrics/midnightoil/headoverheels.html,Midnight Oil,1978,MIDNIGHT OIL
Dust,../lyrics/midnightoil/dust.html,Midnight Oil,1978,MIDNIGHT OIL
Used And Abused,../lyrics/midnightoil/usedandabused.html,Midnight Oil,1978,MIDNIGHT OIL
Surfing With A Spoon,../lyrics/midnightoil/surfingwithaspoon.html,Midnight Oil,1978,MIDNIGHT OIL
Run By Night,../lyrics/midnightoil/runbynight.html,Midnight Oil,1978,MIDNIGHT OIL
Nothing Lost - Nothing Gained,../lyrics/midnightoil/nothinglostnothinggained.html,Midnight Oil,1978,MIDNIGHT OIL
,,Midnight Oil,1978,MIDNIGHT OIL
Cold Cold Change,../lyrics/midnightoil/coldcoldchange.html,Head Injuries,1979,MIDNIGHT OIL
Section 5 (Bus To Bondi),../lyrics/midnightoil/section5bustobondi.html,Head Injuries,1979,MIDNIGHT OIL
Naked Flame,../lyrics/midnightoil/nakedflame.html,Head Injuries,1979,MIDNIGHT OIL
Back On The Borderline,../lyrics/midnightoil/backontheborderline.html,Head Injuries,1979,MIDNIGHT OIL
Koala Sprint,../lyrics/midnightoil/koalasprint.html,Head Injuries,1979,MIDNIGHT OIL
No Reaction,../lyrics/midnightoil/noreaction.html,Head Injuries,1979,MIDNIGHT OIL
Stand In Line,../lyrics/midnightoil/standinline.html,Head Injuries,1979,MIDNIGHT OIL
Profiteers,../lyrics/midnightoil/profiteers.html,Head Injuries,1979,MIDNIGHT OIL
Is It Now?,../lyrics/midnightoil/isitnow.html,Head Injuries,1979,MIDNIGHT OIL
,,Head Injuries,1979,MIDNIGHT OIL
No Time For Games,../lyrics/midnightoil/notimeforgames.html,Bird Noises,1980,MIDNIGHT OIL
Knife's Edge,../lyrics/midnightoil/knifesedge.html,Bird Noises,1980,MIDNIGHT OIL
I'm The Cure,../lyrics/midnightoil/imthecure.html,Bird Noises,1980,MIDNIGHT OIL
,,Bird Noises,1980,MIDNIGHT OIL
Don't Wanna Be The One,../lyrics/midnightoil/dontwannabetheone.html,Place Without A Postcard,1981,MIDNIGHT OIL
Brave Faces,../lyrics/midnightoil/bravefaces.html,Place Without A Postcard,1981,MIDNIGHT OIL
Armistice Day,../lyrics/midnightoil/armisticeday.html,Place Without A Postcard,1981,MIDNIGHT OIL
Someone Else To Blame,../lyrics/midnightoil/someoneelsetoblame.html,Place Without A Postcard,1981,MIDNIGHT OIL
Basement Flat,../lyrics/midnightoil/basementflat.html,Place Without A Postcard,1981,MIDNIGHT OIL
Written In The Heart,../lyrics/midnightoil/writtenintheheart.html,Place Without A Postcard,1981,MIDNIGHT OIL
Burnie,../lyrics/midnightoil/burnie.html,Place Without A Postcard,1981,MIDNIGHT OIL
Quinella Holiday,../lyrics/midnightoil/quinellaholiday.html,Place Without A Postcard,1981,MIDNIGHT OIL
Loves On Sale,../lyrics/midnightoil/lovesonsale.html,Place Without A Postcard,1981,MIDNIGHT OIL
If Ned Kelly Was King,../lyrics/midnightoil/ifnedkellywasking.html,Place Without A Postcard,1981,MIDNIGHT OIL
Lucky Country,../lyrics/midnightoil/luckycountry.html,Place Without A Postcard,1981,MIDNIGHT OIL
,,Place Without A Postcard,1981,MIDNIGHT OIL
Outside World,../lyrics/midnightoil/outsideworld.html,"10, 9, 8, 7, 6, 5, 4, 3, 2, 1",1982,MIDNIGHT OIL
Only The Strong,../lyrics/midnightoil/onlythestrong.html,"10, 9, 8, 7, 6, 5, 4, 3, 2, 1",1982,MIDNIGHT OIL
Short Memory,../lyrics/midnightoil/shortmemory.html,"10, 9, 8, 7, 6, 5, 4, 3, 2, 1",1982,MIDNIGHT OIL
Read About It,../lyrics/midnightoil/readaboutit.html,"10, 9, 8, 7, 6, 5, 4, 3, 2, 1",1982,MIDNIGHT OIL
Scream In Blue,../lyrics/midnightoil/screaminblue.html,"10, 9, 8, 7, 6, 5, 4, 3, 2, 1",1982,MIDNIGHT OIL
U.S. Forces,../lyrics/midnightoil/usforces.html,"10, 9, 8, 7, 6, 5, 4, 3, 2, 1",1982,MIDNIGHT OIL
Power And The Passion,../lyrics/midnightoil/powerandthepassion.html,"10, 9, 8, 7, 6, 5, 4, 3, 2, 1",1982,MIDNIGHT OIL
Maralinga,../lyrics/midnightoil/maralinga.html,"10, 9, 8, 7, 6, 5, 4, 3, 2, 1",1982,MIDNIGHT OIL
Tin Legs And Tin Mines,../lyrics/midnightoil/tinlegsandtinmines.html,"10, 9, 8, 7, 6, 5, 4, 3, 2, 1",1982,MIDNIGHT OIL
Somebody's Trying To Tell Me Something,../lyrics/midnightoil/somebodystryingtotellmesomething.html,"10, 9, 8, 7, 6, 5, 4, 3, 2, 1",1982,MIDNIGHT OIL
,,"10, 9, 8, 7, 6, 5, 4, 3, 2, 1",1982,MIDNIGHT OIL
When The Generals Talk,../lyrics/midnightoil/whenthegeneralstalk.html,Red Sails In The Sunset,1984,MIDNIGHT OIL
Best Of Both Worlds,../lyrics/midnightoil/bestofbothworlds.html,Red Sails In The Sunset,1984,MIDNIGHT OIL
Sleep,../lyrics/midnightoil/sleep.html,Red Sails In The Sunset,1984,MIDNIGHT OIL
Minutes To Midnight,../lyrics/midnightoil/minutestomidnight.html,Red Sails In The Sunset,1984,MIDNIGHT OIL
Jimmy Sharman's Boxers,../lyrics/midnightoil/jimmysharmansboxers.html,Red Sails In The Sunset,1984,MIDNIGHT OIL
Who Can Stand In The Way,../lyrics/midnightoil/whocanstandintheway.html,Red Sails In The Sunset,1984,MIDNIGHT OIL
Kosciuszko,../lyrics/midnightoil/kosciuszko.html,Red Sails In The Sunset,1984,MIDNIGHT OIL
Helps Me Helps You,../lyrics/midnightoil/helpsmehelpsyou.html,Red Sails In The Sunset,1984,MIDNIGHT OIL
Harrisburg,../lyrics/midnightoil/harrisburg.html,Red Sails In The Sunset,1984,MIDNIGHT OIL
Bells And Horns In The Back Of Beyond,../lyrics/midnightoil/bellsandhornsinthebackofbeyond.html,Red Sails In The Sunset,1984,MIDNIGHT OIL
Shipyards Of New Zealand,../lyrics/midnightoil/shipyardsofnewzealand.html,Red Sails In The Sunset,1984,MIDNIGHT OIL
,,Red Sails In The Sunset,1984,MIDNIGHT OIL
Progress,../lyrics/midnightoil/progress.html,Species Deceases,1985,MIDNIGHT OIL
Hercules,../lyrics/midnightoil/hercules.html,Species Deceases,1985,MIDNIGHT OIL
Blossom And Blood,../lyrics/midnightoil/blossomandblood.html,Species Deceases,1985,MIDNIGHT OIL
