song,link,album,year,artist
Kerosene,../lyrics/mirandalambert/kerosene.html,Kerosene,2005,m_mirandalambert.html
What About Georgia?,../lyrics/mirandalambert/whataboutgeorgia.html,Kerosene,2005,m_mirandalambert.html
Greyhound Bound For Nowhere,../lyrics/mirandalambert/greyhoundboundfornowhere.html,Kerosene,2005,m_mirandalambert.html
New Strings,../lyrics/mirandalambert/newstrings.html,Kerosene,2005,m_mirandalambert.html
I Can't Be Bothered,../lyrics/mirandalambert/icantbebothered.html,Kerosene,2005,m_mirandalambert.html
Bring Me Down,../lyrics/mirandalambert/bringmedown.html,Kerosene,2005,m_mirandalambert.html
Me And Charlie Talking,../lyrics/mirandalambert/meandcharlietalking.html,Kerosene,2005,m_mirandalambert.html
I Wanna Die,../lyrics/mirandalambert/iwannadie.html,Kerosene,2005,m_mirandalambert.html
Love Is Looking For You,../lyrics/mirandalambert/loveislookingforyou.html,Kerosene,2005,m_mirandalambert.html
"Mama, I'm Alright",../lyrics/mirandalambert/mamaimalright.html,Kerosene,2005,m_mirandalambert.html
There's A Wall,../lyrics/mirandalambert/theresawall.html,Kerosene,2005,m_mirandalambert.html
Love Your Memory,../lyrics/mirandalambert/loveyourmemory.html,Kerosene,2005,m_mirandalambert.html
,,Kerosene,2005,m_mirandalambert.html
Gunpowder & Lead,../lyrics/mirandalambert/gunpowderlead.html,Crazy Ex-Girlfriend,2007,m_mirandalambert.html
Dry Town,../lyrics/mirandalambert/drytown.html,Crazy Ex-Girlfriend,2007,m_mirandalambert.html
Famous In A Small Town,../lyrics/mirandalambert/famousinasmalltown.html,Crazy Ex-Girlfriend,2007,m_mirandalambert.html
Crazy Ex-Girlfriend,../lyrics/mirandalambert/crazyexgirlfriend.html,Crazy Ex-Girlfriend,2007,m_mirandalambert.html
Love Letters,../lyrics/mirandalambert/loveletters.html,Crazy Ex-Girlfriend,2007,m_mirandalambert.html
Desperation,../lyrics/mirandalambert/desperation.html,Crazy Ex-Girlfriend,2007,m_mirandalambert.html
More Like Her,../lyrics/mirandalambert/morelikeher.html,Crazy Ex-Girlfriend,2007,m_mirandalambert.html
Down,../lyrics/mirandalambert/down.html,Crazy Ex-Girlfriend,2007,m_mirandalambert.html
Guilty In Here,../lyrics/mirandalambert/guiltyinhere.html,Crazy Ex-Girlfriend,2007,m_mirandalambert.html
