song,link,album,year,artist
I'll Go Crazy,../lyrics/moodyblues/illgocrazy.html,The Magnificient Moodies,1965,m_moody.html
Something You Got,../lyrics/moodyblues/somethingyougot.html,The Magnificient Moodies,1965,m_moody.html
Go Now,../lyrics/moodyblues/gonow.html,The Magnificient Moodies,1965,m_moody.html
Can't Nobody Love You,../lyrics/moodyblues/cantnobodyloveyou.html,The Magnificient Moodies,1965,m_moody.html
I Don't Mind,../lyrics/moodyblues/idontmind.html,The Magnificient Moodies,1965,m_moody.html
I've Got A Dream,../lyrics/moodyblues/ivegotadream.html,The Magnificient Moodies,1965,m_moody.html
Let Me Go,../lyrics/moodyblues/letmego.html,The Magnificient Moodies,1965,m_moody.html
Stop,../lyrics/moodyblues/stop.html,The Magnificient Moodies,1965,m_moody.html
Thank You Baby,../lyrics/moodyblues/thankyoubaby.html,The Magnificient Moodies,1965,m_moody.html
It Ain't Necessarily So,../lyrics/moodyblues/itaintnecessarilyso.html,The Magnificient Moodies,1965,m_moody.html
True Story,../lyrics/moodyblues/truestory.html,The Magnificient Moodies,1965,m_moody.html
Bye Bye Bird,../lyrics/moodyblues/byebyebird.html,The Magnificient Moodies,1965,m_moody.html
And My Baby's Gone,../lyrics/moodyblues/andmybabysgone.html,The Magnificient Moodies,1965,m_moody.html
It's Easy Child,../lyrics/moodyblues/itseasychild.html,The Magnificient Moodies,1965,m_moody.html
I Don't Want To Go On Without You,../lyrics/moodyblues/idontwanttogoonwithoutyou.html,The Magnificient Moodies,1965,m_moody.html
From The Bottom Of My Heart,../lyrics/moodyblues/fromthebottomofmyheart.html,The Magnificient Moodies,1965,m_moody.html
,,The Magnificient Moodies,1965,m_moody.html
The Day Begins,../lyrics/moodyblues/thedaybegins.html,Days Of Future Passed,1967,m_moody.html
Dawn: Dawn Is A Feeling,../lyrics/moodyblues/dawndawnisafeeling.html,Days Of Future Passed,1967,m_moody.html
The Morning: Another Morning,../lyrics/moodyblues/themorninganothermorning.html,Days Of Future Passed,1967,m_moody.html
Lunch Break: Peak Hour,../lyrics/moodyblues/lunchbreakpeakhour.html,Days Of Future Passed,1967,m_moody.html
The Afternoon: Forever Afternoon,../lyrics/moodyblues/theafternoonforeverafternoon.html,Days Of Future Passed,1967,m_moody.html
The Afternoon: (Evening) Time To Get Away,../lyrics/moodyblues/theafternooneveningtimetogetaway.html,Days Of Future Passed,1967,m_moody.html
Evening: The Sunset,../lyrics/moodyblues/eveningthesunset.html,Days Of Future Passed,1967,m_moody.html
Evening: Twilight Time,../lyrics/moodyblues/eveningtwilighttime.html,Days Of Future Passed,1967,m_moody.html
The Night: Nights In White Satin,../lyrics/moodyblues/thenightnightsinwhitesatin.html,Days Of Future Passed,1967,m_moody.html
Late Lament,../lyrics/moodyblues/latelament.html,Days Of Future Passed,1967,m_moody.html
,,Days Of Future Passed,1967,m_moody.html
Departure,../lyrics/moodyblues/departure.html,In Search Of The Lost Chord,1968,m_moody.html
Ride My See-Saw,../lyrics/moodyblues/ridemyseesaw.html,In Search Of The Lost Chord,1968,m_moody.html
"Dr. Livingston, I Presume",../lyrics/moodyblues/drlivingstonipresume.html,In Search Of The Lost Chord,1968,m_moody.html
House Of Four Doors,../lyrics/moodyblues/houseoffourdoors.html,In Search Of The Lost Chord,1968,m_moody.html
Legend Of A Mind,../lyrics/moodyblues/legendofamind.html,In Search Of The Lost Chord,1968,m_moody.html
House Of Four Doors (Part 2),../lyrics/moodyblues/houseoffourdoorspart2.html,In Search Of The Lost Chord,1968,m_moody.html
Voices In The Sky,../lyrics/moodyblues/voicesinthesky.html,In Search Of The Lost Chord,1968,m_moody.html
The Best Way To Travel,../lyrics/moodyblues/thebestwaytotravel.html,In Search Of The Lost Chord,1968,m_moody.html
Visions Of Paradise,../lyrics/moodyblues/visionsofparadise.html,In Search Of The Lost Chord,1968,m_moody.html
The Actor,../lyrics/moodyblues/theactor.html,In Search Of The Lost Chord,1968,m_moody.html
The Word,../lyrics/moodyblues/theword.html,In Search Of The Lost Chord,1968,m_moody.html
OM,../lyrics/moodyblues/om.html,In Search Of The Lost Chord,1968,m_moody.html
,,In Search Of The Lost Chord,1968,m_moody.html
In The Beginning,../lyrics/moodyblues/inthebeginning.html,On The Threshold Of A Dream,1969,m_moody.html
Lovely To See You,../lyrics/moodyblues/lovelytoseeyou.html,On The Threshold Of A Dream,1969,m_moody.html
Dear Diary,../lyrics/moodyblues/deardiary.html,On The Threshold Of A Dream,1969,m_moody.html
Send Me No Wine,../lyrics/moodyblues/sendmenowine.html,On The Threshold Of A Dream,1969,m_moody.html
To Share Our Love,../lyrics/moodyblues/toshareourlove.html,On The Threshold Of A Dream,1969,m_moody.html
So Deep Within You,../lyrics/moodyblues/sodeepwithinyou.html,On The Threshold Of A Dream,1969,m_moody.html
Never Comes The Day,../lyrics/moodyblues/nevercomestheday.html,On The Threshold Of A Dream,1969,m_moody.html
Lazy Day,../lyrics/moodyblues/lazyday.html,On The Threshold Of A Dream,1969,m_moody.html
Are You Sitting Comfortably,../lyrics/moodyblues/areyousittingcomfortably.html,On The Threshold Of A Dream,1969,m_moody.html
The Dream,../lyrics/moodyblues/thedream.html,On The Threshold Of A Dream,1969,m_moody.html
Have You Heard (part 1),../lyrics/moodyblues/haveyouheardpart1.html,On The Threshold Of A Dream,1969,m_moody.html
Have You Heard (part 2),../lyrics/moodyblues/haveyouheardpart2.html,On The Threshold Of A Dream,1969,m_moody.html
,,On The Threshold Of A Dream,1969,m_moody.html
Higher And Higher,../lyrics/moodyblues/higherandhigher.html,To Our Childrens Childrens Children,1969,m_moody.html
Eyes Of A Child (part 1),../lyrics/moodyblues/eyesofachildpart1.html,To Our Childrens Childrens Children,1969,m_moody.html
Floating,../lyrics/moodyblues/floating.html,To Our Childrens Childrens Children,1969,m_moody.html
Eyes Of A Child (part 2),../lyrics/moodyblues/eyesofachildpart2.html,To Our Childrens Childrens Children,1969,m_moody.html
I Never Thought I'd Live To Be A Hundred,../lyrics/moodyblues/ineverthoughtidlivetobeahundred.html,To Our Childrens Childrens Children,1969,m_moody.html
Out And In,../lyrics/moodyblues/outandin.html,To Our Childrens Childrens Children,1969,m_moody.html
Gypsy,../lyrics/moodyblues/gypsy.html,To Our Childrens Childrens Children,1969,m_moody.html
Eternity Road,../lyrics/moodyblues/eternityroad.html,To Our Childrens Childrens Children,1969,m_moody.html
Candle Of Life,../lyrics/moodyblues/candleoflife.html,To Our Childrens Childrens Children,1969,m_moody.html
Sun Is Still Shining,../lyrics/moodyblues/sunisstillshining.html,To Our Childrens Childrens Children,1969,m_moody.html
I Never Thought I'd Live To Be A Million,../lyrics/moodyblues/ineverthoughtidlivetobeamillion.html,To Our Childrens Childrens Children,1969,m_moody.html
Watching And Waiting,../lyrics/moodyblues/watchingandwaiting.html,To Our Childrens Childrens Children,1969,m_moody.html
,,To Our Childrens Childrens Children,1969,m_moody.html
Question,../lyrics/moodyblues/question.html,A Question Of Balance,1970,m_moody.html
How Is It (We Are Here),../lyrics/moodyblues/howisitwearehere.html,A Question Of Balance,1970,m_moody.html
And The Tide Rushes In,../lyrics/moodyblues/andthetiderushesin.html,A Question Of Balance,1970,m_moody.html
Don't You Feel Small,../lyrics/moodyblues/dontyoufeelsmall.html,A Question Of Balance,1970,m_moody.html
Tortoise And The Hare,../lyrics/moodyblues/tortoiseandthehare.html,A Question Of Balance,1970,m_moody.html
It's Up To You,../lyrics/moodyblues/itsuptoyou.html,A Question Of Balance,1970,m_moody.html
Minstrel's Song,../lyrics/moodyblues/minstrelssong.html,A Question Of Balance,1970,m_moody.html
Dawning Is The Day,../lyrics/moodyblues/dawningistheday.html,A Question Of Balance,1970,m_moody.html
Melancholy Man,../lyrics/moodyblues/melancholyman.html,A Question Of Balance,1970,m_moody.html
The Balance,../lyrics/moodyblues/thebalance.html,A Question Of Balance,1970,m_moody.html
,,A Question Of Balance,1970,m_moody.html
Procession,../lyrics/moodyblues/procession.html,Every Good Boy Deserves Favour,1971,m_moody.html
The Story In Your Eyes,../lyrics/moodyblues/thestoryinyoureyes.html,Every Good Boy Deserves Favour,1971,m_moody.html
Our Guessing Game,../lyrics/moodyblues/ourguessinggame.html,Every Good Boy Deserves Favour,1971,m_moody.html
Emily's Song,../lyrics/moodyblues/emilyssong.html,Every Good Boy Deserves Favour,1971,m_moody.html
After You Came,../lyrics/moodyblues/afteryoucame.html,Every Good Boy Deserves Favour,1971,m_moody.html
One More Time To Live,../lyrics/moodyblues/onemoretimetolive.html,Every Good Boy Deserves Favour,1971,m_moody.html
Nice To Be Here,../lyrics/moodyblues/nicetobehere.html,Every Good Boy Deserves Favour,1971,m_moody.html
You Can Never Go Home,../lyrics/moodyblues/youcannevergohome.html,Every Good Boy Deserves Favour,1971,m_moody.html
My Song,../lyrics/moodyblues/mysong.html,Every Good Boy Deserves Favour,1971,m_moody.html
,,Every Good Boy Deserves Favour,1971,m_moody.html
Lost In A Lost World,../lyrics/moodyblues/lostinalostworld.html,Seventh Sojourn,1972,m_moody.html
New Horizons,../lyrics/moodyblues/newhorizons.html,Seventh Sojourn,1972,m_moody.html
For My Lady,../lyrics/moodyblues/formylady.html,Seventh Sojourn,1972,m_moody.html
Isn't Life Strange,../lyrics/moodyblues/isntlifestrange.html,Seventh Sojourn,1972,m_moody.html
You And Me,../lyrics/moodyblues/youandme.html,Seventh Sojourn,1972,m_moody.html
The Land Of Make-Believe,../lyrics/moodyblues/thelandofmakebelieve.html,Seventh Sojourn,1972,m_moody.html
When You're A Free Man,../lyrics/moodyblues/whenyoureafreeman.html,Seventh Sojourn,1972,m_moody.html
I'm Just A Singer (In A Rock And Roll Band),../lyrics/moodyblues/imjustasingerinarockandrollband.html,Seventh Sojourn,1972,m_moody.html
,,Seventh Sojourn,1972,m_moody.html
Steppin' In A Slide Zone,../lyrics/moodyblues/steppininaslidezone.html,Octave,1978,m_moody.html
Under Moonshine,../lyrics/moodyblues/undermoonshine.html,Octave,1978,m_moody.html
Had To Fall In Love,../lyrics/moodyblues/hadtofallinlove.html,Octave,1978,m_moody.html
I'll Be Level With You,../lyrics/moodyblues/illbelevelwithyou.html,Octave,1978,m_moody.html
Driftwood,../lyrics/moodyblues/driftwood.html,Octave,1978,m_moody.html
Top Rank Suite,../lyrics/moodyblues/topranksuite.html,Octave,1978,m_moody.html
I'm Your Man,../lyrics/moodyblues/imyourman.html,Octave,1978,m_moody.html
Survival,../lyrics/moodyblues/survival.html,Octave,1978,m_moody.html
One Step Into The Light,../lyrics/moodyblues/onestepintothelight.html,Octave,1978,m_moody.html
The Day We Meet Again,../lyrics/moodyblues/thedaywemeetagain.html,Octave,1978,m_moody.html
,,Octave,1978,m_moody.html
The Voice,../lyrics/moodyblues/thevoice.html,Long Distance Voyager,1981,m_moody.html
Talking Out Of Turn,../lyrics/moodyblues/talkingoutofturn.html,Long Distance Voyager,1981,m_moody.html
Gemini Dream,../lyrics/moodyblues/geminidream.html,Long Distance Voyager,1981,m_moody.html
In My World,../lyrics/moodyblues/inmyworld.html,Long Distance Voyager,1981,m_moody.html
Meanwhile,../lyrics/moodyblues/meanwhile.html,Long Distance Voyager,1981,m_moody.html
"22,000 Days",../lyrics/moodyblues/22000days.html,Long Distance Voyager,1981,m_moody.html
Nervous,../lyrics/moodyblues/nervous.html,Long Distance Voyager,1981,m_moody.html
Painted Smile,../lyrics/moodyblues/paintedsmile.html,Long Distance Voyager,1981,m_moody.html
Reflective Smile,../lyrics/moodyblues/reflectivesmile.html,Long Distance Voyager,1981,m_moody.html
Veteran Cosmic Rocker,../lyrics/moodyblues/veterancosmicrocker.html,Long Distance Voyager,1981,m_moody.html
,,Long Distance Voyager,1981,m_moody.html
Blue World,../lyrics/moodyblues/blueworld.html,The Present,1983,m_moody.html
Meet Me Halfway,../lyrics/moodyblues/meetmehalfway.html,The Present,1983,m_moody.html
Sitting At The Wheel,../lyrics/moodyblues/sittingatthewheel.html,The Present,1983,m_moody.html
Going Nowhere,../lyrics/moodyblues/goingnowhere.html,The Present,1983,m_moody.html
Under My Feet,../lyrics/moodyblues/undermyfeet.html,The Present,1983,m_moody.html
It's Cold Outside Of Your Heart,../lyrics/moodyblues/itscoldoutsideofyourheart.html,The Present,1983,m_moody.html
Running Water,../lyrics/moodyblues/runningwater.html,The Present,1983,m_moody.html
I Am,../lyrics/moodyblues/iam.html,The Present,1983,m_moody.html
Sorry,../lyrics/moodyblues/sorry.html,The Present,1983,m_moody.html
,,The Present,1983,m_moody.html
Your Wildest Dreams,../lyrics/moodyblues/yourwildestdreams.html,The Other Side Of Life,1986,m_moody.html
Talkin' Talkin',../lyrics/moodyblues/talkintalkin.html,The Other Side Of Life,1986,m_moody.html
Rock 'N' Roll Over You,../lyrics/moodyblues/rocknrolloveryou.html,The Other Side Of Life,1986,m_moody.html
I Just Don't Care,../lyrics/moodyblues/ijustdontcare.html,The Other Side Of Life,1986,m_moody.html
Running Out Of Love,../lyrics/moodyblues/runningoutoflove.html,The Other Side Of Life,1986,m_moody.html
The Other Side Of Life,../lyrics/moodyblues/theothersideoflife.html,The Other Side Of Life,1986,m_moody.html
The Spirit,../lyrics/moodyblues/thespirit.html,The Other Side Of Life,1986,m_moody.html
Slings And Arrows,../lyrics/moodyblues/slingsandarrows.html,The Other Side Of Life,1986,m_moody.html
It May Be A Fire,../lyrics/moodyblues/itmaybeafire.html,The Other Side Of Life,1986,m_moody.html
,,The Other Side Of Life,1986,m_moody.html
Fly Me High,../lyrics/moodyblues/flymehigh.html,Prelude,1987,m_moody.html
I Really Haven't Got The Time,../lyrics/moodyblues/ireallyhaventgotthetime.html,Prelude,1987,m_moody.html
Leave This Man Alone,../lyrics/moodyblues/leavethismanalone.html,Prelude,1987,m_moody.html
Love And Beauty,../lyrics/moodyblues/loveandbeauty.html,Prelude,1987,m_moody.html
