song,link,album,year,artist
Torn,../lyrics/natalieimbruglia/torn.html,Left Of The Middle,1998,NATALIE IMBRUGLIA
One More Addiction,../lyrics/natalieimbruglia/onemoreaddiction.html,Left Of The Middle,1998,NATALIE IMBRUGLIA
Big Mistake,../lyrics/natalieimbruglia/bigmistake.html,Left Of The Middle,1998,NATALIE IMBRUGLIA
Leave Me Alone,../lyrics/natalieimbruglia/leavemealone.html,Left Of The Middle,1998,NATALIE IMBRUGLIA
Intuition,../lyrics/natalieimbruglia/intuition.html,Left Of The Middle,1998,NATALIE IMBRUGLIA
Smoke,../lyrics/natalieimbruglia/smoke.html,Left Of The Middle,1998,NATALIE IMBRUGLIA
Pigeons And Crumbs,../lyrics/natalieimbruglia/pigeonsandcrumbs.html,Left Of The Middle,1998,NATALIE IMBRUGLIA
Don't You Think,../lyrics/natalieimbruglia/dontyouthink.html,Left Of The Middle,1998,NATALIE IMBRUGLIA
Impressed,../lyrics/natalieimbruglia/impressed.html,Left Of The Middle,1998,NATALIE IMBRUGLIA
Wishing I Was There,../lyrics/natalieimbruglia/wishingiwasthere.html,Left Of The Middle,1998,NATALIE IMBRUGLIA
City,../lyrics/natalieimbruglia/city.html,Left Of The Middle,1998,NATALIE IMBRUGLIA
Left Of The Middle,../lyrics/natalieimbruglia/leftofthemiddle.html,Left Of The Middle,1998,NATALIE IMBRUGLIA
,,Left Of The Middle,1998,NATALIE IMBRUGLIA
That Day (Moment Of Clarity),../lyrics/natalieimbruglia/thatdaymomentofclarity.html,White Lilies Island,2001,NATALIE IMBRUGLIA
Beauty On The Fire,../lyrics/natalieimbruglia/beautyonthefire.html,White Lilies Island,2001,NATALIE IMBRUGLIA
Satellite,../lyrics/natalieimbruglia/satellite.html,White Lilies Island,2001,NATALIE IMBRUGLIA
Do You Love?,../lyrics/natalieimbruglia/doyoulove.html,White Lilies Island,2001,NATALIE IMBRUGLIA
Wrong Impression,../lyrics/natalieimbruglia/wrongimpression.html,White Lilies Island,2001,NATALIE IMBRUGLIA
Goodbye,../lyrics/natalieimbruglia/goodbye.html,White Lilies Island,2001,NATALIE IMBRUGLIA
Everything Goes,../lyrics/natalieimbruglia/everythinggoes.html,White Lilies Island,2001,NATALIE IMBRUGLIA
Hurricane,../lyrics/natalieimbruglia/hurricane.html,White Lilies Island,2001,NATALIE IMBRUGLIA
Sunlight,../lyrics/natalieimbruglia/sunlight.html,White Lilies Island,2001,NATALIE IMBRUGLIA
Talk In Tongues,../lyrics/natalieimbruglia/talkintongues.html,White Lilies Island,2001,NATALIE IMBRUGLIA
Butterflies,../lyrics/natalieimbruglia/butterflies.html,White Lilies Island,2001,NATALIE IMBRUGLIA
Come September,../lyrics/natalieimbruglia/comeseptember.html,White Lilies Island,2001,NATALIE IMBRUGLIA
Just Another Day,../lyrics/natalieimbruglia/justanotherday.html,White Lilies Island,2001,NATALIE IMBRUGLIA
Shikaiya (For Billy),../lyrics/natalieimbruglia/shikaiyaforbilly.html,White Lilies Island,2001,NATALIE IMBRUGLIA
,,White Lilies Island,2001,NATALIE IMBRUGLIA
Starting Today,../lyrics/natalieimbruglia/startingtoday.html,Counting Down The Days,2005,NATALIE IMBRUGLIA
Shiver,../lyrics/natalieimbruglia/shiver.html,Counting Down The Days,2005,NATALIE IMBRUGLIA
Satisfied,../lyrics/natalieimbruglia/satisfied.html,Counting Down The Days,2005,NATALIE IMBRUGLIA
Counting Down The Days,../lyrics/natalieimbruglia/countingdownthedays.html,Counting Down The Days,2005,NATALIE IMBRUGLIA
I Won't Be Lost,../lyrics/natalieimbruglia/iwontbelost.html,Counting Down The Days,2005,NATALIE IMBRUGLIA
Slow Down,../lyrics/natalieimbruglia/slowdown.html,Counting Down The Days,2005,NATALIE IMBRUGLIA
Sanctuary,../lyrics/natalieimbruglia/sanctuary.html,Counting Down The Days,2005,NATALIE IMBRUGLIA
Perfectly,../lyrics/natalieimbruglia/perfectly.html,Counting Down The Days,2005,NATALIE IMBRUGLIA
On The Run,../lyrics/natalieimbruglia/ontherun.html,Counting Down The Days,2005,NATALIE IMBRUGLIA
Come Home,../lyrics/natalieimbruglia/comehome.html,Counting Down The Days,2005,NATALIE IMBRUGLIA
When You're Sleeping,../lyrics/natalieimbruglia/whenyouresleeping.html,Counting Down The Days,2005,NATALIE IMBRUGLIA
Honeycomb Child,../lyrics/natalieimbruglia/honeycombchild.html,Counting Down The Days,2005,NATALIE IMBRUGLIA
,,Counting Down The Days,2005,NATALIE IMBRUGLIA
My God,../lyrics/natalieimbruglia/mygod.html,Come To Life,2009,NATALIE IMBRUGLIA
Lukas,../lyrics/natalieimbruglia/lukas.html,Come To Life,2009,NATALIE IMBRUGLIA
Fun,../lyrics/natalieimbruglia/fun.html,Come To Life,2009,NATALIE IMBRUGLIA
Twenty,../lyrics/natalieimbruglia/twenty.html,Come To Life,2009,NATALIE IMBRUGLIA
Scars,../lyrics/natalieimbruglia/scars.html,Come To Life,2009,NATALIE IMBRUGLIA
Want,../lyrics/natalieimbruglia/want.html,Come To Life,2009,NATALIE IMBRUGLIA
WYUT,../lyrics/natalieimbruglia/wyut.html,Come To Life,2009,NATALIE IMBRUGLIA
Cameo,../lyrics/natalieimbruglia/cameo.html,Come To Life,2009,NATALIE IMBRUGLIA
All The Roses,../lyrics/natalieimbruglia/alltheroses.html,Come To Life,2009,NATALIE IMBRUGLIA
Wild About It,../lyrics/natalieimbruglia/wildaboutit.html,Come To Life,2009,NATALIE IMBRUGLIA
Flirting,../lyrics/natalieimbruglia/flirting.html,Come To Life,2009,NATALIE IMBRUGLIA
,,Come To Life,2009,NATALIE IMBRUGLIA
Instant Crush,../lyrics/natalieimbruglia/instantcrush.html,Male,2015,NATALIE IMBRUGLIA
Cannonball,../lyrics/natalieimbruglia/cannonball.html,Male,2015,NATALIE IMBRUGLIA
The Summer,../lyrics/natalieimbruglia/thesummer.html,Male,2015,NATALIE IMBRUGLIA
I Will Follow You Into The Dark,../lyrics/natalieimbruglia/iwillfollowyouintothedark.html,Male,2015,NATALIE IMBRUGLIA
Goodbye In His Eyes,../lyrics/natalieimbruglia/goodbyeinhiseyes.html,Male,2015,NATALIE IMBRUGLIA
Friday I'm In Love,../lyrics/natalieimbruglia/fridayiminlove.html,Male,2015,NATALIE IMBRUGLIA
Naked As We Came,../lyrics/natalieimbruglia/nakedaswecame.html,Male,2015,NATALIE IMBRUGLIA
Let My Love Open The Door,../lyrics/natalieimbruglia/letmyloveopenthedoor.html,Male,2015,NATALIE IMBRUGLIA
