song,link,album,year,artist
Nothin On You,../lyrics/nav/nothinonyou.html,The Introduction,2016,NAV
Make Your Mind Up,../lyrics/nav/makeyourmindup.html,The Introduction,2016,NAV
Mission,../lyrics/nav/mission.html,The Introduction,2016,NAV
Brown Boy,../lyrics/nav/brownboy.html,The Introduction,2016,NAV
Take Me Simple,../lyrics/nav/takemesimple.html,The Introduction,2016,NAV
She Know,../lyrics/nav/sheknow.html,The Introduction,2016,NAV
Fell In Love,../lyrics/nav/fellinlove.html,The Introduction,2016,NAV
Myself,../lyrics/nav/myself.html,The Introduction,2016,NAV
On My Own,../lyrics/nav/onmyown.html,The Introduction,2016,NAV
The Man,../lyrics/nav/theman.html,The Introduction,2016,NAV
Over,../lyrics/nav/over.html,The Introduction,2016,NAV
TTD (Ten Toes Down),../lyrics/nav/tentoesdown.html,The Introduction,2016,NAV
Up,../lyrics/nav/up.html,The Introduction,2016,NAV
Nothing On Me,../lyrics/nav/nothingonme.html,The Introduction,2016,NAV
Re Up,http://www.azlyrics.com/lyrics/belly/reup.html,The Introduction,2016,NAV
,,The Introduction,2016,NAV
Myself,../lyrics/nav/myself.html,NAV,2017,NAV
NAV,../lyrics/nav/nav.html,NAV,2017,NAV
My Mind,../lyrics/nav/mymind.html,NAV,2017,NAV
Good for It,../lyrics/nav/goodforit.html,NAV,2017,NAV
Lonely,../lyrics/nav/lonely.html,NAV,2017,NAV
Up,../lyrics/nav/up.html,NAV,2017,NAV
Interlude,../lyrics/nav/interlude.html,NAV,2017,NAV
Sleep,../lyrics/nav/sleep.html,NAV,2017,NAV
Mariah,../lyrics/nav/mariah.html,NAV,2017,NAV
Some Way,../lyrics/nav/someway.html,NAV,2017,NAV
TTD (Ten Toes Down),../lyrics/nav/tentoesdown.html,NAV,2017,NAV
Diamonds,../lyrics/nav/diamonds.html,,,NAV
