song,link,album,year,artist
Take Your Breath Away,../lyrics/nawlage/takeyourbreathaway.html,What Can't I Do!?,2009,NAWLAGE
Husband Or Wife,../lyrics/nawlage/husbandorwife.html,What Can't I Do!?,2009,NAWLAGE
"1,393 Miles Away (Distant Love)",../lyrics/nawlage/1393milesawaydistantlove.html,What Can't I Do!?,2009,NAWLAGE
Since We Met,../lyrics/nawlage/sincewemet.html,What Can't I Do!?,2009,NAWLAGE
21 Plus,../lyrics/nawlage/21plus.html,,,NAWLAGE
By Your Side,../lyrics/nawlage/byyourside.html,,,NAWLAGE
I Don't Dance,../lyrics/nawlage/idontdance.html,,,NAWLAGE
My Best Friend,../lyrics/nawlage/mybestfriend.html,,,NAWLAGE
Need You,../lyrics/nawlage/needyou.html,,,NAWLAGE
She's A Tease,../lyrics/nawlage/shesatease.html,,,NAWLAGE
Since You Cheated,../lyrics/nawlage/sinceyoucheated.html,,,NAWLAGE
Tell Me Why,../lyrics/nawlage/tellmewhy.html,,,NAWLAGE
Way You Grind,../lyrics/nawlage/wayyougrind.html,,,NAWLAGE
