song,link,album,year,artist
St. Louie,../lyrics/nelly/stlouie.html,Country Grammar,2000,NELLY
"Greed, Hate, Envy",../lyrics/nelly/greedhateenvy.html,Country Grammar,2000,NELLY
Country Grammar,../lyrics/nelly/countrygrammar.html,Country Grammar,2000,NELLY
Steal The Show,../lyrics/nelly/stealtheshow.html,Country Grammar,2000,NELLY
Ride Wit Me,../lyrics/nelly/ridewitme.html,Country Grammar,2000,NELLY
E.I.,../lyrics/nelly/ei.html,Country Grammar,2000,NELLY
Thicky Thick Gurls,../lyrics/nelly/thickythickgurls.html,Country Grammar,2000,NELLY
For My,../lyrics/nelly/formy.html,Country Grammar,2000,NELLY
Utha Side,../lyrics/nelly/uthaside.html,Country Grammar,2000,NELLY
Tho Dem Wrappas,../lyrics/nelly/thodemwrappas.html,Country Grammar,2000,NELLY
Wrap Sumden,../lyrics/nelly/wrapsumden.html,Country Grammar,2000,NELLY
Batter Up,../lyrics/nelly/batterup.html,Country Grammar,2000,NELLY
Never Let 'Em C U Sweat,../lyrics/nelly/neverletemcusweat.html,Country Grammar,2000,NELLY
Luven Me,../lyrics/nelly/luvenme.html,Country Grammar,2000,NELLY
,,Country Grammar,2000,NELLY
Nellyville,../lyrics/nelly/nellyville.html,Nellyville,2002,NELLY
Hot In Herre,../lyrics/nelly/hotinherre.html,Nellyville,2002,NELLY
Dem Boyz,../lyrics/nelly/demboyz.html,Nellyville,2002,NELLY
Oh Nelly,../lyrics/nelly/ohnelly.html,Nellyville,2002,NELLY
Pimp Juice,../lyrics/nelly/pimpjuice.html,Nellyville,2002,NELLY
Air Force Ones,../lyrics/nelly/airforceones.html,Nellyville,2002,NELLY
In The Store,../lyrics/nelly/inthestore.html,Nellyville,2002,NELLY
On The Grind,../lyrics/nelly/onthegrind.html,Nellyville,2002,NELLY
Dilemma,../lyrics/nelly/dilemma.html,Nellyville,2002,NELLY
Splurge,../lyrics/nelly/splurge.html,Nellyville,2002,NELLY
Work It,../lyrics/nelly/workit.html,Nellyville,2002,NELLY
Roc The Mic (Remix),../lyrics/nelly/rocthemicremix.html,Nellyville,2002,NELLY
The Gank,../lyrics/nelly/thegank.html,Nellyville,2002,NELLY
Number One,../lyrics/nelly/numberone.html,Nellyville,2002,NELLY
CG 2,../lyrics/nelly/cg2.html,Nellyville,2002,NELLY
Say Now,../lyrics/nelly/saynow.html,Nellyville,2002,NELLY
,,Nellyville,2002,NELLY
Play It Off,../lyrics/nelly/playitoff.html,Suit,2004,NELLY
Pretty Toes,../lyrics/nelly/prettytoes.html,Suit,2004,NELLY
My Place,../lyrics/nelly/myplace.html,Suit,2004,NELLY
Paradise,../lyrics/nelly/paradise.html,Suit,2004,NELLY
She Don't Know My Name,../lyrics/nelly/shedontknowmyname.html,Suit,2004,NELLY
N Dey Say,../lyrics/nelly/ndeysay.html,Suit,2004,NELLY
Woodgrain & Leather Wit A Hole,../lyrics/nelly/woodgrainleatherwitahole.html,Suit,2004,NELLY
In My Life,../lyrics/nelly/inmylife.html,Suit,2004,NELLY
Over And Over,../lyrics/nelly/overandover.html,Suit,2004,NELLY
Nobody Knows,../lyrics/nelly/nobodyknows.html,Suit,2004,NELLY
Die For You,../lyrics/nelly/dieforyou.html,Suit,2004,NELLY
,,Suit,2004,NELLY
Heart Of A Champion,../lyrics/nelly/heartofachampion.html,Sweat,2004,NELLY
Na-Nana-Na,../lyrics/nelly/nananana.html,Sweat,2004,NELLY
Flap Your Wings,../lyrics/nelly/flapyourwings.html,Sweat,2004,NELLY
American Dream,../lyrics/nelly/americandream.html,Sweat,2004,NELLY
River Don't Runnn,../lyrics/nelly/riverdontrunnn.html,Sweat,2004,NELLY
Tilt Ya Head Back,../lyrics/nelly/tiltyaheadback.html,Sweat,2004,NELLY
Grand Hang Out,../lyrics/nelly/grandhangout.html,Sweat,2004,NELLY
Getcha Getcha,../lyrics/nelly/getchagetcha.html,Sweat,2004,NELLY
Another One,../lyrics/nelly/anotherone.html,Sweat,2004,NELLY
Spida Man,../lyrics/nelly/spidaman.html,Sweat,2004,NELLY
Playa,../lyrics/nelly/playa.html,Sweat,2004,NELLY
Down In Da Water,../lyrics/nelly/downindawater.html,Sweat,2004,NELLY
Boy,../lyrics/nelly/boy.html,Sweat,2004,NELLY
,,Sweat,2004,NELLY
U Ain't Him,../lyrics/nelly/uainthim.html,Brass Knuckles,2008,NELLY
Hold Up,../lyrics/nelly/holdup.html,Brass Knuckles,2008,NELLY
LA,../lyrics/nelly/la.html,Brass Knuckles,2008,NELLY
Long Night,../lyrics/nelly/longnight.html,Brass Knuckles,2008,NELLY
Lie,../lyrics/nelly/lie.html,Brass Knuckles,2008,NELLY
Party People,../lyrics/nelly/partypeople.html,Brass Knuckles,2008,NELLY
Self-Esteem,../lyrics/nelly/selfesteem.html,Brass Knuckles,2008,NELLY
Body On Me,../lyrics/nelly/bodyonme.html,Brass Knuckles,2008,NELLY
Stepped On My J'z,../lyrics/nelly/steppedonmyjz.html,Brass Knuckles,2008,NELLY
Let It Go (Lil Mama),../lyrics/nelly/letitgolilmama.html,Brass Knuckles,2008,NELLY
One And Only,../lyrics/nelly/oneandonly.html,Brass Knuckles,2008,NELLY
Chill,../lyrics/nelly/chill.html,Brass Knuckles,2008,NELLY
Who Fucks Wit Me,../lyrics/nelly/whofuckswitme.html,Brass Knuckles,2008,NELLY
Ucud Gedit,../lyrics/nelly/ucudgedit.html,Brass Knuckles,2008,NELLY
Bay,../lyrics/nelly/bay.html,Brass Knuckles,2008,NELLY
Problems,../lyrics/nelly/problems.html,Brass Knuckles,2008,NELLY
Wadsyaname,../lyrics/nelly/wadsyaname.html,Brass Knuckles,2008,NELLY
Warrior,../lyrics/nelly/warrior.html,Brass Knuckles,2008,NELLY
Let's Go,../lyrics/nelly/letsgo.html,Brass Knuckles,2008,NELLY
,,Brass Knuckles,2008,NELLY
I'm Number 1,../lyrics/nelly/imnumber1.html,5.0,2010,NELLY
Long Gone,../lyrics/nelly/longgone.html,5.0,2010,NELLY
She's So Fly,../lyrics/nelly/shessofly.html,5.0,2010,NELLY
Just A Dream,../lyrics/nelly/justadream.html,5.0,2010,NELLY
Making Movies,../lyrics/nelly/makingmovies.html,5.0,2010,NELLY
Move That Body,../lyrics/nelly/movethatbody.html,5.0,2010,NELLY
1000 Stacks,../lyrics/nelly/1000stacks.html,5.0,2010,NELLY
Gone,../lyrics/nelly/gone.html,5.0,2010,NELLY
Don't It Feel Good,../lyrics/nelly/dontitfeelgood.html,5.0,2010,NELLY
Broke,../lyrics/nelly/broke.html,5.0,2010,NELLY
Liv Tonight,../lyrics/nelly/livtonight.html,5.0,2010,NELLY
Nothing Without Her,../lyrics/nelly/nothingwithouther.html,5.0,2010,NELLY
Go,../lyrics/nelly/go.html,5.0,2010,NELLY
If I Gave U 1,../lyrics/nelly/ifigaveu1.html,5.0,2010,NELLY
k.I.s.s.,../lyrics/nelly/kiss.html,5.0,2010,NELLY
Giving Her The Grind,../lyrics/nelly/givingherthegrind.html,5.0,2010,NELLY
,,5.0,2010,NELLY
Click Clat Remix,../lyrics/nelly/clickclatremix.html,O.E.M.O,2011,NELLY
Hello Goodbye,../lyrics/nelly/hellogoodbye.html,O.E.M.O,2011,NELLY
Pyro (Remix),../lyrics/nelly/pyroremix.html,O.E.M.O,2011,NELLY
Country Ass Nigga,../lyrics/nelly/countryassnigga.html,O.E.M.O,2011,NELLY
Lotus Flower Bomb (Remix),../lyrics/nelly/lotusflowerbombremix.html,O.E.M.O,2011,NELLY
5 O'Clock (Remix),../lyrics/nelly/5oclockremix.html,O.E.M.O,2011,NELLY
I Wish (Remix),../lyrics/nelly/iwishremix.html,O.E.M.O,2011,NELLY
Ghetto,../lyrics/nelly/ghetto.html,O.E.M.O,2011,NELLY
,,O.E.M.O,2011,NELLY
Scorpio Season Intro,../lyrics/nelly/scorpioseasonintro.html,Scorpio Season,2012,NELLY
Like Dat,../lyrics/nelly/likedat.html,Scorpio Season,2012,NELLY
C-N-F (Country Nigga Fly),../lyrics/nelly/cnfcountryniggafly.html,Scorpio Season,2012,NELLY
Girl Drop That,../lyrics/nelly/girldropthat.html,Scorpio Season,2012,NELLY
MJ,../lyrics/nelly/mj.html,Scorpio Season,2012,NELLY
Packed In Dis Bitch,../lyrics/nelly/packedindisbitch.html,Scorpio Season,2012,NELLY
GO,../lyrics/nelly/go302423.html,Scorpio Season,2012,NELLY
Slow Motion (Master Plan),../lyrics/nelly/slowmotionmasterplan.html,Scorpio Season,2012,NELLY
4 In Da Mornin',../lyrics/nelly/4indamornin.html,Scorpio Season,2012,NELLY
Type Of Shit I Be On,../lyrics/nelly/typeofshitibeon.html,Scorpio Season,2012,NELLY
Hangover,../lyrics/nelly/hangover.html,Scorpio Season,2012,NELLY
Marry Go Round,../lyrics/nelly/marrygoround.html,Scorpio Season,2012,NELLY
Cashin' Out Mo-Mix,../lyrics/nelly/cashinoutmomix.html,Scorpio Season,2012,NELLY
Do It (Remix),../lyrics/nelly/doitremix.html,Scorpio Season,2012,NELLY
,,Scorpio Season,2012,NELLY
Get Like Me,../lyrics/nelly/getlikeme.html,M.O.,2013,NELLY
Give U Dat,../lyrics/nelly/giveudat.html,M.O.,2013,NELLY
Rick James,../lyrics/nelly/rickjames.html,M.O.,2013,NELLY
Heaven,../lyrics/nelly/heaven.html,M.O.,2013,NELLY
"Maryland, Massachusetts",../lyrics/nelly/marylandmassachusetts.html,M.O.,2013,NELLY
100k,../lyrics/nelly/100k.html,M.O.,2013,NELLY
All Around The World,../lyrics/nelly/allaroundtheworld.html,M.O.,2013,NELLY
