song,link,album,year,artist
Pink Fields,../lyrics/neonhitch/pinkfields.html,Happy Neon,2013,NEON HITCH
Midnight Sun,../lyrics/neonhitch/midnightsun.html,Happy Neon,2013,NEON HITCH
The Wizard Believe,../lyrics/neonhitch/thewizardbelieve.html,Happy Neon,2013,NEON HITCH
Jailhouse,../lyrics/neonhitch/jailhouse.html,Happy Neon,2013,NEON HITCH
Born To Be Remembered,../lyrics/neonhitch/borntoberemembered.html,Happy Neon,2013,NEON HITCH
,,Happy Neon,2013,NEON HITCH
Gypsy Star,../lyrics/neonhitch/gypsystar.html,301 To Paradise,2014,NEON HITCH
We Can't Stop,../lyrics/neonhitch/wecantstop.html,301 To Paradise,2014,NEON HITCH
Red Lights,../lyrics/neonhitch/redlights.html,301 To Paradise,2014,NEON HITCH
Some Like It Hot,../lyrics/neonhitch/somelikeithot.html,301 To Paradise,2014,NEON HITCH
Subtitles,../lyrics/neonhitch/subtitles.html,301 To Paradise,2014,NEON HITCH
,,301 To Paradise,2014,NEON HITCH
On The Run,../lyrics/neonhitch/ontherun.html,24:00,2015,NEON HITCH
London Bitch,../lyrics/neonhitch/londonbitch.html,24:00,2015,NEON HITCH
Get Me High,../lyrics/neonhitch/getmehigh.html,24:00,2015,NEON HITCH
Back Against The Wall,../lyrics/neonhitch/backagainstthewall.html,24:00,2015,NEON HITCH
,,24:00,2015,NEON HITCH
Neighborhood,../lyrics/neonhitch/neighborhood.html,Anarchy,2016,NEON HITCH
Grade & Liquor,../lyrics/neonhitch/gradeliquor.html,Anarchy,2016,NEON HITCH
Anarchy,../lyrics/neonhitch/anarchy.html,Anarchy,2016,NEON HITCH
Why,../lyrics/neonhitch/why.html,Anarchy,2016,NEON HITCH
Razorblade,../lyrics/neonhitch/razorblade.html,Anarchy,2016,NEON HITCH
RDLN (Lines & Lust),../lyrics/neonhitch/rdlnlineslust.html,Anarchy,2016,NEON HITCH
Fried Chicken @ Night,../lyrics/neonhitch/friedchickennight.html,Anarchy,2016,NEON HITCH
Boom,../lyrics/neonhitch/boom.html,Anarchy,2016,NEON HITCH
No. 1 Lady,../lyrics/neonhitch/no1lady.html,Anarchy,2016,NEON HITCH
Let Dem Go,../lyrics/neonhitch/letdemgo.html,Anarchy,2016,NEON HITCH
Firetiger,../lyrics/neonhitch/firetiger.html,Anarchy,2016,NEON HITCH
Please,../lyrics/neonhitch/please.html,Anarchy,2016,NEON HITCH
Freedom,../lyrics/neonhitch/freedom.html,Anarchy,2016,NEON HITCH
Bad Dog,../lyrics/neonhitch/baddog.html,,,NEON HITCH
Black And Blue,../lyrics/neonhitch/blackandblue.html,,,NEON HITCH
Black Sunshine,../lyrics/neonhitch/blacksunshine.html,,,NEON HITCH
Come Alive,../lyrics/neonhitch/comealive.html,,,NEON HITCH
Cooler Than Me,../lyrics/neonhitch/coolerthanme.html,,,NEON HITCH
Eleutheromaniac,../lyrics/neonhitch/eleutheromaniac.html,,,NEON HITCH
Fuck U Betta,../lyrics/neonhitch/fuckubetta.html,,,NEON HITCH
Get Over U,../lyrics/neonhitch/getoveru.html,,,NEON HITCH
Gold,../lyrics/neonhitch/gold.html,,,NEON HITCH
Gucci Gucci,../lyrics/neonhitch/guccigucci.html,,,NEON HITCH
Hello,../lyrics/neonhitch/hello.html,,,NEON HITCH
I'm Doin Me,../lyrics/neonhitch/imdoinme.html,,,NEON HITCH
Love U Betta,../lyrics/neonhitch/loveubetta.html,,,NEON HITCH
More Than Friends,../lyrics/neonhitch/morethanfriends.html,,,NEON HITCH
Out Of This World,../lyrics/neonhitch/outofthisworld.html,,,NEON HITCH
Poisoned With Love,../lyrics/neonhitch/poisonedwithlove.html,,,NEON HITCH
Pussy Power,../lyrics/neonhitch/pussypower.html,,,NEON HITCH
Serious,../lyrics/neonhitch/serious.html,,,NEON HITCH
Sparks,../lyrics/neonhitch/sparks.html,,,NEON HITCH
Warner Blvd,../lyrics/neonhitch/warnerblvd.html,,,NEON HITCH
Yard Sale,../lyrics/neonhitch/yardsale.html,,,NEON HITCH
