song,link,album,year,artist
Calling My Name,../lyrics/neontrees/callingmyname.html,Start A Fire,2009,NEON TREES
The Death Of You And Me,../lyrics/neontrees/thedeathofyouandme.html,Start A Fire,2009,NEON TREES
Attraction,../lyrics/neontrees/attraction.html,Start A Fire,2009,NEON TREES
Phones,../lyrics/neontrees/phones.html,Start A Fire,2009,NEON TREES
Alarm,../lyrics/neontrees/alarm.html,Start A Fire,2009,NEON TREES
,,Start A Fire,2009,NEON TREES
Sins Of My Youth,../lyrics/neontrees/sinsofmyyouth.html,Habits,2010,NEON TREES
Love And Affection,../lyrics/neontrees/loveandaffection.html,Habits,2010,NEON TREES
Animal,../lyrics/neontrees/animal.html,Habits,2010,NEON TREES
Your Surrender,../lyrics/neontrees/yoursurrender.html,Habits,2010,NEON TREES
1983,../lyrics/neontrees/1983.html,Habits,2010,NEON TREES
Girls And Boys In School,../lyrics/neontrees/girlsandboysinschool.html,Habits,2010,NEON TREES
In The Next Room,../lyrics/neontrees/inthenextroom.html,Habits,2010,NEON TREES
Helpless,../lyrics/neontrees/helpless.html,Habits,2010,NEON TREES
Our War,../lyrics/neontrees/ourwar.html,Habits,2010,NEON TREES
Farther Down,../lyrics/neontrees/fartherdown.html,Habits,2010,NEON TREES
,,Habits,2010,NEON TREES
Moving In The Dark,../lyrics/neontrees/movinginthedark.html,Picture Show,2012,NEON TREES
Teenage Sounds,../lyrics/neontrees/teenagesounds.html,Picture Show,2012,NEON TREES
Everybody Talks,../lyrics/neontrees/everybodytalks.html,Picture Show,2012,NEON TREES
Mad Love,../lyrics/neontrees/madlove.html,Picture Show,2012,NEON TREES
Weekend,../lyrics/neontrees/weekend.html,Picture Show,2012,NEON TREES
"Lessons In Love (All Day, All Night)",../lyrics/neontrees/lessonsinlovealldayallnight.html,Picture Show,2012,NEON TREES
Trust,../lyrics/neontrees/trust.html,Picture Show,2012,NEON TREES
Close To You,../lyrics/neontrees/closetoyou.html,Picture Show,2012,NEON TREES
Hooray For Hollywood,../lyrics/neontrees/hoorayforhollywood.html,Picture Show,2012,NEON TREES
Still Young,../lyrics/neontrees/stillyoung.html,Picture Show,2012,NEON TREES
I Am The D.J.,../lyrics/neontrees/iamthedj.html,Picture Show,2012,NEON TREES
Show,../lyrics/neontrees/show.html,Picture Show,2012,NEON TREES
Tell Me You Love Me,../lyrics/neontrees/tellmeyouloveme.html,Picture Show,2012,NEON TREES
Take Me For A Ride,../lyrics/neontrees/takemeforaride.html,Picture Show,2012,NEON TREES
Don't You Want Me,../lyrics/neontrees/dontyouwantme.html,Picture Show,2012,NEON TREES
,,Picture Show,2012,NEON TREES
Love In The 21st Century,../lyrics/neontrees/loveinthe21stcentury.html,Pop Psychology,2014,NEON TREES
Text Me In The Morning,../lyrics/neontrees/textmeinthemorning.html,Pop Psychology,2014,NEON TREES
Sleeping With A Friend,../lyrics/neontrees/sleepingwithafriend.html,Pop Psychology,2014,NEON TREES
Teenager In Love,../lyrics/neontrees/teenagerinlove.html,Pop Psychology,2014,NEON TREES
I Love You (But I Hate Your Friends),../lyrics/neontrees/iloveyoubutihateyourfriends.html,Pop Psychology,2014,NEON TREES
Unavoidable,../lyrics/neontrees/unavoidable.html,Pop Psychology,2014,NEON TREES
Voices In The Hall,../lyrics/neontrees/voicesinthehall.html,Pop Psychology,2014,NEON TREES
Foolish Behavior,../lyrics/neontrees/foolishbehavior.html,Pop Psychology,2014,NEON TREES
Living In Another World,../lyrics/neontrees/livinginanotherworld.html,Pop Psychology,2014,NEON TREES
First Things First,../lyrics/neontrees/firstthingsfirst.html,Pop Psychology,2014,NEON TREES
American Zero,../lyrics/neontrees/americanzero.html,Pop Psychology,2014,NEON TREES
Dreams,../lyrics/neontrees/dreams.html,,,NEON TREES
Drop Your Weapon,../lyrics/neontrees/dropyourweapon.html,,,NEON TREES
Electric Heart (Stay Forever),../lyrics/neontrees/electricheartstayforever.html,,,NEON TREES
Friendly Fire,../lyrics/neontrees/friendlyfire.html,,,NEON TREES
Never Tear Us Apart,../lyrics/neontrees/nevertearusapart.html,,,NEON TREES
Some Kind Of Monster,../lyrics/neontrees/somekindofmonster.html,,,NEON TREES
Songs I Can't Listen To,../lyrics/neontrees/songsicantlistento.html,,,NEON TREES
The Morning Becomes Electric,../lyrics/neontrees/themorningbecomeselectric.html,,,NEON TREES
Up Against The Glass,../lyrics/neontrees/upagainsttheglass.html,,,NEON TREES
Wish List,../lyrics/neontrees/wishlist.html,,,NEON TREES
