song,link,album,year,artist
Down On The Bottom,../lyrics/newbasementtapes/downonthebottom.html,,,"NEW BASEMENT TAPES, THE"
Married To My Hack,../lyrics/newbasementtapes/marriedtomyhack.html,,,"NEW BASEMENT TAPES, THE"
Kansas City,../lyrics/newbasementtapes/kansascity.html,,,"NEW BASEMENT TAPES, THE"
Spanish Mary,../lyrics/newbasementtapes/spanishmary.html,,,"NEW BASEMENT TAPES, THE"
Liberty Street,../lyrics/newbasementtapes/libertystreet.html,,,"NEW BASEMENT TAPES, THE"
Nothing To It,../lyrics/newbasementtapes/nothingtoit.html,,,"NEW BASEMENT TAPES, THE"
Golden Tom - Silver Judas,../lyrics/newbasementtapes/goldentomsilverjudas.html,,,"NEW BASEMENT TAPES, THE"
When I Get My Hands On You,../lyrics/newbasementtapes/whenigetmyhandsonyou.html,,,"NEW BASEMENT TAPES, THE"
Duncan And Jimmy,../lyrics/newbasementtapes/duncanandjimmy.html,,,"NEW BASEMENT TAPES, THE"
Florida Key,../lyrics/newbasementtapes/floridakey.html,,,"NEW BASEMENT TAPES, THE"
Hidee Hidee Ho #11,../lyrics/newbasementtapes/hideehideeho11.html,,,"NEW BASEMENT TAPES, THE"
Lost On The River #12,../lyrics/newbasementtapes/lostontheriver12.html,,,"NEW BASEMENT TAPES, THE"
Stranger,../lyrics/newbasementtapes/stranger.html,,,"NEW BASEMENT TAPES, THE"
Card Shark,../lyrics/newbasementtapes/cardshark.html,,,"NEW BASEMENT TAPES, THE"
Quick Like A Flash,../lyrics/newbasementtapes/quicklikeaflash.html,,,"NEW BASEMENT TAPES, THE"
Hidee Hidee Ho #16,../lyrics/newbasementtapes/hideehideeho16.html,,,"NEW BASEMENT TAPES, THE"
Diamond Ring,../lyrics/newbasementtapes/diamondring.html,,,"NEW BASEMENT TAPES, THE"
The Whistle Is Blowing,../lyrics/newbasementtapes/thewhistleisblowing.html,,,"NEW BASEMENT TAPES, THE"
Six Months In Kansas City (Liberty Street),../lyrics/newbasementtapes/sixmonthsinkansascitylibertystreet.html,,,"NEW BASEMENT TAPES, THE"
Lost On The River #20,../lyrics/newbasementtapes/lostontheriver20.html,,,"NEW BASEMENT TAPES, THE"
