song,link,album,year,artist
Cricketz,../lyrics/newboyz/cricketz.html,Skinny Jeans And A Mic,2009,NEW BOYZ
You're A Jerk,../lyrics/newboyz/youreajerk.html,Skinny Jeans And A Mic,2009,NEW BOYZ
Dot Com,../lyrics/newboyz/dotcom.html,Skinny Jeans And A Mic,2009,NEW BOYZ
Colorz,../lyrics/newboyz/colorz.html,Skinny Jeans And A Mic,2009,NEW BOYZ
Way 2 Many Chickz,../lyrics/newboyz/way2manychickz.html,Skinny Jeans And A Mic,2009,NEW BOYZ
Turnt,../lyrics/newboyz/turnt.html,Skinny Jeans And A Mic,2009,NEW BOYZ
Bunz,../lyrics/newboyz/bunz.html,Skinny Jeans And A Mic,2009,NEW BOYZ
Cashmere,../lyrics/newboyz/cashmere.html,Skinny Jeans And A Mic,2009,NEW BOYZ
So Dope,../lyrics/newboyz/sodope.html,Skinny Jeans And A Mic,2009,NEW BOYZ
Tie Me Down,../lyrics/newboyz/tiemedown.html,Skinny Jeans And A Mic,2009,NEW BOYZ
New Girl,../lyrics/newboyz/newgirl.html,Skinny Jeans And A Mic,2009,NEW BOYZ
No More,../lyrics/newboyz/nomore.html,Skinny Jeans And A Mic,2009,NEW BOYZ
One Night,../lyrics/newboyz/onenight.html,Skinny Jeans And A Mic,2009,NEW BOYZ
,,Skinny Jeans And A Mic,2009,NEW BOYZ
Tough Kids,../lyrics/newboyz/toughkids.html,Too Cool To Care,2011,NEW BOYZ
Crush On You,../lyrics/newboyz/crushonyou.html,Too Cool To Care,2011,NEW BOYZ
Active Kingz,../lyrics/newboyz/activekingz.html,Too Cool To Care,2011,NEW BOYZ
I Don't Care,../lyrics/newboyz/idontcare.html,Too Cool To Care,2011,NEW BOYZ
Porn Star,../lyrics/newboyz/pornstar.html,Too Cool To Care,2011,NEW BOYZ
Backseat,../lyrics/newboyz/backseat.html,Too Cool To Care,2011,NEW BOYZ
Meet My Mom,../lyrics/newboyz/meetmymom.html,Too Cool To Care,2011,NEW BOYZ
Start Me Up,../lyrics/newboyz/startmeup.html,Too Cool To Care,2011,NEW BOYZ
Better With The Lights Off,../lyrics/newboyz/betterwiththelightsoff.html,Too Cool To Care,2011,NEW BOYZ
Magazine Girl,../lyrics/newboyz/magazinegirl.html,Too Cool To Care,2011,NEW BOYZ
Break My Bank,../lyrics/newboyz/breakmybank.html,Too Cool To Care,2011,NEW BOYZ
Zonin',../lyrics/newboyz/zonin.html,Too Cool To Care,2011,NEW BOYZ
Let U Leave,../lyrics/newboyz/letuleave.html,Too Cool To Care,2011,NEW BOYZ
Can't Nobody,../lyrics/newboyz/cantnobody.html,Too Cool To Care,2011,NEW BOYZ
Black Dress,../lyrics/newboyz/blackdress.html,Too Cool To Care,2011,NEW BOYZ
Beautiful Dancer,../lyrics/newboyz/beautifuldancer.html,Too Cool To Care,2011,NEW BOYZ
,,Too Cool To Care,2011,NEW BOYZ
FM$,../lyrics/newboyz/fm.html,Foolie Tape,2012,NEW BOYZ
Rain Dance,../lyrics/newboyz/raindance.html,Foolie Tape,2012,NEW BOYZ
"Same Shit, Different City",../lyrics/newboyz/sameshitdifferentcity.html,Foolie Tape,2012,NEW BOYZ
Call Me Dougie,../lyrics/newboyz/callmedougie.html,,,NEW BOYZ
Dirty Mind,../lyrics/newboyz/dirtymind.html,,,NEW BOYZ
FM$ (Freak My Shit),../lyrics/newboyz/fmfreakmyshit.html,,,NEW BOYZ
Give It Up (Rangers Diss),../lyrics/newboyz/giveituprangersdiss.html,,,NEW BOYZ
Invented Sex,../lyrics/newboyz/inventedsex.html,,,NEW BOYZ
Miss Me Kiss Me Lick Me,../lyrics/newboyz/missmekissmelickme.html,,,NEW BOYZ
Spot Right There,../lyrics/newboyz/spotrightthere.html,,,NEW BOYZ
Teach Me How To Jerk,../lyrics/newboyz/teachmehowtojerk.html,,,NEW BOYZ
Tie Me Down Pt. 2,../lyrics/newboyz/tiemedownpt2.html,,,NEW BOYZ
