song,link,album,year,artist
1-900-Ms-Minaj,../lyrics/nickiminaj/1900msminaj.html,Playtime Is Over,2007,NICKI MINAJ
Dreams '07,../lyrics/nickiminaj/dreams07.html,Playtime Is Over,2007,NICKI MINAJ
Wuchoo Know,../lyrics/nickiminaj/wuchooknow.html,Playtime Is Over,2007,NICKI MINAJ
Can't Stop Won't Stop,../lyrics/nickiminaj/cantstopwontstop.html,Playtime Is Over,2007,NICKI MINAJ
Playtime Is Over,../lyrics/nickiminaj/playtimeisover.html,Playtime Is Over,2007,NICKI MINAJ
Jump Off '07,../lyrics/nickiminaj/jumpoff07.html,Playtime Is Over,2007,NICKI MINAJ
Click Clack,../lyrics/nickiminaj/clickclack.html,Playtime Is Over,2007,NICKI MINAJ
40 Bars,../lyrics/nickiminaj/40bars.html,Playtime Is Over,2007,NICKI MINAJ
Dilly Dally,../lyrics/nickiminaj/dillydally.html,Playtime Is Over,2007,NICKI MINAJ
Warning,../lyrics/nickiminaj/warning.html,Playtime Is Over,2007,NICKI MINAJ
N.I.G.G.A.S.,../lyrics/nickiminaj/niggas.html,Playtime Is Over,2007,NICKI MINAJ
Sunshine,../lyrics/nickiminaj/sunshine284199.html,Playtime Is Over,2007,NICKI MINAJ
Letcha Go,../lyrics/nickiminaj/letchago.html,Playtime Is Over,2007,NICKI MINAJ
Sticks In My Bun,../lyrics/nickiminaj/sticksinmybun.html,Playtime Is Over,2007,NICKI MINAJ
Im Cumin,../lyrics/nickiminaj/imcumin.html,Playtime Is Over,2007,NICKI MINAJ
Hood Story,../lyrics/nickiminaj/hoodstory.html,Playtime Is Over,2007,NICKI MINAJ
Ease Up,../lyrics/nickiminaj/easeup.html,Playtime Is Over,2007,NICKI MINAJ
Encore '07,../lyrics/nickiminaj/encore07.html,Playtime Is Over,2007,NICKI MINAJ
,,Playtime Is Over,2007,NICKI MINAJ
Sunshine,../lyrics/nickiminaj/sunshine.html,Sucka Free,2008,NICKI MINAJ
Set It Off,../lyrics/nickiminaj/setitoff.html,Sucka Free,2008,NICKI MINAJ
Higher Then A Kite,../lyrics/nickiminaj/higherthenakite.html,Sucka Free,2008,NICKI MINAJ
Grindin,../lyrics/nickiminaj/grindin.html,Sucka Free,2008,NICKI MINAJ
Curious George,../lyrics/nickiminaj/curiousgeorge.html,Sucka Free,2008,NICKI MINAJ
Baddest Bitch,../lyrics/nickiminaj/baddestbitch.html,Sucka Free,2008,NICKI MINAJ
Wanna Minaj,../lyrics/nickiminaj/wannaminaj.html,Sucka Free,2008,NICKI MINAJ
Doin It Well,../lyrics/nickiminaj/doinitwell.html,Sucka Free,2008,NICKI MINAJ
Cuchi Shop,../lyrics/nickiminaj/cuchishop.html,Sucka Free,2008,NICKI MINAJ
Young Money Ballaz,../lyrics/nickiminaj/youngmoneyballaz.html,Sucka Free,2008,NICKI MINAJ
Sweetest Girl,../lyrics/nickiminaj/sweetestgirl.html,Sucka Free,2008,NICKI MINAJ
Firm Biz '08,../lyrics/nickiminaj/firmbiz08.html,Sucka Free,2008,NICKI MINAJ
Dead Wrong,../lyrics/nickiminaj/deadwrong.html,Sucka Free,2008,NICKI MINAJ
Long Time Comin',../lyrics/nickiminaj/longtimecomin.html,Sucka Free,2008,NICKI MINAJ
Womp Womp,../lyrics/nickiminaj/wompwomp.html,Sucka Free,2008,NICKI MINAJ
Whos Ya Best MC?,../lyrics/nickiminaj/whosyabestmc.html,Sucka Free,2008,NICKI MINAJ
Autobiography,../lyrics/nickiminaj/autobiography.html,Sucka Free,2008,NICKI MINAJ
Lollipop (Remix),../lyrics/nickiminaj/lollipopremix.html,Sucka Free,2008,NICKI MINAJ
,,Sucka Free,2008,NICKI MINAJ
Intro,../lyrics/nickiminaj/intro.html,Beam Me Up Scotty,2009,NICKI MINAJ
I Get Crazy,../lyrics/nickiminaj/igetcrazy.html,Beam Me Up Scotty,2009,NICKI MINAJ
Itty Bitty Piggy,../lyrics/nickiminaj/ittybittypiggy.html,Beam Me Up Scotty,2009,NICKI MINAJ
Kill Da DJ,../lyrics/nickiminaj/killdadj.html,Beam Me Up Scotty,2009,NICKI MINAJ
Mind On My Money,../lyrics/nickiminaj/mindonmymoney.html,Beam Me Up Scotty,2009,NICKI MINAJ
Nicki Minaj Speaks #1,../lyrics/nickiminaj/nickiminajspeaks1.html,Beam Me Up Scotty,2009,NICKI MINAJ
Slumber Party,../lyrics/nickiminaj/slumberparty.html,Beam Me Up Scotty,2009,NICKI MINAJ
Shopaholic,../lyrics/nickiminaj/shopaholic.html,Beam Me Up Scotty,2009,NICKI MINAJ
Go Hard,../lyrics/nickiminaj/gohard.html,Beam Me Up Scotty,2009,NICKI MINAJ
Nicki Minaj Speaks #2,../lyrics/nickiminaj/nickiminajspeaks2.html,Beam Me Up Scotty,2009,NICKI MINAJ
Best I Ever Had (Remix),../lyrics/nickiminaj/bestieverhadremix.html,Beam Me Up Scotty,2009,NICKI MINAJ
Handstand,../lyrics/nickiminaj/handstand.html,Beam Me Up Scotty,2009,NICKI MINAJ
Keys Under Palm Trees,../lyrics/nickiminaj/keysunderpalmtrees.html,Beam Me Up Scotty,2009,NICKI MINAJ
Get Silly,../lyrics/nickiminaj/getsilly.html,Beam Me Up Scotty,2009,NICKI MINAJ
Easy,../lyrics/nickiminaj/easy.html,Beam Me Up Scotty,2009,NICKI MINAJ
Five-O,../lyrics/nickiminaj/fiveo.html,Beam Me Up Scotty,2009,NICKI MINAJ
Envy,../lyrics/nickiminaj/envy.html,Beam Me Up Scotty,2009,NICKI MINAJ
Can Anybody Hear Me,../lyrics/nickiminaj/cananybodyhearme.html,Beam Me Up Scotty,2009,NICKI MINAJ
Still I Rise,../lyrics/nickiminaj/stillirise.html,Beam Me Up Scotty,2009,NICKI MINAJ
I Feel Free,../lyrics/nickiminaj/ifeelfree.html,Beam Me Up Scotty,2009,NICKI MINAJ
Outro,../lyrics/nickiminaj/outro.html,Beam Me Up Scotty,2009,NICKI MINAJ
Beam Me Up Scotty,../lyrics/nickiminaj/beammeupscotty.html,Beam Me Up Scotty,2009,NICKI MINAJ
,,Beam Me Up Scotty,2009,NICKI MINAJ
Barbie World (Intro),../lyrics/nickiminaj/barbieworldintro.html,Barbie World,2010,NICKI MINAJ
Your Love,../lyrics/nickiminaj/yourlove93219.html,Barbie World,2010,NICKI MINAJ
Girlfriend,../lyrics/nickiminaj/girlfriend.html,Barbie World,2010,NICKI MINAJ
Fuck You Silly,../lyrics/nickiminaj/fuckyousilly.html,Barbie World,2010,NICKI MINAJ
Mi Casa,../lyrics/nickiminaj/micasa.html,Barbie World,2010,NICKI MINAJ
Up Out My Face,../lyrics/nickiminaj/upoutmyface.html,Barbie World,2010,NICKI MINAJ
Saxon,../lyrics/nickiminaj/saxon.html,Barbie World,2010,NICKI MINAJ
Get Your Money Up (Remix),../lyrics/nickiminaj/getyourmoneyupremix.html,Barbie World,2010,NICKI MINAJ
Lil' Freak,../lyrics/nickiminaj/lilfreak.html,Barbie World,2010,NICKI MINAJ
Knockout,../lyrics/nickiminaj/knockout.html,Barbie World,2010,NICKI MINAJ
Shake It For Daddy,../lyrics/nickiminaj/shakeitfordaddy.html,Barbie World,2010,NICKI MINAJ
Take It Off,../lyrics/nickiminaj/takeitoff.html,Barbie World,2010,NICKI MINAJ
Sex In Crazy Places,../lyrics/nickiminaj/sexincrazyplaces.html,Barbie World,2010,NICKI MINAJ
Grinding Getting Money,../lyrics/nickiminaj/grindinggettingmoney.html,Barbie World,2010,NICKI MINAJ
Pony Tail,../lyrics/nickiminaj/ponytail.html,Barbie World,2010,NICKI MINAJ
The Cipher,../lyrics/nickiminaj/thecipher.html,Barbie World,2010,NICKI MINAJ
Fuck The BS,../lyrics/nickiminaj/fuckthebs.html,Barbie World,2010,NICKI MINAJ
Eazy,../lyrics/nickiminaj/eazy.html,Barbie World,2010,NICKI MINAJ
Roger That,../lyrics/nickiminaj/rogerthat.html,Barbie World,2010,NICKI MINAJ
Bedrock,../lyrics/nickiminaj/bedrock.html,Barbie World,2010,NICKI MINAJ
Getting Paid,../lyrics/nickiminaj/gettingpaid.html,Barbie World,2010,NICKI MINAJ
Dang A Lang,../lyrics/nickiminaj/dangalang.html,Barbie World,2010,NICKI MINAJ
,,Barbie World,2010,NICKI MINAJ
I'm The Best,../lyrics/nickiminaj/imthebest.html,Pink Friday,2010,NICKI MINAJ
Roman's Revenge,../lyrics/nickiminaj/romansrevenge.html,Pink Friday,2010,NICKI MINAJ
Did It On 'Em,../lyrics/nickiminaj/diditonem.html,Pink Friday,2010,NICKI MINAJ
Right Thru Me,../lyrics/nickiminaj/rightthrume.html,Pink Friday,2010,NICKI MINAJ
Fly,../lyrics/nickiminaj/fly.html,Pink Friday,2010,NICKI MINAJ
Save Me,../lyrics/nickiminaj/saveme.html,Pink Friday,2010,NICKI MINAJ
Moment 4 Life,../lyrics/nickiminaj/moment4life.html,Pink Friday,2010,NICKI MINAJ
Check It Out,../lyrics/nickiminaj/checkitout.html,Pink Friday,2010,NICKI MINAJ
Blazin',../lyrics/nickiminaj/blazin.html,Pink Friday,2010,NICKI MINAJ
Here I Am,../lyrics/nickiminaj/hereiam.html,Pink Friday,2010,NICKI MINAJ
