song,link,album,year,artist
Beat Of My Drum,../lyrics/nicolaroberts/beatofmydrum.html,Cinderella's Eyes,2011,NICOLA ROBERTS
Lucky Day,../lyrics/nicolaroberts/luckyday.html,Cinderella's Eyes,2011,NICOLA ROBERTS
Yo-Yo,../lyrics/nicolaroberts/yoyo.html,Cinderella's Eyes,2011,NICOLA ROBERTS
Cinderella's Eyes,../lyrics/nicolaroberts/cinderellaseyes.html,Cinderella's Eyes,2011,NICOLA ROBERTS
Porcelain Heart,../lyrics/nicolaroberts/porcelainheart.html,Cinderella's Eyes,2011,NICOLA ROBERTS
I,../lyrics/nicolaroberts/i.html,Cinderella's Eyes,2011,NICOLA ROBERTS
Everybody's Got To Learn Sometime,../lyrics/nicolaroberts/everybodysgottolearnsometime.html,Cinderella's Eyes,2011,NICOLA ROBERTS
Say It Out Loud,../lyrics/nicolaroberts/sayitoutloud.html,Cinderella's Eyes,2011,NICOLA ROBERTS
Gladiator,../lyrics/nicolaroberts/gladiator.html,Cinderella's Eyes,2011,NICOLA ROBERTS
Fish Out Of Water,../lyrics/nicolaroberts/fishoutofwater.html,Cinderella's Eyes,2011,NICOLA ROBERTS
Take A Bite,../lyrics/nicolaroberts/takeabite.html,Cinderella's Eyes,2011,NICOLA ROBERTS
Sticks + Stones,../lyrics/nicolaroberts/sticksstones.html,Cinderella's Eyes,2011,NICOLA ROBERTS
