song,link,album,year,artist
Shooby,../lyrics/nicolecmullen/shooby.html,Nicole C. Mullen,2000,NICOLE C. MULLEN
Butterfly,../lyrics/nicolecmullen/butterfly.html,Nicole C. Mullen,2000,NICOLE C. MULLEN
Farewell,../lyrics/nicolecmullen/farewell.html,Nicole C. Mullen,2000,NICOLE C. MULLEN
Granny's Angel,../lyrics/nicolecmullen/grannysangel.html,Nicole C. Mullen,2000,NICOLE C. MULLEN
Family Tree,../lyrics/nicolecmullen/familytree.html,Nicole C. Mullen,2000,NICOLE C. MULLEN
Blowin' Kisses,../lyrics/nicolecmullen/blowinkisses.html,Nicole C. Mullen,2000,NICOLE C. MULLEN
Redeemer,../lyrics/nicolecmullen/redeemer.html,Nicole C. Mullen,2000,NICOLE C. MULLEN
"Black, White, Tan",../lyrics/nicolecmullen/blackwhitetan.html,Nicole C. Mullen,2000,NICOLE C. MULLEN
Freedom,../lyrics/nicolecmullen/freedom.html,Nicole C. Mullen,2000,NICOLE C. MULLEN
Homemade,../lyrics/nicolecmullen/homemade.html,Nicole C. Mullen,2000,NICOLE C. MULLEN
Color,../lyrics/nicolecmullen/color.html,Nicole C. Mullen,2000,NICOLE C. MULLEN
On My Knees,../lyrics/nicolecmullen/onmyknees.html,Nicole C. Mullen,2000,NICOLE C. MULLEN
,,Nicole C. Mullen,2000,NICOLE C. MULLEN
All Aboard,../lyrics/nicolecmullen/allaboard.html,Talk About It,2001,NICOLE C. MULLEN
Talk About It (Say So),../lyrics/nicolecmullen/talkaboutitsayso.html,Talk About It,2001,NICOLE C. MULLEN
Baby Girl,../lyrics/nicolecmullen/babygirl.html,Talk About It,2001,NICOLE C. MULLEN
Call On Jesus,../lyrics/nicolecmullen/callonjesus.html,Talk About It,2001,NICOLE C. MULLEN
#27,../lyrics/nicolecmullen/27.html,Talk About It,2001,NICOLE C. MULLEN
Let Me Go,../lyrics/nicolecmullen/letmego.html,Talk About It,2001,NICOLE C. MULLEN
Witness,../lyrics/nicolecmullen/witness.html,Talk About It,2001,NICOLE C. MULLEN
Come Onto Me,../lyrics/nicolecmullen/comeontome.html,Talk About It,2001,NICOLE C. MULLEN
I Can't Believe,../lyrics/nicolecmullen/icantbelieve.html,Talk About It,2001,NICOLE C. MULLEN
The Ring,../lyrics/nicolecmullen/thering.html,Talk About It,2001,NICOLE C. MULLEN
Sometimes,../lyrics/nicolecmullen/sometimes.html,Talk About It,2001,NICOLE C. MULLEN
Jas Class,../lyrics/nicolecmullen/jasclass.html,Talk About It,2001,NICOLE C. MULLEN
Black Light,../lyrics/nicolecmullen/blacklight.html,Talk About It,2001,NICOLE C. MULLEN
When Heaven Calls,../lyrics/nicolecmullen/whenheavencalls.html,Talk About It,2001,NICOLE C. MULLEN
,,Talk About It,2001,NICOLE C. MULLEN
Christmas In Black And White,../lyrics/nicolecmullen/christmasinblackandwhite.html,Christmas In Black And White,2002,NICOLE C. MULLEN
Lamb Of God,../lyrics/nicolecmullen/lambofgod.html,Christmas In Black And White,2002,NICOLE C. MULLEN
365,../lyrics/nicolecmullen/365.html,Christmas In Black And White,2002,NICOLE C. MULLEN
The Christmas Song,../lyrics/nicolecmullen/thechristmassong.html,Christmas In Black And White,2002,NICOLE C. MULLEN
Sacred Night (Away In A Manger),../lyrics/nicolecmullen/sacrednightawayinamanger.html,Christmas In Black And White,2002,NICOLE C. MULLEN
God's Own Son,../lyrics/nicolecmullen/godsownson.html,Christmas In Black And White,2002,NICOLE C. MULLEN
"Merry Christmas, Baby",../lyrics/nicolecmullen/merrychristmasbaby.html,Christmas In Black And White,2002,NICOLE C. MULLEN
Gifts From You,../lyrics/nicolecmullen/giftsfromyou.html,Christmas In Black And White,2002,NICOLE C. MULLEN
St. Nick's Groove,../lyrics/nicolecmullen/stnicksgroove.html,Christmas In Black And White,2002,NICOLE C. MULLEN
"Sing, Angels, Sing (Hark The Herald Angels Sing)",../lyrics/nicolecmullen/singangelssingharktheheraldangelssing.html,Christmas In Black And White,2002,NICOLE C. MULLEN
"Angels, We Have Heard On High",../lyrics/nicolecmullen/angelswehaveheardonhigh.html,Christmas In Black And White,2002,NICOLE C. MULLEN
"O Come, O Come, Emmanuel",../lyrics/nicolecmullen/ocomeocomeemmanuel.html,Christmas In Black And White,2002,NICOLE C. MULLEN
