song,link,album,year,artist
Poison,../lyrics/nicolescherzinger/poison.html,Killer Love,2011,NICOLE SCHERZINGER
Killer Love,../lyrics/nicolescherzinger/killerlove.html,Killer Love,2011,NICOLE SCHERZINGER
Don't Hold Your Breath,../lyrics/nicolescherzinger/dontholdyourbreath.html,Killer Love,2011,NICOLE SCHERZINGER
Right There,../lyrics/nicolescherzinger/rightthere.html,Killer Love,2011,NICOLE SCHERZINGER
You Will Be Loved,../lyrics/nicolescherzinger/youwillbeloved.html,Killer Love,2011,NICOLE SCHERZINGER
Wet,../lyrics/nicolescherzinger/wet.html,Killer Love,2011,NICOLE SCHERZINGER
Say Yes,../lyrics/nicolescherzinger/sayyes.html,Killer Love,2011,NICOLE SCHERZINGER
Club Banger Nation,../lyrics/nicolescherzinger/clubbangernation.html,Killer Love,2011,NICOLE SCHERZINGER
Power's Out,../lyrics/nicolescherzinger/powersout.html,Killer Love,2011,NICOLE SCHERZINGER
Desperate,../lyrics/nicolescherzinger/desperate.html,Killer Love,2011,NICOLE SCHERZINGER
Everybody,../lyrics/nicolescherzinger/everybody.html,Killer Love,2011,NICOLE SCHERZINGER
Heartbeat (Rudi Wells' Open Heart Remix),../lyrics/nicolescherzinger/heartbeatrudiwellsopenheartremix.html,Killer Love,2011,NICOLE SCHERZINGER
Casualty,../lyrics/nicolescherzinger/casualty.html,Killer Love,2011,NICOLE SCHERZINGER
AmenJena,../lyrics/nicolescherzinger/amenjena.html,Killer Love,2011,NICOLE SCHERZINGER
Right There (Remix),../lyrics/nicolescherzinger/rightthereremix.html,Killer Love,2011,NICOLE SCHERZINGER
Try With Me,../lyrics/nicolescherzinger/trywithme.html,Killer Love,2011,NICOLE SCHERZINGER
Trust Me I Lie,../lyrics/nicolescherzinger/trustmeilie.html,Killer Love,2011,NICOLE SCHERZINGER
Tomorrow Never Dies,../lyrics/nicolescherzinger/tomorrowneverdies.html,Killer Love,2011,NICOLE SCHERZINGER
,,Killer Love,2011,NICOLE SCHERZINGER
Your Love,../lyrics/nicolescherzinger/yourlove.html,Big Fat Lie,2014,NICOLE SCHERZINGER
Electric Blue,../lyrics/nicolescherzinger/electricblue.html,Big Fat Lie,2014,NICOLE SCHERZINGER
On The Rocks,../lyrics/nicolescherzinger/ontherocks.html,Big Fat Lie,2014,NICOLE SCHERZINGER
Heartbreaker,../lyrics/nicolescherzinger/heartbreaker.html,Big Fat Lie,2014,NICOLE SCHERZINGER
God Of War,../lyrics/nicolescherzinger/godofwar.html,Big Fat Lie,2014,NICOLE SCHERZINGER
Girl With A Diamond Heart,../lyrics/nicolescherzinger/girlwithadiamondheart.html,Big Fat Lie,2014,NICOLE SCHERZINGER
Just A Girl,../lyrics/nicolescherzinger/justagirl.html,Big Fat Lie,2014,NICOLE SCHERZINGER
First Time,../lyrics/nicolescherzinger/firsttime.html,Big Fat Lie,2014,NICOLE SCHERZINGER
Bang,../lyrics/nicolescherzinger/bang.html,Big Fat Lie,2014,NICOLE SCHERZINGER
Big Fat Lie,../lyrics/nicolescherzinger/bigfatlie.html,Big Fat Lie,2014,NICOLE SCHERZINGER
Run,../lyrics/nicolescherzinger/run.html,Big Fat Lie,2014,NICOLE SCHERZINGER
Little Boy,../lyrics/nicolescherzinger/littleboy.html,Big Fat Lie,2014,NICOLE SCHERZINGER
Unison,../lyrics/nicolescherzinger/unison.html,Big Fat Lie,2014,NICOLE SCHERZINGER
Cold Word,../lyrics/nicolescherzinger/coldword.html,Big Fat Lie,2014,NICOLE SCHERZINGER
Ain't No Mountain High Enough,../lyrics/nicolescherzinger/aintnomountainhighenough.html,,,NICOLE SCHERZINGER
Baby Love,../lyrics/nicolescherzinger/babylove.html,,,NICOLE SCHERZINGER
Boomerang,../lyrics/nicolescherzinger/boomerang.html,,,NICOLE SCHERZINGER
By My Side,../lyrics/nicolescherzinger/bymyside.html,,,NICOLE SCHERZINGER
Cold,../lyrics/nicolescherzinger/cold.html,,,NICOLE SCHERZINGER
Guns And Roses,../lyrics/nicolescherzinger/gunsandroses.html,,,NICOLE SCHERZINGER
Happily Never After,../lyrics/nicolescherzinger/happilyneverafter.html,,,NICOLE SCHERZINGER
O Holy Night,../lyrics/nicolescherzinger/oholynight.html,,,NICOLE SCHERZINGER
On My Side,../lyrics/nicolescherzinger/onmyside.html,,,NICOLE SCHERZINGER
Part Of Me,../lyrics/nicolescherzinger/partofme.html,,,NICOLE SCHERZINGER
Physical,../lyrics/nicolescherzinger/physical.html,,,NICOLE SCHERZINGER
Pretty,../lyrics/nicolescherzinger/pretty.html,,,NICOLE SCHERZINGER
Puakenikeni,../lyrics/nicolescherzinger/puakenikeni.html,,,NICOLE SCHERZINGER
Save Me From Myself,../lyrics/nicolescherzinger/savemefrommyself.html,,,NICOLE SCHERZINGER
Supervillain,../lyrics/nicolescherzinger/supervillain.html,,,NICOLE SCHERZINGER
Whatever U Like,../lyrics/nicolescherzinger/whateverulike.html,,,NICOLE SCHERZINGER
Who's Gonna Love You,../lyrics/nicolescherzinger/whosgonnaloveyou.html,,,NICOLE SCHERZINGER
