song,link,album,year,artist
"Take The ""A"" Train",../lyrics/nikkiyanofsky/taketheatrain.html,Nikki,2010,NIKKI YANOFSKY
Never Make It On Time,../lyrics/nikkiyanofsky/nevermakeitontime.html,Nikki,2010,NIKKI YANOFSKY
I Got Rhythm,../lyrics/nikkiyanofsky/igotrhythm.html,Nikki,2010,NIKKI YANOFSKY
For Another Day,../lyrics/nikkiyanofsky/foranotherday.html,Nikki,2010,NIKKI YANOFSKY
God Bless The Child,../lyrics/nikkiyanofsky/godblessthechild.html,Nikki,2010,NIKKI YANOFSKY
Cool My Heels,../lyrics/nikkiyanofsky/coolmyheels.html,Nikki,2010,NIKKI YANOFSKY
You'll Have To Swing It (Mr. Paganini),../lyrics/nikkiyanofsky/youllhavetoswingitmrpaganini.html,Nikki,2010,NIKKI YANOFSKY
Bienvenue Dans Ma Vie,../lyrics/nikkiyanofsky/bienvenuedansmavie.html,Nikki,2010,NIKKI YANOFSKY
First Lady,../lyrics/nikkiyanofsky/firstlady.html,Nikki,2010,NIKKI YANOFSKY
Grey Skies,../lyrics/nikkiyanofsky/greyskies.html,Nikki,2010,NIKKI YANOFSKY
Try Try Try,../lyrics/nikkiyanofsky/trytrytry.html,Nikki,2010,NIKKI YANOFSKY
Over The Rainbow,../lyrics/nikkiyanofsky/overtherainbow.html,Nikki,2010,NIKKI YANOFSKY
,,Nikki,2010,NIKKI YANOFSKY
Something New,../lyrics/nikkiyanofsky/somethingnew.html,Little Secret,2014,NIKKI YANOFSKY
Blessed With Your Curse,../lyrics/nikkiyanofsky/blessedwithyourcurse.html,Little Secret,2014,NIKKI YANOFSKY
Waiting On The Sun,../lyrics/nikkiyanofsky/waitingonthesun.html,Little Secret,2014,NIKKI YANOFSKY
Necessary Evil,../lyrics/nikkiyanofsky/necessaryevil.html,Little Secret,2014,NIKKI YANOFSKY
Little Secret,../lyrics/nikkiyanofsky/littlesecret.html,Little Secret,2014,NIKKI YANOFSKY
Jeepers Creepers 2.0,../lyrics/nikkiyanofsky/jeeperscreepers20.html,Little Secret,2014,NIKKI YANOFSKY
Out Of Nowhere,../lyrics/nikkiyanofsky/outofnowhere.html,Little Secret,2014,NIKKI YANOFSKY
You Mean The World To Me,../lyrics/nikkiyanofsky/youmeantheworldtome.html,Little Secret,2014,NIKKI YANOFSKY
Knock Knock,../lyrics/nikkiyanofsky/knockknock.html,Little Secret,2014,NIKKI YANOFSKY
Enough Of You,../lyrics/nikkiyanofsky/enoughofyou.html,Little Secret,2014,NIKKI YANOFSKY
Bang,../lyrics/nikkiyanofsky/bang.html,Little Secret,2014,NIKKI YANOFSKY
Kaboom Pow,../lyrics/nikkiyanofsky/kaboompow.html,Little Secret,2014,NIKKI YANOFSKY
I Believe,../lyrics/nikkiyanofsky/ibelieve.html,,,NIKKI YANOFSKY
