song,link,album,year,artist
One And All,../lyrics/ninelashes/oneandall.html,Escape,2009,NINE LASHES
Fly,../lyrics/ninelashes/fly.html,Escape,2009,NINE LASHES
Escape,../lyrics/ninelashes/escape.html,Escape,2009,NINE LASHES
Afterglow,../lyrics/ninelashes/afterglow.html,Escape,2009,NINE LASHES
Words Of Red,../lyrics/ninelashes/wordsofred.html,Escape,2009,NINE LASHES
Double Or Nothing,../lyrics/ninelashes/doubleornothing.html,Escape,2009,NINE LASHES
Hollow Theory,../lyrics/ninelashes/hollowtheory.html,Escape,2009,NINE LASHES
Word Of Advice,../lyrics/ninelashes/wordofadvice.html,Escape,2009,NINE LASHES
Cancer,../lyrics/ninelashes/cancer.html,Escape,2009,NINE LASHES
The Fall,../lyrics/ninelashes/thefall.html,Escape,2009,NINE LASHES
Goodbye,../lyrics/ninelashes/goodbye.html,Escape,2009,NINE LASHES
,,Escape,2009,NINE LASHES
Anthem Of The Lonely,../lyrics/ninelashes/anthemofthelonely.html,World We View,2012,NINE LASHES
The Intervention,../lyrics/ninelashes/theintervention.html,World We View,2012,NINE LASHES
Get Back,../lyrics/ninelashes/getback.html,World We View,2012,NINE LASHES
Afterglow,../lyrics/ninelashes/afterglow.html,World We View,2012,NINE LASHES
Adrenaline,../lyrics/ninelashes/adrenaline.html,World We View,2012,NINE LASHES
Believe Your Eyes,../lyrics/ninelashes/believeyoureyes.html,World We View,2012,NINE LASHES
Our Darkest Day,../lyrics/ninelashes/ourdarkestday.html,World We View,2012,NINE LASHES
Memo,../lyrics/ninelashes/memo.html,World We View,2012,NINE LASHES
Write It Down,../lyrics/ninelashes/writeitdown.html,World We View,2012,NINE LASHES
The Void,../lyrics/ninelashes/thevoid.html,World We View,2012,NINE LASHES
My Friend,../lyrics/ninelashes/myfriend.html,World We View,2012,NINE LASHES
,,World We View,2012,NINE LASHES
Never Back Down,../lyrics/ninelashes/neverbackdown.html,From Water To War,2014,NINE LASHES
Break The World,../lyrics/ninelashes/breaktheworld.html,From Water To War,2014,NINE LASHES
Where I Belong,../lyrics/ninelashes/whereibelong.html,From Water To War,2014,NINE LASHES
Lights We Burn,../lyrics/ninelashes/lightsweburn.html,From Water To War,2014,NINE LASHES
Surrender,../lyrics/ninelashes/surrender.html,From Water To War,2014,NINE LASHES
You Are The Light,../lyrics/ninelashes/youarethelight.html,From Water To War,2014,NINE LASHES
In The Dark,../lyrics/ninelashes/inthedark.html,From Water To War,2014,NINE LASHES
Light It Up,../lyrics/ninelashes/lightitup.html,From Water To War,2014,NINE LASHES
Love Me Now,../lyrics/ninelashes/lovemenow.html,From Water To War,2014,NINE LASHES
Cover Your Own,../lyrics/ninelashes/coveryourown.html,From Water To War,2014,NINE LASHES
,,From Water To War,2014,NINE LASHES
Heartbeats,../lyrics/ninelashes/heartbeats.html,Ascend,2016,NINE LASHES
Deeper,../lyrics/ninelashes/deeper.html,Ascend,2016,NINE LASHES
Ascend,../lyrics/ninelashes/ascend.html,Ascend,2016,NINE LASHES
The Chosen Ones,../lyrics/ninelashes/thechosenones.html,Ascend,2016,NINE LASHES
Glorious,../lyrics/ninelashes/glorious.html,Ascend,2016,NINE LASHES
Galaxy,../lyrics/ninelashes/galaxy.html,Ascend,2016,NINE LASHES
Eyes On You,../lyrics/ninelashes/eyesonyou.html,Ascend,2016,NINE LASHES
Brand New Life,../lyrics/ninelashes/brandnewlife.html,Ascend,2016,NINE LASHES
Stolen,../lyrics/ninelashes/stolen.html,Ascend,2016,NINE LASHES
Love Still Shines,../lyrics/ninelashes/lovestillshines.html,Ascend,2016,NINE LASHES
Christ In Me,../lyrics/ninelashes/christinme.html,Ascend,2016,NINE LASHES
