song,link,album,year,artist
Introduction,../lyrics/ninjasexparty/introduction.html,NSFW,2011,NINJA SEX PARTY
NSP Theme Song,../lyrics/ninjasexparty/nspthemesong.html,NSFW,2011,NINJA SEX PARTY
The Decision,../lyrics/ninjasexparty/thedecision.html,NSFW,2011,NINJA SEX PARTY
Dinosaur Laser Fight,../lyrics/ninjasexparty/dinosaurlaserfight.html,NSFW,2011,NINJA SEX PARTY
Objects Of Desire,../lyrics/ninjasexparty/objectsofdesire.html,NSFW,2011,NINJA SEX PARTY
If We Were Gay,../lyrics/ninjasexparty/ifweweregay.html,NSFW,2011,NINJA SEX PARTY
No Reason Boner,../lyrics/ninjasexparty/noreasonboner.html,NSFW,2011,NINJA SEX PARTY
Puppies In Space,../lyrics/ninjasexparty/puppiesinspace.html,NSFW,2011,NINJA SEX PARTY
Sex Training,../lyrics/ninjasexparty/sextraining.html,NSFW,2011,NINJA SEX PARTY
Manticore,../lyrics/ninjasexparty/manticore.html,NSFW,2011,NINJA SEX PARTY
You Can Do Us!,../lyrics/ninjasexparty/youcandous.html,NSFW,2011,NINJA SEX PARTY
I Just Want To (Dance),../lyrics/ninjasexparty/ijustwanttodance.html,NSFW,2011,NINJA SEX PARTY
Three Minutes Of Ecstasy,../lyrics/ninjasexparty/threeminutesofecstasy.html,NSFW,2011,NINJA SEX PARTY
Accept My Shaft,../lyrics/ninjasexparty/acceptmyshaft.html,NSFW,2011,NINJA SEX PARTY
Outroduction,../lyrics/ninjasexparty/outroduction.html,NSFW,2011,NINJA SEX PARTY
,,NSFW,2011,NINJA SEX PARTY
Intro (Strawberries),../lyrics/ninjasexparty/introstrawberries.html,Strawberries And Cream,2013,NINJA SEX PARTY
Best Friends Forever!,../lyrics/ninjasexparty/bestfriendsforever.html,Strawberries And Cream,2013,NINJA SEX PARTY
Unicorn Wizard,../lyrics/ninjasexparty/unicornwizard.html,Strawberries And Cream,2013,NINJA SEX PARTY
Let's Get This Terrible Party Started,../lyrics/ninjasexparty/letsgetthisterriblepartystarted.html,Strawberries And Cream,2013,NINJA SEX PARTY
Next To You,../lyrics/ninjasexparty/nexttoyou.html,Strawberries And Cream,2013,NINJA SEX PARTY
Symphony In P Minor,../lyrics/ninjasexparty/symphonyinpminor.html,Strawberries And Cream,2013,NINJA SEX PARTY
"The Sacred Chalice, Pt. 1",../lyrics/ninjasexparty/thesacredchalicept1.html,Strawberries And Cream,2013,NINJA SEX PARTY
Everybody Shut Up (I Have An Erection),../lyrics/ninjasexparty/everybodyshutupihaveanerection.html,Strawberries And Cream,2013,NINJA SEX PARTY
FYI I Wanna F Your A,../lyrics/ninjasexparty/fyiiwannafyoura.html,Strawberries And Cream,2013,NINJA SEX PARTY
Shredded Metal,../lyrics/ninjasexparty/shreddedmetal.html,Strawberries And Cream,2013,NINJA SEX PARTY
Rhinoceratops Vs. Superpuma,../lyrics/ninjasexparty/rhinoceratopsvssuperpuma.html,Strawberries And Cream,2013,NINJA SEX PARTY
The Ultimate Sandwich,../lyrics/ninjasexparty/theultimatesandwich.html,Strawberries And Cream,2013,NINJA SEX PARTY
Outro (Cream),../lyrics/ninjasexparty/outrocream.html,Strawberries And Cream,2013,NINJA SEX PARTY
,,Strawberries And Cream,2013,NINJA SEX PARTY
Intro (Attitude),../lyrics/ninjasexparty/introattitude.html,Attitude City,2015,NINJA SEX PARTY
Road Trip,../lyrics/ninjasexparty/roadtrip.html,Attitude City,2015,NINJA SEX PARTY
Attitude City,../lyrics/ninjasexparty/attitudecity.html,Attitude City,2015,NINJA SEX PARTY
Why I Cry,../lyrics/ninjasexparty/whyicry.html,Attitude City,2015,NINJA SEX PARTY
Dubstep,../lyrics/ninjasexparty/dubstep.html,Attitude City,2015,NINJA SEX PARTY
Dragon Slayer,../lyrics/ninjasexparty/dragonslayer.html,Attitude City,2015,NINJA SEX PARTY
Party Of Three,../lyrics/ninjasexparty/partyofthree.html,Attitude City,2015,NINJA SEX PARTY
Buttsex Goldilocks,../lyrics/ninjasexparty/buttsexgoldilocks.html,Attitude City,2015,NINJA SEX PARTY
Samurai Abstinence Patrol,../lyrics/ninjasexparty/samuraiabstinencepatrol.html,Attitude City,2015,NINJA SEX PARTY
Peppermint Creams,../lyrics/ninjasexparty/peppermintcreams.html,Attitude City,2015,NINJA SEX PARTY
Cookies!,../lyrics/ninjasexparty/cookies.html,Attitude City,2015,NINJA SEX PARTY
6969,../lyrics/ninjasexparty/6969.html,Attitude City,2015,NINJA SEX PARTY
Outro (City),../lyrics/ninjasexparty/outrocity.html,Attitude City,2015,NINJA SEX PARTY
,,Attitude City,2015,NINJA SEX PARTY
Take On Me,../lyrics/ninjasexparty/takeonme.html,Under The Covers,2016,NINJA SEX PARTY
Everybody Wants To Rule The World,../lyrics/ninjasexparty/everybodywantstoruletheworld.html,Under The Covers,2016,NINJA SEX PARTY
Subdivisions,../lyrics/ninjasexparty/subdivisions.html,Under The Covers,2016,NINJA SEX PARTY
Your Love,../lyrics/ninjasexparty/yourlove.html,Under The Covers,2016,NINJA SEX PARTY
Misunderstanding,../lyrics/ninjasexparty/misunderstanding.html,Under The Covers,2016,NINJA SEX PARTY
Rock With You,../lyrics/ninjasexparty/rockwithyou.html,Under The Covers,2016,NINJA SEX PARTY
Madrigal,../lyrics/ninjasexparty/madrigal.html,Under The Covers,2016,NINJA SEX PARTY
The Burning Down,../lyrics/ninjasexparty/theburningdown.html,Under The Covers,2016,NINJA SEX PARTY
Jump,../lyrics/ninjasexparty/jump.html,Under The Covers,2016,NINJA SEX PARTY
We Close Our Eyes,../lyrics/ninjasexparty/wecloseoureyes.html,Under The Covers,2016,NINJA SEX PARTY
The Last Unicorn,../lyrics/ninjasexparty/thelastunicorn.html,Under The Covers,2016,NINJA SEX PARTY
Wish You Were Here,../lyrics/ninjasexparty/wishyouwerehere.html,Under The Covers,2016,NINJA SEX PARTY
Cool Patrol,../lyrics/ninjasexparty/coolpatrol.html,,,NINJA SEX PARTY
Eating Food In The Shower,../lyrics/ninjasexparty/eatingfoodintheshower.html,,,NINJA SEX PARTY
