song,link,album,year,artist
In My Mind,../lyrics/matynoyes/inmymind.html,Noyes Complaint,2016,"NOYES, MATY"
Lil' Bit Wrong,../lyrics/matynoyes/lilbitwrong.html,Noyes Complaint,2016,"NOYES, MATY"
Take One To Love One,../lyrics/matynoyes/takeonetoloveone.html,Noyes Complaint,2016,"NOYES, MATY"
Rollin' W Yew,../lyrics/matynoyes/rollinwyew.html,Noyes Complaint,2016,"NOYES, MATY"
Falling Out Of Love,../lyrics/matynoyes/fallingoutoflove.html,Noyes Complaint,2016,"NOYES, MATY"
Can't Tell Me Who To Love,../lyrics/matynoyes/canttellmewhotolove.html,,,"NOYES, MATY"
Charge It To The Game,../lyrics/matynoyes/chargeittothegame.html,,,"NOYES, MATY"
Haunted,../lyrics/matynoyes/haunted.html,,,"NOYES, MATY"
London,../lyrics/matynoyes/london.html,,,"NOYES, MATY"
Love You With A Bang,../lyrics/matynoyes/loveyouwithabang.html,,,"NOYES, MATY"
