song,link,album,year,artist
Rock 'n' Roll Star,../lyrics/oasis/rocknrollstar.html,Definitely Maybe,1994,OASIS
Shakermaker,../lyrics/oasis/shakermaker.html,Definitely Maybe,1994,OASIS
Live Forever,../lyrics/oasis/liveforever.html,Definitely Maybe,1994,OASIS
Up In The Sky,../lyrics/oasis/upinthesky.html,Definitely Maybe,1994,OASIS
Columbia,../lyrics/oasis/columbia.html,Definitely Maybe,1994,OASIS
Supersonic,../lyrics/oasis/supersonic.html,Definitely Maybe,1994,OASIS
Bring It On Down,../lyrics/oasis/bringitondown.html,Definitely Maybe,1994,OASIS
Cigarettes & Alcohol,../lyrics/oasis/cigarettesalcohol.html,Definitely Maybe,1994,OASIS
Digsy's Diner,../lyrics/oasis/digsysdiner.html,Definitely Maybe,1994,OASIS
Slide Away,../lyrics/oasis/slideaway.html,Definitely Maybe,1994,OASIS
Married With Children,../lyrics/oasis/marriedwithchildren.html,Definitely Maybe,1994,OASIS
Sad Song,../lyrics/oasis/sadsong.html,Definitely Maybe,1994,OASIS
,,Definitely Maybe,1994,OASIS
Hello,../lyrics/oasis/hello.html,(What's The Story) Morning Glory,1995,OASIS
Roll With It,../lyrics/oasis/rollwithit.html,(What's The Story) Morning Glory,1995,OASIS
Wonderwall,../lyrics/oasis/wonderwall.html,(What's The Story) Morning Glory,1995,OASIS
Don't Look Back In Anger,../lyrics/oasis/dontlookbackinanger.html,(What's The Story) Morning Glory,1995,OASIS
Hey Now,../lyrics/oasis/heynow.html,(What's The Story) Morning Glory,1995,OASIS
Some Might Say,../lyrics/oasis/somemightsay.html,(What's The Story) Morning Glory,1995,OASIS
Cast No Shadow,../lyrics/oasis/castnoshadow.html,(What's The Story) Morning Glory,1995,OASIS
She's Electric,../lyrics/oasis/sheselectric.html,(What's The Story) Morning Glory,1995,OASIS
Morning Glory,../lyrics/oasis/morningglory.html,(What's The Story) Morning Glory,1995,OASIS
Champagne Supernova,../lyrics/oasis/champagnesupernova.html,(What's The Story) Morning Glory,1995,OASIS
Bonehead's Bank Holiday,../lyrics/oasis/boneheadsbankholiday.html,(What's The Story) Morning Glory,1995,OASIS
,,(What's The Story) Morning Glory,1995,OASIS
D'You Know What I Mean?,../lyrics/oasis/dyouknowwhatimean.html,Be Here Now,1997,OASIS
My Big Mouth,../lyrics/oasis/mybigmouth.html,Be Here Now,1997,OASIS
Magic Pie,../lyrics/oasis/magicpie.html,Be Here Now,1997,OASIS
Stand By Me,../lyrics/oasis/standbyme.html,Be Here Now,1997,OASIS
"I Hope, I Think, I Know",../lyrics/oasis/ihopeithinkiknow.html,Be Here Now,1997,OASIS
The Girl In The Dirty Shirt,../lyrics/oasis/thegirlinthedirtyshirt.html,Be Here Now,1997,OASIS
Fade In-Out,../lyrics/oasis/fadeinout.html,Be Here Now,1997,OASIS
Don't Go Away,../lyrics/oasis/dontgoaway.html,Be Here Now,1997,OASIS
Be Here Now,../lyrics/oasis/beherenow.html,Be Here Now,1997,OASIS
All Around The World,../lyrics/oasis/allaroundtheworld.html,Be Here Now,1997,OASIS
It's Getting Better (Man!!),../lyrics/oasis/itsgettingbetterman.html,Be Here Now,1997,OASIS
,,Be Here Now,1997,OASIS
Acquiesce,../lyrics/oasis/acquiesce.html,The Masterplan,1998,OASIS
Underneath The Sky,../lyrics/oasis/underneaththesky.html,The Masterplan,1998,OASIS
Talk Tonight,../lyrics/oasis/talktonight.html,The Masterplan,1998,OASIS
Going Nowhere,../lyrics/oasis/goingnowhere.html,The Masterplan,1998,OASIS
Fade Away,../lyrics/oasis/fadeaway.html,The Masterplan,1998,OASIS
I Am The Walrus (Live),../lyrics/oasis/iamthewalruslive.html,The Masterplan,1998,OASIS
Listen Up,../lyrics/oasis/listenup.html,The Masterplan,1998,OASIS
Rockin' Chair,../lyrics/oasis/rockinchair.html,The Masterplan,1998,OASIS
Half The World Away,../lyrics/oasis/halftheworldaway.html,The Masterplan,1998,OASIS
(It's Good) To Be Free,../lyrics/oasis/itsgoodtobefree.html,The Masterplan,1998,OASIS
Stay Young,../lyrics/oasis/stayyoung.html,The Masterplan,1998,OASIS
Headshrinker,../lyrics/oasis/headshrinker.html,The Masterplan,1998,OASIS
The Masterplan,../lyrics/oasis/themasterplan.html,The Masterplan,1998,OASIS
,,The Masterplan,1998,OASIS
Fuckin' In The Bushes,../lyrics/oasis/fuckininthebushes.html,Standing On The Shoulder Of Giants,2000,OASIS
Go Let It Out,../lyrics/oasis/goletitout.html,Standing On The Shoulder Of Giants,2000,OASIS
Who Feels Love?,../lyrics/oasis/whofeelslove.html,Standing On The Shoulder Of Giants,2000,OASIS
Put Yer Money Where Yer Mouth Is,../lyrics/oasis/putyermoneywhereyermouthis.html,Standing On The Shoulder Of Giants,2000,OASIS
Little James,../lyrics/oasis/littlejames.html,Standing On The Shoulder Of Giants,2000,OASIS
Gas Panic!,../lyrics/oasis/gaspanic.html,Standing On The Shoulder Of Giants,2000,OASIS
Where Did It All Go Wrong?,../lyrics/oasis/wherediditallgowrong.html,Standing On The Shoulder Of Giants,2000,OASIS
Sunday Morning Call,../lyrics/oasis/sundaymorningcall.html,Standing On The Shoulder Of Giants,2000,OASIS
I Can See A Liar,../lyrics/oasis/icanseealiar.html,Standing On The Shoulder Of Giants,2000,OASIS
Roll It Over,../lyrics/oasis/rollitover.html,Standing On The Shoulder Of Giants,2000,OASIS
,,Standing On The Shoulder Of Giants,2000,OASIS
The Hindu Times,../lyrics/oasis/thehindutimes.html,Heathen Chemistry,2002,OASIS
Force Of Nature,../lyrics/oasis/forceofnature.html,Heathen Chemistry,2002,OASIS
Hung In A Bad Place,../lyrics/oasis/hunginabadplace.html,Heathen Chemistry,2002,OASIS
Stop Crying Your Heart Out,../lyrics/oasis/stopcryingyourheartout.html,Heathen Chemistry,2002,OASIS
Song Bird,../lyrics/oasis/songbird.html,Heathen Chemistry,2002,OASIS
Little By Little,../lyrics/oasis/littlebylittle.html,Heathen Chemistry,2002,OASIS
(Probably) All In The Mind,../lyrics/oasis/probablyallinthemind.html,Heathen Chemistry,2002,OASIS
